kod	nazev
0	Potraviny a živá zvířata
00	Živá zvířata
001	Zvířata živá (dobytek, drůbež, ovce, kozy, koně ap.)
0011	Hovězí dobytek, živý
00111	Cistokrevna plemenna zvirata
00119	Jina nez cistokrevna plemenna zvirata
0012	Ovce a kozy, živé
00121	Ovce, zive
00122	Kozy, zive
0013	Vepřový dobytek, živý
00131	Cistokrevna plemenna zvirata
00139	Jina nez cistokrevna plemenna zvirata
0014	Drůbež, živá
00141	Drubez, ziva, o hmotnosti do 185 g
00149	Drubez, ziva, o hmotnosti nad 185 g
0015	Koně, osli, muly a mezci, živí
0019	Živá zviřata, j.n.
01	Maso a masné výrobky
011	Maso hovězí čerstvé, chlazené nebo zmrazené
0111	Maso hovězí, čerstvé nebo chlazené
01111	Maso hovezi s kostmi, cerstve nebo chlazene
01112	Maso hovezi bez kosti, cerstve nebo chlazene
0112	Maso hovězí, zmrazené
01121	Maso hovezi s kostmi, zmrazene
01122	Maso hovezi bez kosti, zmrazene
012	Maso ostatní (ne hovězí) a vnitřnosti poživatelné
0121	Maso skopové nebo kozí, čerstvé, chlazené, zmrazené
01211	Maso skopove, cerstve nebo chlazene
01212	Maso skopove, zmrazene
01213	Maso kozi, cerstve, chlazene nebo zmrazene
0122	Maso vepřové, čerstvé, chlazené nebo zmrazené
01221	Maso veprove, cerstve nebo chlazene
01222	Maso veprove, zmrazene
0123	Maso, vnitřnosti drůbeže, čerstvé, chlazené, zmrazené
01231	Drubez neporcovana, cerstva nebo chlazena
01232	Drubez neporcovana, zmrazena
01233	Jatra vykrmenych hus nebo kachen, cerstva, chlazena
01234	Drubezi odrezky a dalsi vnitrnosti, cerstve, chlazene
01235	Drůbeží odřezky a vnitřnosti, zmrazené
0124	Maso koní, oslú, mezků, čerstvé, chlazené, zmrazené
0125	Poživatelné vnitřnosti (ne drůbeží)
01251	Pozivatelne vnitrnosti hovezi, cerstve, chlazene
01252	Pozivatelne vnitrnosti hovezi, zmrazene
01253	Pozivatelne vnitrnosti veprove, cerstve, chlazene
01254	Pozivatelne vnitrnosti veprove, zmrazene
01255	Poziv. vnitrnosti ovci, koz, koni ap. cerstve, chlaz.
01256	Poziv. vnitrnosti ovci, koz, koni, oslu, ap. zmrazene
0129	Maso a vnitřnosti, čerstvé, chlazené, zmrazené, j.n.
01291	Maso a pozivatelne vnitrnosti kraliku nebo zajicu
01293	Sneci (jini nez morsti)
01299	Ost. maso, poziv. vnitrnosti, cerstve, chlaz., zmraz.
016	Maso, vnitřnosti poživ. solené, uzené ap., pokrmy z masa
0161	Slanina, šunka a ostatní vepřové maso
01611	Sunky, plece a jejich porce, s kosti
01612	Bucek (prorostly) a jeho porce
01619	Ostatni
0168	Maso a vnitřnosti, ne vepřové, solené, uzené apod.
01681	Maso hovezi
01689	Maso, poziv. vnitrnosti ostatni, vc. moucek a pokrmu
017	Maso a vnitřnosti připravené nebo konzervované jn.
0171	Výtažky a šťávy z masa, ryb, korýšů, měkkýšů apod.
0172	Uzeniny nebo podobné výrobky z masa
0173	Játra všech zvířat, připravená nebo konzervovaná,j.n.
0174	Maso a vnitřnosti (ne játra) drůbeže, připravené,j.n
0175	Maso a vnitřnosti (ne játra) vepřové, připravené,j.n
0176	Maso a vnitřnosti (ne játra) hovězí, připravené, j.n
0179	Ostatní připravené nebo konzerované maso
02	Mléčné výrobky a vejce
