obdobi	kod	cena
05/2000	2686	3
03/2003	2687	18
05/2003	2687	1
09/2003	2681	2
01/2004	2687	1
10/2005	2687	1
12/2007	2686	2
01/2008	2686	5
01/2008	2687	1
02/2008	2686	24
03/2008	2686	5
04/2008	2686	2
05/2008	2686	2
06/2008	2686	9
07/2008	2686	1
08/2008	2686	8
09/2008	2686	4
10/2008	2686	2
03/2009	2687	2
03/2010	2687	2
03/2011	2687	7
06/2011	2681	1
07/2011	2681	1
08/2011	2681	2
03/2012	2686	3
05/2012	2686	2
05/2012	2687	14
07/2012	2686	4
08/2012	2686	2
09/2012	2686	10
12/2012	2686	5
01/2013	2686	3
02/2013	2686	3
03/2013	2686	14
03/2013	2687	13
04/2013	2686	2
05/2013	2686	3
06/2013	2686	9
07/2013	2686	6
10/2013	2686	6
12/2013	2686	4
03/2014	2686	917
04/2014	2686	4
07/2014	2686	7
