obdobi	kod	cena
06/2001	72831	8
11/2001	72834	2
10/2002	72834	2
02/2003	72831	3
02/2003	72839	20
07/2003	72839	1
11/2003	72834	2
11/2003	72839	348
04/2004	72834	1
06/2004	72834	2
11/2004	72839	5
12/2004	72834	2
01/2005	72839	11
07/2005	72834	3
09/2005	72831	89
12/2005	72839	37
03/2006	72839	4
08/2006	72839	512
01/2007	72834	2
03/2007	72834	4
04/2007	72834	2
07/2007	72839	4
09/2007	72839	3
10/2007	72839	1
12/2007	72839	5
03/2008	72833	15
03/2008	72834	2
04/2008	72839	1
06/2008	72834	5
09/2008	72834	2
10/2008	72839	659
02/2009	72839	189
03/2009	72839	4
05/2009	72839	2
06/2009	72839	623
07/2009	72839	778
10/2009	72839	130
01/2010	72831	3
01/2010	72839	107
03/2010	72839	488
04/2010	72839	367
05/2010	72839	1
06/2010	72839	3
07/2010	72839	1
08/2010	72832	5
08/2010	72833	84
08/2010	72839	915
09/2010	72833	87
09/2010	72839	13
10/2010	72839	258
11/2010	72839	78
12/2010	72839	8
02/2011	72839	169
03/2011	72839	55
04/2011	72839	472
05/2011	72839	181
08/2011	72839	3
09/2011	72839	16
10/2011	72831	3
10/2011	72839	8
11/2011	72839	5
01/2012	72839	73
03/2012	72832	7
03/2012	72839	8
05/2012	72839	269
07/2012	72839	7
08/2012	72831	3
08/2012	72839	650
09/2012	72831	2
09/2012	72832	6
09/2012	72839	1
10/2012	72839	9
11/2012	72839	17
01/2013	72839	397
03/2013	72831	8
03/2013	72839	3
04/2013	72839	1
05/2013	72839	76
06/2013	72839	1
07/2013	72839	12
08/2013	72833	875
08/2013	72839	46
09/2013	72839	629
10/2013	72832	179
10/2013	72833	1
10/2013	72839	8
11/2013	72833	1
11/2013	72839	849
01/2014	72839	2
03/2014	72839	299
04/2014	72839	1
05/2014	72839	28
06/2014	72839	44
07/2014	72839	23
08/2014	72839	1
