obdobi	kod	cena
01/1999	69911	0
03/1999	69911	70
04/1999	69916	4
05/1999	69911	13
08/1999	69911	66
08/1999	69916	10
10/1999	69911	1
10/1999	69916	3
11/1999	69911	43
11/1999	69917	0
12/1999	69911	5
12/1999	69913	21
02/2000	69911	3
05/2000	69911	28
08/2000	69911	34
08/2000	69917	73
09/2000	69911	24
10/2000	69911	12
10/2000	69912	82
11/2000	69911	13
12/2000	69911	34
02/2001	69911	55
03/2001	69911	55
03/2001	69917	115
05/2001	69911	11
06/2001	69917	61
08/2001	69911	207
08/2001	69917	112
08/2001	69919	8
09/2001	69911	1
09/2001	69917	14
10/2001	69911	190
10/2001	69912	145
11/2001	69911	5
11/2001	69912	23
12/2001	69911	158
01/2002	69912	78
02/2002	69911	395
03/2002	69911	8
04/2002	69911	67
04/2002	69913	19
05/2002	69911	993
05/2002	69912	37
06/2002	69911	1690
07/2002	69911	172
08/2002	69911	1211
09/2002	69911	1160
10/2002	69911	11
11/2002	69911	1201
12/2002	69911	709
12/2002	69915	1
01/2003	69911	894
02/2003	69911	1760
03/2003	69911	1621
04/2003	69911	2144
05/2003	69911	2422
06/2003	69911	4464
07/2003	69911	244
08/2003	69911	1870
08/2003	69913	365
09/2003	69911	1706
09/2003	69919	4
10/2003	69911	1933
11/2003	69911	111
12/2003	69911	1638
01/2004	69911	1707
02/2004	69911	1768
03/2004	69911	4469
04/2004	69911	4098
05/2004	69911	2779
05/2004	69912	15
06/2004	69911	124
07/2004	69911	6
07/2004	69913	236
08/2004	69911	2744
09/2004	69911	12
10/2004	69911	29
11/2004	69911	4
11/2004	69917	1257
11/2004	69919	3
12/2004	69911	7
12/2004	69916	1408
01/2005	69911	179
02/2005	69911	1
03/2005	69911	657
03/2005	69912	48
03/2005	69913	30
03/2005	69915	4
04/2005	69911	45
04/2005	69915	4
05/2005	69911	120
05/2005	69915	26
06/2005	69911	47
06/2005	69917	99
07/2005	69911	9
07/2005	69913	311
07/2005	69917	212
08/2005	69911	269
08/2005	69916	318
08/2005	69917	508
09/2005	69911	191
09/2005	69913	462
09/2005	69917	480
10/2005	69919	31
11/2005	69911	1145
12/2005	69911	338
12/2005	69913	1267
01/2006	69911	1370
01/2006	69913	602
01/2006	69917	8
02/2006	69911	2776
02/2006	69913	1503
02/2006	69915	70
03/2006	69911	4242
