obdobi	kod	cena
05/2002	69933	1
10/2002	69933	2
02/2003	69933	2
03/2005	69933	1467
05/2006	69931	9
08/2006	69933	9
11/2006	69933	1
12/2006	69933	245
03/2007	69933	142
05/2007	69933	60
06/2007	69933	2
03/2008	69933	131
05/2008	69933	218
06/2008	69933	2
07/2008	69933	4
05/2009	69933	5
06/2009	69931	6
06/2009	69932	1
06/2009	69933	91
11/2009	69931	2
12/2009	69933	5
03/2010	69933	1
04/2010	69933	3
07/2010	69933	1
02/2011	69933	1
05/2011	69933	73
06/2011	69933	2
08/2011	69933	2
12/2011	69933	1
01/2012	69933	8
02/2012	69933	8
03/2012	69933	88
04/2012	69931	1
04/2012	69933	2
05/2012	69933	0
06/2012	69931	6
06/2012	69933	1
07/2012	69933	1
08/2012	69933	3
09/2012	69933	10
10/2012	69933	1
11/2012	69933	5
12/2012	69933	1
01/2013	69931	3
01/2013	69933	0
03/2013	69933	0
04/2013	69933	1
05/2013	69932	0
05/2013	69933	2
06/2013	69933	1
07/2013	69933	4
08/2013	69931	2
08/2013	69932	2
08/2013	69933	15
09/2013	69933	3
10/2013	69931	19
10/2013	69933	33
11/2013	69931	7
11/2013	69933	12
12/2013	69931	32
12/2013	69933	5
01/2014	69932	0
01/2014	69933	902
02/2014	69933	10
03/2014	69933	7
04/2014	69933	3
05/2014	69933	18
06/2014	69933	9
07/2014	69932	0
07/2014	69933	8
08/2014	69933	13
