obdobi	kod	cena
01/1999	7725	18
01/1999	7728	518
02/1999	7728	920
03/1999	7725	14
03/1999	7726	786
03/1999	7728	1
04/1999	7725	39
04/1999	7728	3
05/1999	7725	285
05/1999	7728	1
06/1999	7725	29
06/1999	7728	4
07/1999	7725	26
07/1999	7728	1
08/1999	7723	7
08/1999	7724	2
08/1999	7725	716
08/1999	7728	3
09/1999	7728	494
10/1999	7725	2
10/1999	7728	1
11/1999	7723	19
11/1999	7725	110
11/1999	7728	16
12/1999	7725	109
12/1999	7728	1
01/2000	7725	10
01/2000	7728	884
02/2000	7725	265
02/2000	7728	13
03/2000	7723	1
03/2000	7725	72
03/2000	7728	2
04/2000	7728	3
05/2000	7724	1
05/2000	7725	169
05/2000	7728	1
06/2000	7725	164
06/2000	7728	3
07/2000	7725	237
07/2000	7726	307
07/2000	7728	3
08/2000	7723	177
08/2000	7725	284
08/2000	7728	2
09/2000	7723	278
09/2000	7725	106
09/2000	7726	183
09/2000	7728	3
10/2000	7725	1
10/2000	7726	3
10/2000	7728	1
11/2000	7725	257
11/2000	7726	20
11/2000	7728	3
12/2000	7722	3
12/2000	7723	788
12/2000	7725	763
12/2000	7726	16
12/2000	7728	1
01/2001	7722	503
01/2001	7725	82
01/2001	7728	3
02/2001	7722	199
02/2001	7723	76
02/2001	7725	710
02/2001	7728	4
03/2001	7722	1
03/2001	7723	185
03/2001	7725	531
03/2001	7726	6
03/2001	7728	1
04/2001	7722	2
04/2001	7723	367
04/2001	7725	1919
04/2001	7726	966
04/2001	7728	1
05/2001	7722	2
05/2001	7723	93
05/2001	7725	1759
05/2001	7726	738
05/2001	7728	3
06/2001	7725	13
06/2001	7726	365
06/2001	7728	695
07/2001	7725	4
07/2001	7726	55
07/2001	7728	1
08/2001	7723	2
08/2001	7725	75
08/2001	7726	775
08/2001	7728	2
09/2001	7722	60
09/2001	7725	552
09/2001	7726	125
09/2001	7728	115
10/2001	7723	4
10/2001	7725	309
10/2001	7728	1
11/2001	7722	16
11/2001	7725	56
11/2001	7726	52
11/2001	7728	2
12/2001	7723	89
12/2001	7725	378
12/2001	7728	1
01/2002	7722	8
01/2002	7725	96
01/2002	7726	2
01/2002	7728	1
02/2002	7725	684
02/2002	7726	7
02/2002	7728	2
03/2002	7724	287
03/2002	7725	628
03/2002	7726	6
03/2002	7728	5
04/2002	7723	82
04/2002	7725	350
04/2002	7726	428
04/2002	7728	4
05/2002	7724	5
05/2002	7725	58
05/2002	7726	4
05/2002	7728	757
06/2002	7725	968
06/2002	7726	2
06/2002	7728	2
07/2002	7725	156
07/2002	7726	1
07/2002	7728	2
08/2002	7725	208
08/2002	7726	4
08/2002	7728	734
09/2002	7725	849
09/2002	7726	2
09/2002	7728	638
10/2002	7722	403
10/2002	7723	12
10/2002	7725	638
10/2002	7726	1
10/2002	7728	702
11/2002	7722	1
11/2002	7723	67
11/2002	7725	1217
11/2002	7726	6
11/2002	7728	1
12/2002	7722	830
12/2002	7723	78
12/2002	7725	656
12/2002	7728	1
01/2003	7722	106
01/2003	7725	1037
01/2003	7726	101
01/2003	7728	1
02/2003	7722	717
02/2003	7723	69
02/2003	7724	1
02/2003	7725	160
02/2003	7726	6
02/2003	7728	1
03/2003	7722	1
03/2003	7723	155
03/2003	7725	928
03/2003	7726	1
03/2003	7728	1
04/2003	7722	4
04/2003	7723	132
04/2003	7725	133
04/2003	7728	2
05/2003	7722	2
05/2003	7723	264
05/2003	7724	145
05/2003	7725	89
05/2003	7728	1
06/2003	7722	13
06/2003	7723	30
06/2003	7724	335
06/2003	7725	435
06/2003	7726	299
06/2003	7728	1
07/2003	7722	4
07/2003	7723	322
07/2003	7724	147
07/2003	7725	300
07/2003	7726	2
07/2003	7728	3
08/2003	7722	24
08/2003	7723	2
08/2003	7724	144
08/2003	7725	415
08/2003	7726	16
08/2003	7728	18
09/2003	7722	1
09/2003	7723	293
09/2003	7725	411
09/2003	7726	56
09/2003	7728	2
10/2003	7722	1
10/2003	7723	2
10/2003	7725	2145
10/2003	7726	69
10/2003	7728	2
11/2003	7725	116
11/2003	7726	2
11/2003	7728	57
12/2003	7723	3
12/2003	7724	5
12/2003	7725	961
12/2003	7726	74
12/2003	7728	2
01/2004	7722	56
01/2004	7723	7
01/2004	7725	417
01/2004	7726	40
01/2004	7728	1
02/2004	7722	232
02/2004	7724	37
02/2004	7725	122
02/2004	7726	2
02/2004	7728	2
03/2004	7722	17
03/2004	7725	412
03/2004	7726	12
03/2004	7728	15
04/2004	7723	1
04/2004	7725	521
04/2004	7726	16
04/2004	7728	2
05/2004	7722	182
05/2004	7723	226
05/2004	7725	393
05/2004	7726	185
05/2004	7728	987
06/2004	7722	509
06/2004	7723	286
06/2004	7725	1003
06/2004	7726	41
06/2004	7728	316
07/2004	7722	32
07/2004	7724	35
07/2004	7725	696
07/2004	7728	811
08/2004	7722	122
08/2004	7725	911
08/2004	7726	58
08/2004	7728	259
09/2004	7722	231
09/2004	7724	5
09/2004	7725	263
09/2004	7726	70
09/2004	7728	539
10/2004	7722	62
10/2004	7725	931
10/2004	7726	409
10/2004	7728	1
11/2004	7722	16
11/2004	7725	582
11/2004	7726	2
11/2004	7728	57
12/2004	7722	748
12/2004	7725	933
12/2004	7726	57
12/2004	7728	222
01/2005	7722	3
01/2005	7725	1102
01/2005	7726	993
01/2005	7728	1
02/2005	7723	75
02/2005	7725	593
02/2005	7726	34
02/2005	7728	2
03/2005	7722	6
03/2005	7723	14
03/2005	7725	840
03/2005	7726	1
03/2005	7728	4
04/2005	7722	432
04/2005	7723	4
04/2005	7724	346
04/2005	7725	42
04/2005	7726	4
04/2005	7728	4
05/2005	7722	441
05/2005	7725	65
05/2005	7726	629
05/2005	7728	9
06/2005	7722	193
06/2005	7723	27
06/2005	7725	229
06/2005	7726	1
06/2005	7728	754
07/2005	7722	334
07/2005	7725	15
07/2005	7726	2
07/2005	7728	101
08/2005	7722	73
08/2005	7725	103
08/2005	7726	4
08/2005	7728	996
09/2005	7722	123
09/2005	7723	145
09/2005	7724	1
09/2005	7725	331
09/2005	7726	752
09/2005	7728	955
10/2005	7722	96
10/2005	7723	173
10/2005	7725	91
10/2005	7726	271
10/2005	7728	334
11/2005	7723	90
11/2005	7725	1104
11/2005	7726	4
11/2005	7728	4
12/2005	7722	29
12/2005	7725	9
12/2005	7726	20
12/2005	7728	7
01/2006	7722	102
01/2006	7724	30
01/2006	7725	562
01/2006	7726	6
01/2006	7728	3
02/2006	7725	782
02/2006	7726	13
02/2006	7728	2
03/2006	7722	327
03/2006	7723	70
03/2006	7724	414
03/2006	7725	466
03/2006	7726	15
03/2006	7728	3
04/2006	7722	2
04/2006	7723	1
04/2006	7725	262
04/2006	7726	17
04/2006	7728	16
05/2006	7722	978
05/2006	7723	59
05/2006	7724	974
05/2006	7725	445
05/2006	7726	33
05/2006	7728	43
06/2006	7722	2
06/2006	7723	85
06/2006	7725	970
06/2006	7726	22
06/2006	7728	19
07/2006	7722	1
07/2006	7723	516
07/2006	7724	144
07/2006	7725	995
07/2006	7726	22
07/2006	7728	11
08/2006	7722	3
08/2006	7723	121
08/2006	7725	160
08/2006	7726	25
08/2006	7728	12
09/2006	7722	83
09/2006	7723	26
09/2006	7725	309
09/2006	7726	13
09/2006	7728	2
10/2006	7722	62
10/2006	7725	23
10/2006	7726	19
10/2006	7728	80
11/2006	7722	1
11/2006	7724	2
11/2006	7725	127
11/2006	7726	22
11/2006	7728	4
12/2006	7722	879
12/2006	7723	229
12/2006	7725	142
12/2006	7726	9
12/2006	7728	15
01/2007	7722	1
01/2007	7723	2
01/2007	7725	18
01/2007	7726	18
01/2007	7728	13
02/2007	7722	1
02/2007	7723	8
02/2007	7725	10
02/2007	7726	13
02/2007	7728	92
03/2007	7722	207
03/2007	7723	35
03/2007	7724	493
03/2007	7725	1089
03/2007	7726	13
03/2007	7728	5
04/2007	7722	7
04/2007	7723	314
04/2007	7724	536
04/2007	7725	902
04/2007	7726	24
04/2007	7728	11
05/2007	7722	5
05/2007	7723	152
05/2007	7724	1
05/2007	7725	1355
05/2007	7726	24
05/2007	7728	19
06/2007	7722	803
06/2007	7723	327
06/2007	7724	2
06/2007	7725	885
06/2007	7726	29
06/2007	7728	559
07/2007	7722	548
07/2007	7723	51
07/2007	7725	86
07/2007	7726	28
07/2007	7728	11
08/2007	7722	2
08/2007	7723	5
08/2007	7725	996
08/2007	7726	15
08/2007	7728	13
09/2007	7722	404
09/2007	7723	29
09/2007	7725	1341
09/2007	7726	20
09/2007	7728	15
10/2007	7722	2
10/2007	7723	1
10/2007	7724	4
10/2007	7725	624
10/2007	7726	28
10/2007	7728	26
11/2007	7722	1
11/2007	7723	467
11/2007	7724	12
11/2007	7725	761
11/2007	7726	18
11/2007	7728	57
12/2007	7722	1
12/2007	7723	819
12/2007	7724	6
12/2007	7725	315
12/2007	7726	21
12/2007	7728	110
01/2008	7722	6
01/2008	7723	373
01/2008	7724	6
01/2008	7725	1598
01/2008	7726	17
01/2008	7728	19
02/2008	7722	5
02/2008	7723	389
02/2008	7724	11
02/2008	7725	1028
02/2008	7726	18
02/2008	7728	16
03/2008	7722	7
03/2008	7723	597
03/2008	7725	1314
03/2008	7726	29
03/2008	7728	22
04/2008	7722	6
04/2008	7723	489
04/2008	7725	905
04/2008	7726	24
04/2008	7728	299
05/2008	7722	4
05/2008	7723	421
05/2008	7725	1312
05/2008	7726	3
05/2008	7728	14
06/2008	7722	2
06/2008	7723	559
06/2008	7725	1422
06/2008	7726	5
06/2008	7728	9
07/2008	7722	2
07/2008	7723	719
07/2008	7724	154
07/2008	7725	318
07/2008	7726	17
07/2008	7728	18
08/2008	7722	1
08/2008	7723	486
08/2008	7724	7
08/2008	7725	435
08/2008	7726	22
08/2008	7728	70
09/2008	7722	5
09/2008	7723	967
09/2008	7724	6
09/2008	7725	936
09/2008	7726	21
09/2008	7728	67
10/2008	7722	2
10/2008	7723	1322
10/2008	7724	20
10/2008	7725	465
10/2008	7726	18
10/2008	7728	13
11/2008	7722	27
11/2008	7723	1100
11/2008	7724	6
11/2008	7725	1192
11/2008	7726	17
11/2008	7728	319
12/2008	7722	151
12/2008	7723	331
12/2008	7724	35
12/2008	7725	886
12/2008	7726	76
12/2008	7728	205
01/2009	7722	391
01/2009	7723	1042
01/2009	7724	7
01/2009	7725	132
01/2009	7726	4
01/2009	7728	53
02/2009	7722	542
02/2009	7723	452
02/2009	7724	182
02/2009	7725	189
02/2009	7726	17
02/2009	7728	527
03/2009	7722	4
03/2009	7723	487
03/2009	7725	186
03/2009	7726	23
03/2009	7728	164
04/2009	7722	448
04/2009	7723	655
04/2009	7724	18
04/2009	7725	651
04/2009	7726	32
04/2009	7728	66
05/2009	7722	73
05/2009	7723	372
05/2009	7725	23
05/2009	7726	23
05/2009	7728	407
06/2009	7722	1
06/2009	7723	480
06/2009	7724	61
06/2009	7725	117
06/2009	7726	51
06/2009	7728	123
07/2009	7722	1
07/2009	7723	1147
07/2009	7724	86
07/2009	7725	74
07/2009	7726	27
07/2009	7728	37
08/2009	7722	6
08/2009	7723	352
08/2009	7724	6
08/2009	7725	79
08/2009	7726	38
08/2009	7728	21
09/2009	7722	213
09/2009	7723	772
09/2009	7724	0
09/2009	7725	60
09/2009	7726	41
09/2009	7728	33
10/2009	7722	676
10/2009	7723	720
10/2009	7725	71
10/2009	7726	33
10/2009	7728	384
11/2009	7722	626
11/2009	7723	1050
11/2009	7724	6
11/2009	7725	94
11/2009	7726	23
11/2009	7728	23
12/2009	7722	2
12/2009	7723	1303
12/2009	7724	9
12/2009	7725	1030
12/2009	7726	16
12/2009	7728	38
01/2010	7722	695
01/2010	7723	801
01/2010	7724	134
01/2010	7725	42
01/2010	7726	40
01/2010	7728	24
02/2010	7722	2
02/2010	7723	322
