obdobi	kod	cena
01/1999	634	610
03/1999	634	552
04/1999	633	262
07/1999	633	6
11/1999	634	1
02/2000	635	1
04/2000	635	3
06/2000	635	26
07/2000	635	181
08/2000	634	942
08/2000	635	25
09/2000	635	83
10/2000	635	20
11/2000	635	246
12/2000	635	76
01/2001	635	58
02/2001	635	59
03/2001	634	338
03/2001	635	990
04/2001	635	46
05/2001	635	329
06/2001	635	68
07/2001	635	9
08/2001	634	74
08/2001	635	1
09/2001	635	263
10/2001	635	119
12/2001	635	104
01/2002	635	102
02/2002	635	45
03/2002	635	139
04/2002	635	23
05/2002	635	888
06/2002	635	139
07/2002	635	67
08/2002	635	114
10/2002	634	6
10/2002	635	93
11/2002	635	1
01/2003	635	663
03/2003	635	161
04/2003	635	285
05/2003	635	539
07/2003	635	460
09/2003	635	224
10/2003	635	474
11/2003	635	183
12/2003	635	105
01/2004	635	191
02/2004	635	8
03/2004	635	956
04/2004	634	35
04/2004	635	727
05/2004	635	114
06/2004	635	96
07/2004	634	21
07/2004	635	6
08/2004	634	426
08/2004	635	32
09/2004	635	164
10/2004	635	65
11/2004	635	274
12/2004	635	296
01/2005	635	22
02/2005	635	65
03/2005	635	235
04/2005	635	340
05/2005	635	3
06/2005	635	490
07/2005	635	47
08/2005	633	255
08/2005	635	395
09/2005	635	210
10/2005	635	266
11/2005	635	32
12/2005	635	146
01/2006	635	190
02/2006	633	31
02/2006	635	293
03/2006	635	182
04/2006	635	459
05/2006	635	195
06/2006	635	128
07/2006	635	563
08/2006	633	62
08/2006	635	899
09/2006	635	811
10/2006	635	646
11/2006	635	197
12/2006	635	3
01/2007	635	722
02/2007	635	933
03/2007	635	486
04/2007	634	3
04/2007	635	330
05/2007	634	1
05/2007	635	273
06/2007	634	1
06/2007	635	823
07/2007	635	201
08/2007	634	1
08/2007	635	186
09/2007	635	42
10/2007	634	2
10/2007	635	884
11/2007	635	999
12/2007	635	123
01/2008	634	1
01/2008	635	321
02/2008	634	20
02/2008	635	797
03/2008	634	1
03/2008	635	588
04/2008	634	11
04/2008	635	655
05/2008	633	26
05/2008	634	4
05/2008	635	248
06/2008	634	28
06/2008	635	449
07/2008	635	202
08/2008	634	1
08/2008	635	144
09/2008	635	138
10/2008	635	299
11/2008	634	647
11/2008	635	180
12/2008	634	1
12/2008	635	228
01/2009	634	1
01/2009	635	184
02/2009	634	1
02/2009	635	53
03/2009	634	1
03/2009	635	125
04/2009	634	4
04/2009	635	93
05/2009	634	2
05/2009	635	154
06/2009	633	3
06/2009	634	2
06/2009	635	217
07/2009	633	10
07/2009	634	1
07/2009	635	865
08/2009	634	4
08/2009	635	85
09/2009	634	3
09/2009	635	366
10/2009	634	4
10/2009	635	78
11/2009	634	3
11/2009	635	182
12/2009	634	4
12/2009	635	201
01/2010	633	214
01/2010	634	72
01/2010	635	85
02/2010	634	1374
02/2010	635	448
03/2010	634	3
03/2010	635	264
04/2010	634	2
04/2010	635	300
05/2010	634	2
05/2010	635	224
06/2010	633	0
06/2010	634	3
06/2010	635	387
07/2010	633	6
07/2010	634	6
07/2010	635	258
08/2010	634	5
08/2010	635	455
09/2010	633	6
09/2010	634	5
09/2010	635	185
10/2010	634	8
10/2010	635	130
11/2010	634	7
11/2010	635	284
12/2010	634	4
12/2010	635	156
01/2011	634	12
01/2011	635	194
02/2011	634	51
02/2011	635	446
03/2011	634	5
03/2011	635	714
04/2011	634	5
04/2011	635	217
05/2011	634	4
05/2011	635	401
06/2011	633	6
06/2011	634	7
06/2011	635	307
07/2011	633	6
07/2011	634	8
07/2011	635	303
08/2011	634	5
08/2011	635	305
09/2011	633	104
09/2011	634	7
09/2011	635	298
10/2011	634	6
10/2011	635	202
11/2011	633	100
11/2011	634	7
11/2011	635	259
12/2011	633	209
12/2011	634	21
12/2011	635	264
01/2012	634	7
01/2012	635	304
02/2012	634	8
02/2012	635	470
03/2012	634	13
03/2012	635	176
04/2012	633	100
04/2012	634	7
04/2012	635	404
05/2012	634	12
05/2012	635	469
06/2012	634	116
06/2012	635	265
07/2012	633	0
07/2012	634	9
07/2012	635	388
08/2012	633	1
08/2012	634	7
08/2012	635	109
09/2012	633	0
09/2012	634	8
09/2012	635	489
10/2012	634	6
10/2012	635	843
11/2012	634	6
11/2012	635	427
12/2012	634	5
12/2012	635	450
01/2013	633	1
01/2013	634	2
01/2013	635	199
02/2013	634	463
02/2013	635	397
03/2013	634	1
03/2013	635	266
04/2013	633	0
04/2013	634	106
04/2013	635	147
05/2013	633	0
05/2013	634	10
05/2013	635	263
06/2013	634	11
06/2013	635	590
07/2013	633	2
07/2013	634	12
07/2013	635	453
08/2013	634	3
08/2013	635	388
09/2013	634	3
09/2013	635	225
10/2013	633	2
10/2013	634	80
10/2013	635	356
11/2013	634	6
11/2013	635	683
12/2013	634	47
12/2013	635	375
01/2014	634	4
01/2014	635	299
02/2014	634	497
02/2014	635	643
03/2014	634	729
03/2014	635	523
04/2014	634	8
04/2014	635	223
05/2014	634	8
05/2014	635	902
06/2014	633	4
06/2014	634	124
06/2014	635	2178
07/2014	634	200
07/2014	635	289
08/2014	634	6
08/2014	635	1520
