obdobi	kod	cena
04/1999	77821	8
05/1999	77821	9
05/1999	77822	1203
05/1999	77823	0
08/1999	77821	15
10/1999	77821	10
11/1999	77821	10
12/1999	77821	10
02/2000	77821	5
04/2000	77821	1
05/2000	77821	2
05/2000	77822	683
06/2000	77821	1
08/2000	77821	1
09/2000	77821	0
10/2000	77823	3
01/2001	77821	2
03/2001	77821	166
04/2001	77821	1
05/2001	77821	27
06/2001	77821	15
07/2001	77822	10
07/2001	77829	395
10/2001	77821	10
03/2002	77821	42
05/2002	77821	32
05/2002	77822	1
10/2002	77821	4
10/2002	77822	5
11/2002	77821	3
04/2003	77822	2
08/2003	77821	3
01/2004	77822	4
05/2004	77821	3
05/2004	77829	2933
06/2004	77829	1202
07/2004	77822	32
07/2004	77829	1138
08/2004	77829	601
09/2004	77822	8
09/2004	77829	1622
10/2004	77829	709
11/2004	77829	51
12/2004	77829	648
01/2005	77822	8
01/2005	77829	413
02/2005	77821	2
02/2005	77824	32
02/2005	77829	379
03/2005	77829	265
04/2005	77823	2
04/2005	77829	31
05/2005	77822	46
05/2005	77824	9
05/2005	77829	293
06/2005	77824	5
06/2005	77829	265
07/2005	77823	2
07/2005	77829	352
08/2005	77829	212
09/2005	77829	245
10/2005	77829	314
11/2005	77829	99
12/2005	77829	481
02/2006	77821	9
02/2006	77829	161
03/2006	77823	13
03/2006	77829	642
04/2006	77829	664
05/2006	77821	3
05/2006	77829	591
06/2006	77822	4
06/2006	77829	561
07/2006	77822	4
07/2006	77829	490
08/2006	77822	68
08/2006	77829	198
09/2006	77822	7
09/2006	77824	20
09/2006	77829	262
10/2006	77821	1
10/2006	77829	451
11/2006	77829	714
12/2006	77822	46
12/2006	77829	455
01/2007	77829	634
02/2007	77822	46
02/2007	77829	1998
03/2007	77824	7
03/2007	77829	1077
04/2007	77829	339
05/2007	77821	1
05/2007	77829	939
06/2007	77829	69
07/2007	77829	363
08/2007	77821	4
08/2007	77829	710
09/2007	77822	11
09/2007	77824	5
09/2007	77829	373
10/2007	77821	4
10/2007	77822	4
10/2007	77829	250
11/2007	77829	518
12/2007	77821	9
12/2007	77829	979
01/2008	77829	414
02/2008	77821	1
02/2008	77829	1336
03/2008	77821	4
03/2008	77829	1133
04/2008	77829	1059
05/2008	77821	6
05/2008	77829	1157
06/2008	77829	1631
07/2008	77821	1
07/2008	77829	1171
08/2008	77822	75
08/2008	77829	1130
09/2008	77822	120
09/2008	77829	1106
10/2008	77829	1516
11/2008	77821	5
11/2008	77829	761
12/2008	77829	734
01/2009	77829	697
02/2009	77822	17
02/2009	77829	1088
03/2009	77822	64
03/2009	77829	2281
04/2009	77821	12
04/2009	77829	1210
05/2009	77821	4
05/2009	77829	1389
06/2009	77822	528
06/2009	77823	1
06/2009	77829	1212
07/2009	77821	2
07/2009	77829	1119
08/2009	77829	1470
09/2009	77821	4
09/2009	77822	54
09/2009	77829	509
10/2009	77821	5
10/2009	77829	2049
11/2009	77822	6
11/2009	77829	1442
12/2009	77821	10
12/2009	77829	1317
01/2010	77821	19
01/2010	77829	1942
02/2010	77821	1
02/2010	77822	107
02/2010	77829	2251
03/2010	77821	1
03/2010	77823	231
03/2010	77829	2864
04/2010	77829	2520
05/2010	77829	2130
06/2010	77821	8
06/2010	77829	1377
07/2010	77829	1016
08/2010	77821	4
08/2010	77829	1436
09/2010	77829	549
10/2010	77822	105
10/2010	77823	1
10/2010	77829	1153
