obdobi	kod	cena
12/2001	71651	2
08/2002	71651	3
07/2003	71651	9
11/2003	71651	9
12/2004	71652	96
03/2005	71651	2
03/2005	71652	96
06/2005	71651	5
09/2005	71651	4
11/2005	71652	90
02/2006	71651	4
02/2006	71652	45
06/2006	71651	69
10/2006	71652	36
11/2006	71651	4
12/2006	71651	239
01/2007	71651	380
03/2007	71652	108
05/2007	71651	9
06/2007	71652	26
10/2007	71651	2
10/2007	71652	282
01/2008	71652	86
02/2008	71652	166
06/2008	71652	85
01/2010	71651	429
08/2010	71652	75
09/2010	71652	68
10/2010	71652	201
11/2010	71652	129
12/2010	71651	794
03/2011	71651	3
03/2011	71652	134
04/2011	71652	133
05/2011	71652	151
06/2011	71652	142
07/2011	71652	135
08/2011	71652	272
09/2011	71651	6
09/2011	71652	170
10/2011	71652	205
11/2011	71652	197
12/2011	71652	207
01/2012	71652	210
02/2012	71652	204
03/2012	71652	63
04/2012	71652	68
07/2012	71652	1
02/2013	71652	92
03/2013	71652	2
04/2013	71652	2
04/2014	71652	18
05/2014	71652	64
07/2014	71652	37
