obdobi	kod	cena
01/1999	752	1078
01/1999	759	4708
02/1999	759	1054
03/1999	759	1047
04/1999	751	15
05/1999	759	2153
06/1999	752	32
06/1999	759	1471
07/1999	759	309
08/1999	759	18
11/1999	752	48
02/2000	752	25
03/2000	752	128
03/2000	759	350
04/2000	752	1973
05/2000	752	3260
05/2000	759	13703
06/2000	752	1296
07/2000	752	221
08/2000	752	241
08/2000	759	191
09/2000	752	846
09/2000	759	2515
10/2000	752	661
11/2000	752	48440
12/2000	752	35638
12/2000	759	169
01/2001	752	67250
01/2001	759	73
02/2001	752	8473
03/2001	752	510
04/2001	752	2140
04/2001	759	1100
05/2001	752	1106
05/2001	759	384
06/2001	752	20035
06/2001	759	509
07/2001	752	1433
07/2001	759	137
08/2001	752	134
08/2001	759	985
09/2001	752	1298
10/2001	752	9525
10/2001	759	1203
11/2001	752	5786
11/2001	759	2609
12/2001	752	1935
12/2001	759	815
01/2002	752	689
01/2002	759	18501
02/2002	752	20
02/2002	759	184
03/2002	751	26
03/2002	752	5725
03/2002	759	1400
04/2002	752	2385
04/2002	759	597
05/2002	752	1165
05/2002	759	817
06/2002	752	1774
06/2002	759	2535
07/2002	759	21479
08/2002	752	691
08/2002	759	397
09/2002	752	33774
09/2002	759	61760
10/2002	752	4022
10/2002	759	284732
11/2002	752	1051
11/2002	759	268039
12/2002	752	1628
12/2002	759	1386
01/2003	751	1
01/2003	752	8274
01/2003	759	94651
02/2003	752	2522
02/2003	759	95084
03/2003	752	192
03/2003	759	78634
04/2003	751	40
04/2003	752	739
04/2003	759	1025
05/2003	752	161
05/2003	759	46631
06/2003	752	1455
06/2003	759	42403
07/2003	752	1206
07/2003	759	639
08/2003	752	238
08/2003	759	77715
09/2003	752	3640
09/2003	759	9513
10/2003	752	926
10/2003	759	5098
11/2003	752	739
11/2003	759	18258
12/2003	752	1027
12/2003	759	23255
01/2004	752	5868
01/2004	759	2758
02/2004	752	424
02/2004	759	2057
03/2004	752	1881
03/2004	759	1321
04/2004	752	15436
04/2004	759	47721
05/2004	752	922
05/2004	759	873
06/2004	751	8
06/2004	752	5208
06/2004	759	1488
07/2004	752	223
07/2004	759	1146
08/2004	752	5
08/2004	759	1117
09/2004	752	105
09/2004	759	859
10/2004	751	3
10/2004	752	221
10/2004	759	612
11/2004	751	9
11/2004	752	185
11/2004	759	911
12/2004	752	2361
12/2004	759	4553
01/2005	752	285
01/2005	759	4269
02/2005	752	5810
02/2005	759	12480
03/2005	752	6327
03/2005	759	973
04/2005	752	1800
04/2005	759	5151
05/2005	752	15565
05/2005	759	8671
06/2005	752	8740
06/2005	759	6418
07/2005	752	8608
07/2005	759	4501
08/2005	752	71022
08/2005	759	15404
09/2005	759	8668
10/2005	752	13241
10/2005	759	5729
11/2005	752	23581
11/2005	759	6634
12/2005	752	9702
12/2005	759	4634
01/2006	751	2
01/2006	752	3758
01/2006	759	3174
02/2006	752	786
02/2006	759	14620
03/2006	751	2
03/2006	752	2515
03/2006	759	20695
04/2006	752	2401
04/2006	759	17624
05/2006	752	20336
05/2006	759	17929
06/2006	752	2711
06/2006	759	25409
07/2006	752	14333
07/2006	759	22585
08/2006	752	1740
08/2006	759	45908
09/2006	752	1322
09/2006	759	34865
10/2006	752	16465
10/2006	759	69017
11/2006	752	9788
11/2006	759	42204
12/2006	752	11439
12/2006	759	56941
01/2007	751	809
01/2007	752	9287
01/2007	759	56961
02/2007	751	2327
02/2007	752	14054
02/2007	759	38635
03/2007	751	1155
03/2007	752	5673
03/2007	759	87263
04/2007	751	691
04/2007	752	1545
04/2007	759	134287
05/2007	751	1499
05/2007	752	8450
05/2007	759	143803
06/2007	751	411
06/2007	752	1127
06/2007	759	159961
07/2007	751	2875
07/2007	752	4517
07/2007	759	91561
08/2007	751	1237
08/2007	752	3276
08/2007	759	164529
09/2007	751	5523
09/2007	752	14121
09/2007	759	158773
10/2007	751	1485
10/2007	752	3156
10/2007	759	115809
11/2007	751	111
11/2007	752	7839
11/2007	759	154718
12/2007	751	69
12/2007	752	14422
12/2007	759	125700
01/2008	752	11505
01/2008	759	169236
02/2008	751	33
02/2008	752	6445
02/2008	759	43088
03/2008	751	2770
03/2008	752	3058
03/2008	759	35868
04/2008	751	2939
04/2008	752	5616
04/2008	759	60602
05/2008	751	2741
05/2008	752	9510
05/2008	759	24840
06/2008	751	355
06/2008	752	12399
06/2008	759	225430
07/2008	751	9
07/2008	752	4030
07/2008	759	45074
08/2008	751	1
08/2008	752	1811
08/2008	759	47330
09/2008	751	2686
09/2008	752	1842
09/2008	759	66931
10/2008	751	10
10/2008	752	6197
10/2008	759	73833
11/2008	751	631
11/2008	752	1963
11/2008	759	73398
12/2008	751	2543
12/2008	752	10110
12/2008	759	73973
01/2009	751	763
01/2009	752	5746
01/2009	759	31734
02/2009	751	1147
02/2009	752	1859
02/2009	759	41310
03/2009	752	383
03/2009	759	75619
04/2009	752	850
04/2009	759	65158
05/2009	751	66
05/2009	752	2624
05/2009	759	59257
06/2009	751	3309
06/2009	752	5748
06/2009	759	50568
07/2009	751	1511
07/2009	752	6943
07/2009	759	52707
08/2009	751	15
08/2009	752	4364
08/2009	759	34665
09/2009	751	428
