obdobi	kod	cena
08/2001	7486	46
08/2002	7486	71
10/2002	7486	50
01/2003	7486	190
06/2003	7486	24
09/2003	7486	30
05/2004	7486	12
10/2004	7486	42
12/2004	7486	3
04/2005	7486	942
05/2005	7486	953
12/2005	7486	93
03/2006	7486	768
05/2006	7486	795
07/2006	7486	915
08/2006	7486	986
09/2006	7486	112
10/2006	7486	552
01/2007	7486	1046
04/2007	7486	1177
05/2007	7486	1005
06/2007	7486	1763
07/2007	7486	880
08/2007	7486	252
09/2007	7486	9
10/2007	7486	6
11/2007	7486	834
12/2007	7486	56
01/2008	7486	720
02/2008	7486	20
04/2008	7486	36
06/2008	7486	21
08/2008	7486	22
09/2008	7486	237
10/2008	7486	24
11/2008	7486	109
12/2008	7486	11
01/2009	7486	706
02/2009	7486	236
03/2009	7486	2554
04/2009	7486	1690
05/2009	7486	78
06/2009	7486	30
07/2009	7486	248
08/2009	7486	1410
09/2009	7486	318
10/2009	7486	722
11/2009	7486	236
12/2009	7486	134
01/2010	7486	782
02/2010	7486	966
03/2010	7486	1376
04/2010	7486	3408
05/2010	7486	1638
06/2010	7486	2206
07/2010	7486	1587
08/2010	7486	544
09/2010	7486	393
10/2010	7486	1098
11/2010	7486	784
12/2010	7486	668
01/2011	7486	2195
02/2011	7486	2274
03/2011	7486	2428
04/2011	7486	3794
05/2011	7486	4360
06/2011	7486	3743
07/2011	7486	6306
08/2011	7486	3706
09/2011	7486	8938
10/2011	7486	2728
11/2011	7486	5006
12/2011	7486	4060
01/2012	7486	1238
02/2012	7486	613
03/2012	7486	3292
04/2012	7486	3470
05/2012	7486	3087
06/2012	7486	7340
07/2012	7486	5680
08/2012	7486	7020
09/2012	7486	5488
10/2012	7486	3948
11/2012	7486	4398
12/2012	7486	4614
01/2013	7486	1091
02/2013	7486	2160
03/2013	7486	847
04/2013	7486	574
05/2013	7486	1119
06/2013	7486	1109
07/2013	7486	332
08/2013	7486	6029
09/2013	7486	954
10/2013	7486	277
11/2013	7486	543
12/2013	7486	2537
01/2014	7486	1890
02/2014	7486	4560
03/2014	7486	1830
04/2014	7486	2325
05/2014	7486	8433
06/2014	7486	5103
07/2014	7486	1456
08/2014	7486	6235
