obdobi	kod	cena
01/1999	2	360
01/1999	5	65
01/1999	6	2543
01/1999	7	105138
01/1999	8	1239
02/1999	5	14225
02/1999	6	3526
02/1999	7	81612
02/1999	8	1911
03/1999	2	552
03/1999	5	222
03/1999	6	4124
03/1999	7	130035
03/1999	8	8423
04/1999	5	14015
04/1999	2	911
04/1999	6	12014
04/1999	7	69301
04/1999	8	7163
05/1999	1	263
05/1999	2	591
05/1999	5	57
05/1999	6	12376
05/1999	7	164856
05/1999	8	9938
06/1999	2	3785
06/1999	1	290
06/1999	5	10413
06/1999	6	23114
06/1999	7	93605
06/1999	8	8594
07/1999	9	4
07/1999	1	4
07/1999	5	21040
07/1999	6	7963
07/1999	7	109950
07/1999	8	2828
08/1999	2	639
08/1999	5	17713
08/1999	6	7831
08/1999	7	168181
08/1999	8	1562
09/1999	2	963
09/1999	1	0
09/1999	5	8492
09/1999	6	12972
09/1999	7	293957
09/1999	8	8847
10/1999	5	21950
10/1999	1	262
10/1999	2	1713
10/1999	6	11721
10/1999	7	161305
10/1999	8	4052
11/1999	5	21736
11/1999	1	20
11/1999	2	3995
11/1999	6	9611
11/1999	7	101259
11/1999	8	1681
12/1999	1	176
12/1999	2	46
12/1999	5	45049
12/1999	6	13490
12/1999	7	172391
12/1999	8	5868
01/2000	1	7
01/2000	2	757
01/2000	5	31513
01/2000	6	7204
01/2000	7	90672
01/2000	8	2256
02/2000	2	1381
02/2000	5	20382
02/2000	1	193
02/2000	6	9692
02/2000	7	153569
02/2000	8	6125
03/2000	5	37781
03/2000	1	16
03/2000	2	2922
03/2000	3	2482
03/2000	6	14811
03/2000	7	187851
03/2000	8	5522
04/2000	5	11342
04/2000	1	22
04/2000	2	531
04/2000	3	2140
04/2000	6	14487
04/2000	7	153980
04/2000	8	6413
05/2000	2	8026
05/2000	3	3083
05/2000	5	29727
05/2000	9	3
05/2000	1	346
05/2000	6	11188
05/2000	7	291695
05/2000	8	3085
06/2000	1	131
06/2000	2	4335
06/2000	3	2502
06/2000	5	51350
06/2000	6	17371
06/2000	7	255675
06/2000	8	8574
07/2000	2	3434
07/2000	5	9415
07/2000	6	21217
07/2000	7	46851
07/2000	8	6502
08/2000	2	1225
08/2000	5	40216
08/2000	1	494
08/2000	6	17169
08/2000	7	67783
08/2000	8	5925
09/2000	2	1033
09/2000	5	34356
09/2000	6	22638
09/2000	7	89529
09/2000	8	3098
10/2000	1	2
10/2000	2	3193
10/2000	3	145
10/2000	5	36916
10/2000	6	26138
10/2000	7	86559
10/2000	8	8869
11/2000	1	150
11/2000	2	1407
11/2000	5	65638
11/2000	6	39290
11/2000	7	128694
11/2000	8	7704
12/2000	2	2489
12/2000	5	15309
12/2000	6	14048
