obdobi	kod	cena
04/1999	84811	0
07/1999	84811	3
08/1999	84811	2
10/1999	84811	27
04/2000	84811	50
12/2000	84811	1
04/2001	84811	6
08/2001	84812	108
11/2001	84811	2
06/2002	84811	2
12/2002	84811	4
01/2003	84811	4
06/2003	84811	6
03/2004	84812	71
10/2004	84812	46
02/2005	84812	1
07/2005	84811	381
08/2005	84811	179
07/2006	84812	32
10/2006	84812	87
09/2007	84813	1
10/2008	84811	2
03/2009	84812	206
07/2009	84811	50
07/2009	84812	43
12/2009	84812	323
03/2010	84812	210
04/2010	84811	58
04/2010	84813	11
05/2010	84812	118
06/2010	84812	66
07/2010	84812	37
10/2010	84811	45
11/2010	84812	227
12/2010	84812	213
02/2011	84812	219
04/2011	84812	272
05/2011	84812	191
05/2011	84813	41
06/2011	84812	207
07/2011	84812	79
08/2011	84811	43
08/2011	84812	14
10/2011	84812	110
10/2011	84813	0
01/2012	84812	182
03/2012	84812	133
04/2012	84812	8
05/2012	84812	411
06/2012	84812	144
07/2012	84812	1
08/2012	84812	20
09/2012	84811	160
09/2012	84812	2
09/2012	84813	2
10/2012	84812	1
11/2012	84812	241
01/2013	84812	1
02/2013	84812	197
03/2013	84812	1
04/2013	84812	27
05/2013	84812	212
07/2013	84812	30
08/2013	84812	1
10/2013	84812	173
11/2013	84812	39
12/2013	84812	270
12/2013	84813	14
02/2014	84812	156
04/2014	84812	143
06/2014	84812	115
07/2014	84812	7
