obdobi	kod	cena
03/1999	6524	79
04/1999	6524	37
05/1999	6524	582
06/1999	6524	121
08/1999	6524	1357
09/1999	6524	1457
10/1999	6524	305
11/1999	6524	971
12/1999	6524	753
01/2000	6523	80
01/2000	6524	1181
02/2000	6522	80
02/2000	6524	709
03/2000	6523	2122
04/2000	6524	986
05/2000	6522	130
05/2000	6524	216
06/2000	6524	476
07/2000	6523	673
07/2000	6524	2017
08/2000	6524	1921
12/2000	6523	1363
05/2001	6521	377
11/2001	6524	88
12/2001	6521	5
02/2002	6521	143
03/2002	6524	492
04/2002	6521	171
05/2002	6524	358
06/2002	6524	1740
08/2002	6523	12
08/2002	6524	2
10/2002	6521	61
10/2002	6524	1899
11/2002	6522	678
11/2002	6523	21
11/2002	6524	1257
12/2002	6523	19
01/2003	6525	1189
02/2003	6524	1914
03/2003	6522	11
03/2003	6523	122
04/2003	6523	104
04/2003	6524	1909
05/2003	6521	197
05/2003	6523	217
06/2003	6523	311
07/2003	6523	154
08/2003	6523	134
08/2003	6524	1746
10/2003	6524	865
11/2003	6523	170
12/2003	6524	1668
01/2004	6523	116
02/2004	6521	69
02/2004	6522	31
02/2004	6523	89
04/2004	6523	59
04/2004	6524	1131
05/2004	6521	1
05/2004	6523	1261
06/2004	6522	60
06/2004	6523	408
06/2004	6524	71
06/2004	6529	316
07/2004	6523	1263
08/2004	6523	2401
09/2004	6524	663
10/2004	6524	391
10/2004	6529	2764
11/2004	6521	251
12/2004	6524	454
01/2005	6523	77
02/2005	6523	1033
02/2005	6524	76
02/2005	6525	2
02/2005	6529	224
03/2005	6522	73
03/2005	6529	123
04/2005	6521	363
04/2005	6523	58
04/2005	6529	363
05/2005	6523	24
06/2005	6521	380
06/2005	6523	967
06/2005	6525	48
07/2005	6521	6
07/2005	6523	841
08/2005	6523	932
09/2005	6521	228
09/2005	6522	42
10/2005	6523	276
11/2005	6522	43
11/2005	6523	54
11/2005	6524	1553
12/2005	6521	209
12/2005	6522	71
01/2006	6521	4
01/2006	6523	53
02/2006	6521	6
02/2006	6524	3119
03/2006	6521	141
03/2006	6523	12
03/2006	6524	1522
04/2006	6524	1490
05/2006	6521	2394
05/2006	6523	346
05/2006	6524	1450
06/2006	6521	10
06/2006	6522	53
06/2006	6523	361
06/2006	6529	257
07/2006	6523	258
07/2006	6524	1431
08/2006	6523	372
09/2006	6521	633
09/2006	6522	128
09/2006	6523	72
10/2006	6522	74
10/2006	6523	43
11/2006	6521	84
11/2006	6523	111
12/2006	6521	191
12/2006	6522	87
12/2006	6523	89
01/2007	6523	258
02/2007	6523	16
02/2007	6524	88
03/2007	6521	364
03/2007	6523	16
03/2007	6524	1344
03/2007	6529	3
05/2007	6521	187
05/2007	6522	55
06/2007	6522	386
06/2007	6523	78
06/2007	6524	1251
07/2007	6522	531
07/2007	6523	51
07/2007	6524	1319
08/2007	6522	13
08/2007	6524	144
09/2007	6522	521
10/2007	6522	506
10/2007	6523	694
10/2007	6524	1127
11/2007	6522	1000
11/2007	6523	49
11/2007	6524	1165
01/2008	6523	295
01/2008	6524	1194
02/2008	6521	148
03/2008	6521	420
03/2008	6523	128
03/2008	6524	923
04/2008	6521	1018
05/2008	6524	183
06/2008	6523	261
06/2008	6524	916
07/2008	6523	22
08/2008	6522	249
09/2008	6524	999
10/2008	6521	51
10/2008	6523	641
12/2008	6523	350
12/2008	6524	132
01/2009	6523	67
04/2009	6524	27
05/2009	6523	49
06/2009	6521	674
06/2009	6523	0
06/2009	6524	85
09/2009	6521	328
11/2009	6521	133
11/2009	6522	1
11/2009	6523	7
11/2009	6524	3
11/2009	6526	14
12/2009	6521	154
12/2009	6523	3
12/2009	6524	942
12/2009	6526	314
01/2010	6523	3
03/2010	6523	30
06/2010	6523	3
08/2010	6523	19
11/2010	6523	15
11/2010	6529	10
12/2010	6529	3423
03/2011	6523	18
03/2011	6529	2949
04/2011	6521	1
04/2011	6523	108
04/2011	6529	719
05/2011	6523	1977
05/2011	6529	890
06/2011	6523	860
06/2011	6529	5821
07/2011	6523	488
07/2011	6529	4991
08/2011	6523	2
08/2011	6524	11
08/2011	6529	4300
09/2011	6524	1788
09/2011	6529	11965
10/2011	6521	10
10/2011	6529	2005
11/2011	6523	863
12/2011	6523	117
02/2012	6523	45
02/2012	6524	1154
02/2012	6529	3255
03/2012	6529	1269
04/2012	6521	115
04/2012	6529	3471
05/2012	6523	166
05/2012	6524	1340
05/2012	6529	7281
06/2012	6523	22
07/2012	6523	60
07/2012	6529	3821
08/2012	6523	3
09/2012	6523	31
09/2012	6529	3613
10/2012	6523	2
11/2012	6523	419
11/2012	6529	5317
12/2012	6523	195
01/2013	6523	397
01/2013	6524	2
01/2013	6529	5102
02/2013	6524	10
03/2013	6529	1627
05/2013	6523	8
05/2013	6529	7263
06/2013	6523	84
07/2013	6523	1
08/2013	6524	29
09/2013	6523	7
10/2013	6523	263
11/2013	6523	149
12/2013	6523	341
01/2014	6523	65
02/2014	6523	6
03/2014	6523	293
04/2014	6523	80
05/2014	6523	389
06/2014	6523	136
07/2014	6521	0
07/2014	6523	2052
