obdobi	kod	cena
02/2000	7272	1
02/2001	7272	307
12/2001	7272	1
02/2002	7271	7
02/2002	7272	124
12/2005	7272	138
04/2006	7272	16
07/2006	7272	533
02/2008	7272	51
10/2008	7272	84
11/2010	7272	233
02/2012	7272	18
03/2012	7272	506
04/2012	7272	79
05/2012	7272	974
08/2012	7272	150
09/2012	7272	63
11/2012	7272	1
12/2012	7272	1
01/2013	7272	260
03/2013	7272	3
05/2013	7272	72
06/2013	7272	376
07/2013	7272	115
08/2013	7272	528
09/2013	7272	53
11/2013	7272	17
12/2013	7272	828
01/2014	7272	66
02/2014	7272	43
03/2014	7272	95
04/2014	7272	677
05/2014	7272	281
06/2014	7272	50
08/2014	7272	13
