obdobi	kod	cena
08/2004	63412	426
04/2007	63412	3
05/2007	63412	1
06/2007	63412	1
08/2007	63412	1
10/2007	63412	2
01/2008	63412	1
02/2008	63412	20
03/2008	63412	1
05/2008	63412	4
08/2008	63412	1
11/2008	63412	647
12/2008	63412	1
01/2009	63412	1
02/2009	63412	1
03/2009	63412	1
04/2009	63412	4
05/2009	63412	2
06/2009	63412	2
07/2009	63412	1
08/2009	63412	4
09/2009	63412	3
10/2009	63412	4
11/2009	63412	3
12/2009	63412	4
01/2010	63412	1
02/2010	63412	892
03/2010	63412	3
04/2010	63412	2
05/2010	63412	2
06/2010	63412	3
07/2010	63412	6
08/2010	63412	5
09/2010	63412	5
10/2010	63412	8
11/2010	63412	7
12/2010	63412	4
01/2011	63412	12
02/2011	63412	6
03/2011	63412	5
04/2011	63412	5
05/2011	63412	4
06/2011	63412	7
07/2011	63412	8
08/2011	63412	5
09/2011	63412	7
10/2011	63412	6
11/2011	63412	7
12/2011	63412	6
01/2012	63412	7
02/2012	63412	8
03/2012	63412	13
04/2012	63412	7
05/2012	63412	12
06/2012	63411	104
06/2012	63412	12
07/2012	63412	9
08/2012	63412	7
09/2012	63412	8
10/2012	63412	6
11/2012	63412	6
12/2012	63412	5
01/2013	63412	2
02/2013	63411	457
02/2013	63412	6
03/2013	63412	1
04/2013	63412	9
05/2013	63412	10
06/2013	63412	11
07/2013	63412	12
08/2013	63412	3
09/2013	63412	3
10/2013	63412	9
11/2013	63412	6
12/2013	63412	2
01/2014	63412	4
02/2014	63412	5
03/2014	63412	5
04/2014	63412	8
05/2014	63412	8
06/2014	63412	9
07/2014	63412	6
08/2014	63412	6
