obdobi	kod	cena
01/1999	65221	0
02/1999	65221	0
03/1999	65221	1081
05/1999	65222	3
09/1999	65221	55
09/1999	65224	35
10/1999	65221	16
11/1999	65224	7
01/2000	65221	21
01/2000	65224	10
02/2000	65221	13
04/2000	65224	16
05/2000	65221	1
07/2000	65224	9
08/2000	65225	8
10/2000	65224	18
12/2000	65224	10
03/2001	65224	10
04/2001	65221	45
05/2001	65221	27
05/2001	65222	5
06/2001	65221	182
07/2001	65221	32
08/2001	65221	4
09/2001	65221	19
09/2001	65222	6
10/2001	65221	2422
10/2001	65224	16
10/2001	65226	124
11/2001	65221	5
12/2001	65221	1
01/2002	65223	325
01/2002	65224	13
02/2002	65221	225
02/2002	65222	210
02/2002	65223	184
03/2002	65223	183
04/2002	65221	62
04/2002	65223	75
05/2002	65221	247
05/2002	65223	450
06/2002	65221	2341
06/2002	65223	154
07/2002	65221	1673
07/2002	65223	8
07/2002	65224	48
08/2002	65221	1010
08/2002	65223	792
08/2002	65226	189
09/2002	65221	2498
09/2002	65223	91
09/2002	65224	15
10/2002	65221	1704
10/2002	65223	141
10/2002	65224	12
10/2002	65226	62
11/2002	65221	2127
11/2002	65223	261
12/2002	65221	42
12/2002	65223	1270
12/2002	65225	248
01/2003	65221	4750
02/2003	65221	360
02/2003	65225	136
03/2003	65221	2791
04/2003	65221	1738
04/2003	65224	18
05/2003	65221	1946
05/2003	65222	1798
05/2003	65224	6
06/2003	65221	6338
07/2003	65221	2449
08/2003	65221	6990
08/2003	65224	4
09/2003	65221	3750
10/2003	65221	5164
11/2003	65221	4654
11/2003	65224	15
12/2003	65223	30
01/2004	65221	4862
01/2004	65226	66
02/2004	65221	2622
03/2004	65221	2794
03/2004	65224	62
03/2004	65226	308
04/2004	65221	16955
05/2004	65221	2268
05/2004	65226	792
06/2004	65221	2837
06/2004	65223	1110
07/2004	65221	65
08/2004	65221	3021
09/2004	65221	2636
10/2004	65221	1677
10/2004	65222	1
11/2004	65221	5925
11/2004	65224	38
12/2004	65221	2339
12/2004	65223	56
01/2005	65221	330
02/2005	65221	2939
03/2005	65221	5981
04/2005	65221	1656
04/2005	65224	102
05/2005	65221	5022
05/2005	65223	914
06/2005	65221	7281
07/2005	65221	384
08/2005	65221	8799
08/2005	65223	379
09/2005	65221	80
10/2005	65221	8583
11/2005	65221	1086
12/2005	65221	2849
12/2005	65223	131
12/2005	65225	2
01/2006	65221	5135
01/2006	65222	0
01/2006	65223	60
01/2006	65225	1
02/2006	65221	3302
02/2006	65222	0
02/2006	65223	250
03/2006	65221	58
04/2006	65221	4758
05/2006	65221	2354
05/2006	65223	28
06/2006	65221	3592
06/2006	65223	400
07/2006	65221	2066
07/2006	65223	536
08/2006	65221	6188
09/2006	65221	14124
09/2006	65223	2416
10/2006	65221	19234
10/2006	65223	128
11/2006	65221	19160
12/2006	65221	5588
01/2007	65221	21130
02/2007	65221	7232
02/2007	65223	0
03/2007	65221	3268
04/2007	65221	8622
04/2007	65223	284
05/2007	65221	14516
06/2007	65221	7696
06/2007	65222	602
07/2007	65221	7326
07/2007	65222	1568
08/2007	65221	11618
08/2007	65222	834
08/2007	65224	52
09/2007	65221	14174
09/2007	65222	154
10/2007	65221	13384
10/2007	65222	16
10/2007	65223	212
11/2007	65221	11568
11/2007	65222	4
11/2007	65223	1928
12/2007	65221	2944
01/2008	65221	12126
02/2008	65221	5326
03/2008	65221	13422
03/2008	65222	156
03/2008	65223	216
04/2008	65221	5302
04/2008	65222	466
04/2008	65223	8
05/2008	65221	10070
05/2008	65223	490
06/2008	65221	6678
06/2008	65223	106
07/2008	65221	3660
08/2008	65221	6104
08/2008	65224	80
09/2008	65221	13010
09/2008	65222	1988
10/2008	65221	6344
11/2008	65221	4902
11/2008	65222	1216
11/2008	65223	862
12/2008	65221	2188
01/2009	65221	3520
02/2009	65221	5084
02/2009	65223	734
02/2009	65224	78
02/2009	65226	38
03/2009	65221	654
04/2009	65221	3956
04/2009	65222	1056
05/2009	65221	6556
05/2009	65222	32
06/2009	65221	2040
06/2009	65223	1068
07/2009	65221	1906
08/2009	65221	2382
08/2009	65223	1198
09/2009	65221	2866
10/2009	65221	1242
11/2009	65221	1034
11/2009	65222	94
12/2009	65221	4318
01/2010	65221	2742
02/2010	65221	4520
02/2010	65223	576
02/2010	65224	60
02/2010	65225	244
03/2010	65221	3270
04/2010	65221	3526
04/2010	65224	24
05/2010	65221	1582
06/2010	65221	5078
07/2010	65221	498
07/2010	65224	18
08/2010	65221	4186
09/2010	65221	2328
09/2010	65223	6
09/2010	65224	18
10/2010	65221	6630
10/2010	65223	536
10/2010	65224	350
11/2010	65221	3542
11/2010	65224	18
12/2010	65221	2588
12/2010	65222	538
12/2010	65224	12
01/2011	65221	6630
02/2011	65221	826
03/2011	65221	4876
03/2011	65225	20
04/2011	65221	2432
04/2011	65225	72
05/2011	65221	2530
05/2011	65224	42
05/2011	65225	678
