obdobi	kod	cena
03/1999	54293	36
04/1999	54293	10
05/1999	54292	2
12/1999	54293	231
08/2000	54291	109
07/2003	54293	50
08/2003	54293	82
01/2004	54293	10
12/2004	54293	6
01/2006	54293	5
02/2006	54291	386
04/2006	54293	0
06/2006	54293	0
11/2006	54293	0
03/2007	54291	102
05/2007	54293	28
09/2007	54293	0
10/2007	54293	6226
11/2007	54293	19220
02/2008	54293	29372
04/2008	54293	34718
06/2008	54293	18608
07/2008	54293	7102
08/2008	54293	22486
09/2008	54292	42
09/2008	54293	14
12/2008	54293	8
01/2009	54293	1496
02/2009	54291	2006
02/2009	54293	334
03/2009	54293	60320
04/2009	54293	44316
06/2009	54291	2190
06/2009	54293	19566
07/2009	54293	26710
08/2009	54293	12580
10/2009	54291	800
10/2009	54293	472
11/2009	54293	34
07/2010	54293	190
10/2010	54291	858
02/2011	54293	14
04/2011	54291	566
04/2011	54293	1010
05/2011	54291	946
