obdobi	kod	cena
01/1999	268	1747
02/1999	268	2016
03/1999	265	1
03/1999	268	2640
04/1999	265	2
04/1999	268	177
05/1999	268	557
06/1999	261	197
06/1999	263	3
06/1999	265	2
06/1999	268	347
06/1999	269	53
07/1999	265	1
07/1999	268	2696
08/1999	265	453
08/1999	268	558
09/1999	265	1
09/1999	268	663
10/1999	261	648
10/1999	268	513
11/1999	261	197
11/1999	268	775
12/1999	268	3
12/1999	269	58
01/2000	268	636
02/2000	265	2
02/2000	268	199
03/2000	261	412
03/2000	265	1
03/2000	268	2343
04/2000	268	559
05/2000	261	251
05/2000	265	1192
05/2000	268	1616
06/2000	261	146
06/2000	265	39
06/2000	268	279
07/2000	268	565
08/2000	268	378
09/2000	265	1
09/2000	266	58
09/2000	268	199
10/2000	265	749
10/2000	266	1
10/2000	268	2416
11/2000	264	4
11/2000	265	754
11/2000	268	1929
11/2000	269	0
12/2000	265	3
12/2000	268	1006
01/2001	265	13
01/2001	268	1950
02/2001	265	702
02/2001	268	642
03/2001	261	131
03/2001	265	2
03/2001	268	1444
04/2001	261	91
04/2001	263	26
04/2001	265	1666
04/2001	267	132
04/2001	268	1211
05/2001	268	875
05/2001	269	13
06/2001	261	53
06/2001	265	63
06/2001	268	1686
07/2001	261	133
07/2001	265	4
07/2001	268	3993
07/2001	269	8
08/2001	261	88
08/2001	263	896
08/2001	265	61
08/2001	266	7
08/2001	268	886
08/2001	269	8
09/2001	266	4
09/2001	267	59
09/2001	268	1212
09/2001	269	13
10/2001	261	181
10/2001	265	1
10/2001	266	8
10/2001	268	3680
11/2001	265	1
11/2001	268	762
12/2001	263	811
12/2001	268	98
01/2002	263	1572
01/2002	266	110
01/2002	268	861
02/2002	268	1704
03/2002	263	2569
03/2002	268	1530
04/2002	263	1352
04/2002	268	913
05/2002	261	13
05/2002	263	2581
05/2002	266	34
05/2002	268	1105
06/2002	263	623
06/2002	268	577
07/2002	263	1852
07/2002	265	6
07/2002	266	17
07/2002	268	1539
08/2002	263	770
08/2002	265	1
08/2002	266	64
09/2002	263	577
09/2002	266	14
10/2002	266	334
10/2002	268	1788
11/2002	263	1168
11/2002	266	299
11/2002	268	731
12/2002	265	2
12/2002	266	376
12/2002	268	1616
12/2002	269	16
01/2003	263	2537
01/2003	266	1044
01/2003	268	1041
02/2003	263	1862
02/2003	265	5
02/2003	266	660
02/2003	268	327
03/2003	263	1080
03/2003	264	3
03/2003	265	52
03/2003	268	1043
04/2003	263	865
04/2003	265	1
04/2003	266	387
04/2003	268	565
04/2003	269	3
05/2003	263	1246
05/2003	265	8
05/2003	266	10
05/2003	268	896
06/2003	265	3
06/2003	266	1486
06/2003	268	1206
07/2003	265	7
07/2003	268	3560
08/2003	265	72
08/2003	266	331
08/2003	268	62
08/2003	269	1
09/2003	265	7
09/2003	266	1015
09/2003	268	659
10/2003	265	8
10/2003	266	877
10/2003	268	636
11/2003	265	17
11/2003	266	151
11/2003	268	4055
11/2003	269	10
12/2003	266	1236
12/2003	268	1834
01/2004	266	757
01/2004	268	116
02/2004	265	10
02/2004	266	350
02/2004	267	457
02/2004	268	732
03/2004	265	25
03/2004	266	710
03/2004	267	796
03/2004	268	549
04/2004	265	10
04/2004	266	81
04/2004	268	2463
04/2004	269	2
05/2004	263	1
05/2004	265	37
05/2004	266	3045
05/2004	268	134
06/2004	263	1
06/2004	265	12
06/2004	266	107
06/2004	268	220
06/2004	269	42
07/2004	263	280
07/2004	265	15
07/2004	266	1065
07/2004	268	1109
07/2004	269	229
08/2004	265	7
08/2004	268	1233
08/2004	269	63
09/2004	265	8
09/2004	266	4940
09/2004	268	437
10/2004	263	2
10/2004	265	14
10/2004	268	367
11/2004	265	39
11/2004	266	906
11/2004	268	259
12/2004	263	5
12/2004	265	49
12/2004	266	301
01/2005	265	10
01/2005	266	3625
01/2005	268	721
02/2005	266	8816
02/2005	268	1173
03/2005	265	23
03/2005	266	3778
03/2005	267	59
03/2005	268	1903
03/2005	269	21
04/2005	263	1
04/2005	265	3
04/2005	266	9184
04/2005	268	150
04/2005	269	2
05/2005	263	7
05/2005	265	29
05/2005	266	3282
05/2005	268	864
05/2005	269	13
06/2005	263	10
06/2005	265	14
06/2005	266	7526
06/2005	267	157
06/2005	268	186
07/2005	263	2
07/2005	266	734
07/2005	268	666
07/2005	269	1
08/2005	263	6
08/2005	265	18
08/2005	266	3676
08/2005	267	117
08/2005	268	222
08/2005	269	4
09/2005	261	62
09/2005	263	5
09/2005	265	36
09/2005	266	5213
09/2005	267	111
09/2005	268	517
10/2005	263	32
10/2005	265	4
10/2005	266	3005
10/2005	268	2293
10/2005	269	2
11/2005	263	12
11/2005	265	30
11/2005	266	9142
11/2005	268	418
11/2005	269	9
12/2005	263	5
12/2005	265	12
12/2005	266	40
12/2005	267	274
12/2005	268	666
12/2005	269	5
01/2006	263	1
01/2006	264	35
01/2006	265	28
01/2006	266	5730
01/2006	267	69
01/2006	268	3847
01/2006	269	10
02/2006	265	148
02/2006	266	5608
02/2006	267	94
02/2006	268	2276
02/2006	269	6
03/2006	265	144
03/2006	266	20078
03/2006	267	1638
03/2006	268	1960
04/2006	263	14
04/2006	265	474
04/2006	266	2970
04/2006	267	40
04/2006	268	952
04/2006	269	14
05/2006	263	2
05/2006	264	778
05/2006	265	108
05/2006	266	12448
05/2006	267	154
05/2006	268	300
05/2006	269	16
06/2006	263	0
06/2006	265	176
06/2006	266	1250
06/2006	268	4582
06/2006	269	4
07/2006	265	44
07/2006	266	3216
07/2006	267	1446
07/2006	268	486
08/2006	263	2
08/2006	265	188
08/2006	266	1460
08/2006	267	1032
08/2006	268	2848
08/2006	269	4
09/2006	263	30
09/2006	265	606
09/2006	266	1254
09/2006	268	512
09/2006	269	8
10/2006	263	6
10/2006	264	1084
10/2006	265	186
10/2006	266	1344
10/2006	267	102
10/2006	268	866
11/2006	263	6
11/2006	264	36
11/2006	265	6
11/2006	266	1494
11/2006	267	1422
11/2006	268	2030
11/2006	269	86
12/2006	263	2
12/2006	265	30
12/2006	266	4584
12/2006	267	1404
12/2006	268	3720
01/2007	263	0
01/2007	265	2794
01/2007	266	76
01/2007	267	896
02/2007	263	0
02/2007	264	86
02/2007	265	44
02/2007	266	2408
02/2007	267	904
02/2007	268	138
03/2007	263	6
03/2007	264	24
03/2007	265	62
03/2007	266	2964
03/2007	267	1012
03/2007	269	8
04/2007	263	2
04/2007	264	498
04/2007	265	8
04/2007	266	4874
04/2007	269	64
05/2007	265	6
05/2007	266	5872
05/2007	267	680
05/2007	269	68
06/2007	264	90
06/2007	265	6
06/2007	266	10542
06/2007	267	6904
06/2007	268	3790
06/2007	269	18
07/2007	263	0
07/2007	264	22
07/2007	265	26
07/2007	266	6376
07/2007	267	1070
07/2007	268	338
07/2007	269	12
08/2007	265	60
08/2007	267	4332
09/2007	263	0
09/2007	264	92
09/2007	265	1410
09/2007	266	2
09/2007	267	4630
09/2007	268	3878
10/2007	265	58
10/2007	266	1422
10/2007	269	2
11/2007	263	40
11/2007	264	2
11/2007	265	42
11/2007	266	3124
11/2007	267	2
11/2007	268	2014
11/2007	269	40
12/2007	265	24
12/2007	266	8400
12/2007	268	6636
12/2007	269	22
01/2008	264	6
01/2008	265	1538
01/2008	266	1524
01/2008	267	242
02/2008	263	0
02/2008	264	14
02/2008	265	712
02/2008	266	6890
02/2008	267	2
03/2008	263	2
03/2008	264	0
03/2008	265	120
03/2008	266	7374
03/2008	268	6344
04/2008	263	4
04/2008	264	0
04/2008	265	116
04/2008	266	2
04/2008	267	1150
04/2008	268	6554
04/2008	269	64
05/2008	263	1670
05/2008	264	0
05/2008	265	34
05/2008	266	1512
05/2008	267	124
05/2008	269	92
06/2008	265	4
06/2008	266	2
06/2008	267	3986
06/2008	268	2118
06/2008	269	64
07/2008	263	0
07/2008	265	78
07/2008	266	22
07/2008	269	10
08/2008	265	584
08/2008	266	5328
08/2008	267	4768
08/2008	268	178
08/2008	269	72
09/2008	263	178
09/2008	264	38
09/2008	265	40
09/2008	266	4
09/2008	267	722
09/2008	268	21624
09/2008	269	4
10/2008	263	0
10/2008	265	2
10/2008	267	4704
10/2008	268	21024
10/2008	269	2
11/2008	261	136
11/2008	265	4
11/2008	266	280
11/2008	268	29098
11/2008	269	4
12/2008	264	8
12/2008	265	26
12/2008	267	24
12/2008	268	22190
12/2008	269	10
01/2009	261	30
01/2009	263	48
01/2009	264	0
01/2009	265	150
01/2009	266	18
01/2009	268	94364
01/2009	269	0
02/2009	265	140
02/2009	266	78
02/2009	267	368
02/2009	268	63472
02/2009	269	8
03/2009	263	0
03/2009	265	134
03/2009	268	34130
03/2009	269	4
04/2009	261	130
04/2009	263	0
04/2009	265	78
04/2009	268	13912
04/2009	269	178
05/2009	265	2
05/2009	266	398
05/2009	268	18288
05/2009	269	46
06/2009	263	0
06/2009	265	360
06/2009	267	302
06/2009	268	86836
06/2009	269	44
07/2009	263	0
07/2009	265	2
07/2009	266	354
07/2009	268	10638
07/2009	269	2
08/2009	263	0
08/2009	265	88
08/2009	266	1898
08/2009	267	364
08/2009	268	97162
08/2009	269	0
09/2009	263	0
09/2009	265	114
09/2009	266	178
09/2009	267	10
09/2009	268	722
09/2009	269	120
10/2009	265	0
10/2009	266	12052
10/2009	268	17136
10/2009	269	8
11/2009	263	148
11/2009	265	2
11/2009	266	1828
11/2009	267	362
11/2009	268	37088
11/2009	269	2
12/2009	263	18
12/2009	265	0
12/2009	266	222
12/2009	267	276
12/2009	268	7534
12/2009	269	0
01/2010	263	12
01/2010	265	64
01/2010	266	2738
01/2010	268	39992
02/2010	261	222
02/2010	265	520
02/2010	266	10814
02/2010	268	27406
02/2010	269	10
03/2010	261	198
03/2010	265	374
03/2010	266	226
03/2010	267	290
03/2010	268	71776
03/2010	269	1784
04/2010	261	210
04/2010	265	44
04/2010	266	3226
04/2010	267	10
04/2010	268	51218
04/2010	269	24
05/2010	261	312
05/2010	263	0
05/2010	265	18
05/2010	266	22712
05/2010	267	1472
05/2010	268	38572
05/2010	269	32
06/2010	263	242
06/2010	265	14
06/2010	266	22
06/2010	267	648
06/2010	268	45476
06/2010	269	46
07/2010	261	424
07/2010	263	560
07/2010	265	0
07/2010	266	13130
07/2010	267	582
07/2010	268	55490
07/2010	269	4012
08/2010	263	0
08/2010	265	686
08/2010	266	14656
08/2010	268	100128
08/2010	269	94
09/2010	261	170
09/2010	263	114
09/2010	265	76
09/2010	266	11958
09/2010	267	562
