obdobi	kod	cena
01/1999	88123	4
03/1999	88123	18
04/1999	88123	7
05/1999	88123	11
06/1999	88123	2
07/1999	88123	16
08/1999	88123	13
09/1999	88123	3
10/1999	88123	2
11/1999	88123	526
12/1999	88123	3
01/2000	88122	14
02/2000	88123	286
03/2000	88122	7
03/2000	88123	4
05/2000	88123	1572
06/2000	88123	1752
12/2000	88123	10
02/2001	88123	13
03/2001	88123	1
07/2001	88121	22
08/2001	88123	3
10/2001	88123	17
12/2001	88123	23
01/2002	88123	2
02/2002	88123	65
03/2002	88123	3
04/2002	88123	1344
05/2002	88123	8
06/2002	88123	5
07/2002	88123	860
08/2002	88123	728
09/2002	88123	25
10/2002	88121	205
10/2002	88123	139
11/2002	88123	43
12/2002	88123	85
01/2003	88123	43
02/2003	88123	43
03/2003	88123	11
04/2003	88123	61
05/2003	88123	18
06/2003	88123	23
07/2003	88123	65
08/2003	88123	23
09/2003	88123	43
10/2003	88123	38
10/2003	88124	741
11/2003	88121	51
11/2003	88122	32
11/2003	88123	76
12/2003	88122	1723
12/2003	88123	45
01/2004	88122	1147
01/2004	88123	82
02/2004	88123	45
03/2004	88122	398
03/2004	88123	45
04/2004	88122	246
04/2004	88123	58
05/2004	88123	15
06/2004	88123	7
07/2004	88123	45
08/2004	88123	29
09/2004	88123	54
10/2004	88121	42448
10/2004	88122	25
10/2004	88123	32
11/2004	88121	42097
11/2004	88123	467
12/2004	88123	18
01/2005	88121	10
01/2005	88122	19
01/2005	88123	11
02/2005	88121	6120
02/2005	88123	8
03/2005	88121	16269
03/2005	88123	3
04/2005	88123	13
05/2005	88123	58
06/2005	88123	62
07/2005	88123	114
08/2005	88123	64
09/2005	88123	84
10/2005	88123	48
11/2005	88121	125
11/2005	88123	457
12/2005	88121	20
12/2005	88123	255
01/2006	88121	1
01/2006	88123	68
02/2006	88123	126
02/2006	88124	8
03/2006	88123	1116
04/2006	88123	140
05/2006	88123	120
06/2006	88123	1448
07/2006	88123	84
08/2006	88121	18
08/2006	88123	1956
09/2006	88121	14
09/2006	88123	312
10/2006	88123	250
11/2006	88121	30
11/2006	88123	574
12/2006	88122	0
12/2006	88123	152
01/2007	88123	54
02/2007	88123	1230
03/2007	88121	4
03/2007	88123	58
04/2007	88123	292
04/2007	88124	22
05/2007	88123	1328
06/2007	88121	156
06/2007	88123	204
07/2007	88123	88
08/2007	88123	862
09/2007	88121	2
09/2007	88123	34
10/2007	88123	208
11/2007	88123	302
12/2007	88123	718
12/2007	88124	12
01/2008	88123	474
01/2008	88124	12
02/2008	88123	1128
03/2008	88122	38
03/2008	88123	140
03/2008	88124	8
04/2008	88123	440
05/2008	88121	46
05/2008	88123	964
06/2008	88122	32
06/2008	88123	334
06/2008	88124	12
07/2008	88123	68
08/2008	88121	476
08/2008	88123	1856
09/2008	88123	74
09/2008	88124	66
10/2008	88123	448
11/2008	88123	244
12/2008	88123	280
01/2009	88123	230
02/2009	88123	802
03/2009	88123	46
04/2009	88123	626
05/2009	88121	14
05/2009	88123	74
06/2009	88123	304
06/2009	88124	98
07/2009	88122	32
07/2009	88123	808
07/2009	88124	2
08/2009	88122	0
08/2009	88123	206
09/2009	88123	302
10/2009	88123	478
11/2009	88123	112
12/2009	88123	662
01/2010	88123	494
02/2010	88123	870
03/2010	88123	478
04/2010	88123	198
05/2010	88122	34
05/2010	88123	250
06/2010	88123	490
07/2010	88122	32
07/2010	88123	308
08/2010	88122	2
08/2010	88123	1434
09/2010	88122	176
09/2010	88123	356
10/2010	88122	158
10/2010	88123	546
11/2010	88121	8
11/2010	88123	1630
11/2010	88124	494
12/2010	88121	26
12/2010	88123	248
01/2011	88123	704
02/2011	88121	0
02/2011	88122	2
02/2011	88123	260
02/2011	88124	228
03/2011	88121	2
03/2011	88123	44
03/2011	88124	234
04/2011	88121	0
04/2011	88123	452
04/2011	88124	224
05/2011	88121	2
05/2011	88122	6
05/2011	88123	636
