obdobi	kod	cena
02/1999	7268	34
03/1999	7266	162
03/1999	7269	2
04/1999	7268	16
05/1999	7268	27
06/1999	7266	179
06/1999	7268	42
07/1999	7266	274
07/1999	7268	25
08/1999	7266	442
08/1999	7268	1
09/1999	7268	97
10/1999	7266	31
10/1999	7268	4
11/1999	7266	113
11/1999	7268	429
12/1999	7268	126
01/2000	7268	68
02/2000	7268	3
03/2000	7268	167
04/2000	7268	34
05/2000	7266	248
05/2000	7268	71
07/2000	7268	154
08/2000	7268	121
09/2000	7268	9
10/2000	7268	127
10/2000	7269	41
11/2000	7268	433
12/2000	7268	290
01/2001	7268	75
02/2001	7266	25
02/2001	7268	26
03/2001	7268	154
03/2001	7269	30
04/2001	7268	12
04/2001	7269	20
05/2001	7266	24
05/2001	7268	79
05/2001	7269	309
06/2001	7268	698
06/2001	7269	105
07/2001	7266	94
07/2001	7268	225
07/2001	7269	301
08/2001	7266	713
08/2001	7268	2459
08/2001	7269	143
09/2001	7268	172
09/2001	7269	175
10/2001	7266	601
10/2001	7268	209
10/2001	7269	78
11/2001	7268	196
11/2001	7269	51
12/2001	7268	584
12/2001	7269	36
01/2002	7268	121
01/2002	7269	230
02/2002	7268	545
02/2002	7269	73
03/2002	7266	2
03/2002	7268	133
03/2002	7269	64
04/2002	7268	134
04/2002	7269	312
05/2002	7268	137
05/2002	7269	1
06/2002	7266	799
06/2002	7268	120
06/2002	7269	57
07/2002	7266	1117
07/2002	7268	84
07/2002	7269	145
08/2002	7268	44
08/2002	7269	22
09/2002	7268	153
09/2002	7269	37
10/2002	7268	2123
10/2002	7269	124
11/2002	7268	137
11/2002	7269	119
12/2002	7268	184
12/2002	7269	331
01/2003	7268	301
02/2003	7268	490
02/2003	7269	54
03/2003	7263	13
03/2003	7266	9
03/2003	7268	171
03/2003	7269	103
04/2003	7263	5
04/2003	7266	2738
04/2003	7268	620
04/2003	7269	46
05/2003	7266	3656
05/2003	7268	318
06/2003	7268	243
06/2003	7269	30
07/2003	7266	94
07/2003	7268	235
07/2003	7269	17
08/2003	7263	93
08/2003	7268	85
09/2003	7266	70
09/2003	7268	206
09/2003	7269	118
10/2003	7263	4
10/2003	7268	275
11/2003	7263	16
11/2003	7268	949
11/2003	7269	53
12/2003	7263	21
12/2003	7268	223
12/2003	7269	34
01/2004	7268	1714
02/2004	7263	12
02/2004	7265	81
02/2004	7268	160
02/2004	7269	24
03/2004	7266	72
03/2004	7268	1115
03/2004	7269	51
04/2004	7263	6
04/2004	7266	847
04/2004	7268	387
04/2004	7269	95
05/2004	7266	607
05/2004	7268	1416
05/2004	7269	56
06/2004	7263	3637
06/2004	7268	161
06/2004	7269	92
07/2004	7263	5
07/2004	7266	1471
07/2004	7268	248
07/2004	7269	140
08/2004	7266	1662
08/2004	7268	379
08/2004	7269	44
09/2004	7263	4
09/2004	7266	3741
09/2004	7268	366
09/2004	7269	80
10/2004	7263	11
10/2004	7266	3051
10/2004	7268	2062
10/2004	7269	44
11/2004	7263	17
11/2004	7266	1438
11/2004	7268	1107
11/2004	7269	108
12/2004	7263	6
12/2004	7266	1376
12/2004	7268	918
12/2004	7269	341
01/2005	7263	4609
01/2005	7266	1463
01/2005	7268	1471
01/2005	7269	106
02/2005	7263	10
02/2005	7266	666
02/2005	7268	575
02/2005	7269	475
03/2005	7263	4
03/2005	7266	2256
03/2005	7268	1313
03/2005	7269	93
04/2005	7263	4325
04/2005	7266	1653
04/2005	7268	1669
04/2005	7269	121
05/2005	7263	14
05/2005	7266	1371
05/2005	7268	450
05/2005	7269	822
06/2005	7266	1356
06/2005	7268	512
06/2005	7269	46
07/2005	7266	1156
07/2005	7268	482
07/2005	7269	8
08/2005	7266	678
08/2005	7268	487
08/2005	7269	176
09/2005	7263	2799
09/2005	7265	4
09/2005	7266	1668
09/2005	7268	6017
09/2005	7269	122
10/2005	7266	1099
10/2005	7268	799
10/2005	7269	130
11/2005	7263	5142
11/2005	7266	1770
11/2005	7268	2015
11/2005	7269	57
12/2005	7263	1664
12/2005	7266	2643
12/2005	7268	1417
12/2005	7269	296
01/2006	7263	15054
01/2006	7266	1431
01/2006	7268	807
01/2006	7269	259
02/2006	7263	2
02/2006	7266	1653
02/2006	7268	2269
02/2006	7269	455
03/2006	7263	15
03/2006	7266	1059
03/2006	7268	1384
03/2006	7269	210
04/2006	7263	83
04/2006	7266	2975
04/2006	7268	848
04/2006	7269	278
05/2006	7263	118
05/2006	7266	727
05/2006	7268	1503
05/2006	7269	209
06/2006	7263	3628
06/2006	7265	41
06/2006	7266	1461
06/2006	7268	307
06/2006	7269	184
07/2006	7263	35
07/2006	7266	1794
07/2006	7268	395
07/2006	7269	78
08/2006	7263	266
08/2006	7266	1640
08/2006	7268	166
08/2006	7269	170
09/2006	7266	1126
09/2006	7268	1905
09/2006	7269	100
10/2006	7263	1293
10/2006	7266	2902
10/2006	7268	390
10/2006	7269	110
11/2006	7263	44
11/2006	7266	1857
11/2006	7268	542
11/2006	7269	180
12/2006	7263	2241
12/2006	7266	4452
12/2006	7268	1255
12/2006	7269	246
01/2007	7263	315
01/2007	7266	239
01/2007	7268	387
01/2007	7269	12023
02/2007	7263	3768
02/2007	7266	11325
02/2007	7268	808
02/2007	7269	19600
03/2007	7263	436
03/2007	7265	329
03/2007	7266	263
03/2007	7268	1126
03/2007	7269	25955
04/2007	7263	193
04/2007	7266	133
04/2007	7268	648
04/2007	7269	11692
05/2007	7263	3781
05/2007	7265	148
05/2007	7268	525
05/2007	7269	10903
06/2007	7263	8670
06/2007	7268	393
06/2007	7269	15337
07/2007	7263	589
07/2007	7266	884
07/2007	7268	3470
07/2007	7269	11699
08/2007	7263	4453
08/2007	7266	377
08/2007	7268	7609
08/2007	7269	3454
09/2007	7263	2420
09/2007	7268	615
09/2007	7269	6071
10/2007	7263	708
10/2007	7266	263
10/2007	7268	676
10/2007	7269	8629
11/2007	7263	80
11/2007	7266	99
11/2007	7268	564
11/2007	7269	20
12/2007	7263	4888
12/2007	7266	98
12/2007	7268	754
12/2007	7269	74
01/2008	7263	2653
01/2008	7266	2989
01/2008	7268	596
01/2008	7269	63
02/2008	7263	4302
02/2008	7266	5
02/2008	7268	372
02/2008	7269	53
03/2008	7263	908
03/2008	7266	121
03/2008	7268	453
03/2008	7269	316
04/2008	7263	7115
04/2008	7265	12
04/2008	7266	260
04/2008	7268	747
04/2008	7269	154
05/2008	7263	1458
05/2008	7266	238
05/2008	7268	469
05/2008	7269	162
06/2008	7263	1821
06/2008	7266	11979
06/2008	7268	1116
06/2008	7269	244
07/2008	7263	6585
07/2008	7265	340
07/2008	7266	711
07/2008	7268	752
07/2008	7269	461
08/2008	7263	6939
08/2008	7265	376
08/2008	7266	54
08/2008	7268	1487
08/2008	7269	487
09/2008	7263	5103
09/2008	7266	3624
09/2008	7268	918
09/2008	7269	502
10/2008	7263	5445
10/2008	7266	2254
10/2008	7268	519
10/2008	7269	425
11/2008	7263	2227
11/2008	7265	329
11/2008	7266	154
11/2008	7268	736
11/2008	7269	172
12/2008	7263	93
12/2008	7265	200
12/2008	7266	102
12/2008	7268	845
12/2008	7269	63
01/2009	7263	5914
01/2009	7265	5158
01/2009	7266	112
01/2009	7268	882
01/2009	7269	151
02/2009	7263	3447
02/2009	7266	1173
02/2009	7268	777
02/2009	7269	110
03/2009	7266	2342
03/2009	7268	533
03/2009	7269	365
04/2009	7263	4006
04/2009	7266	85
04/2009	7268	534
04/2009	7269	91
05/2009	7263	420
05/2009	7265	83
05/2009	7266	299
05/2009	7268	1028
05/2009	7269	62
06/2009	7263	23
06/2009	7266	65
06/2009	7268	776
06/2009	7269	114
07/2009	7263	2958
07/2009	7268	507
07/2009	7269	400
08/2009	7263	4377
08/2009	7266	42
08/2009	7268	155
08/2009	7269	192
09/2009	7263	6846
09/2009	7266	24
09/2009	7268	652
09/2009	7269	158
10/2009	7263	44
10/2009	7266	754
10/2009	7268	1098
10/2009	7269	320
11/2009	7263	6939
11/2009	7266	1560
11/2009	7268	754
11/2009	7269	184
12/2009	7263	1851
12/2009	7266	8
12/2009	7268	845
12/2009	7269	595
01/2010	7263	2482
01/2010	7266	67
01/2010	7268	822
01/2010	7269	260
02/2010	7263	1655
02/2010	7266	1132
02/2010	7268	918
02/2010	7269	312
03/2010	7263	2583
03/2010	7266	45
03/2010	7268	670
03/2010	7269	101
04/2010	7263	1985
04/2010	7266	1993
04/2010	7268	803
04/2010	7269	789
05/2010	7263	2817
05/2010	7266	8
05/2010	7268	605
05/2010	7269	437
06/2010	7263	2551
06/2010	7268	703
06/2010	7269	482
07/2010	7263	6069
07/2010	7265	735
07/2010	7266	41
07/2010	7268	768
07/2010	7269	386
08/2010	7263	3742
08/2010	7266	5
08/2010	7268	784
08/2010	7269	463
09/2010	7263	3111
09/2010	7265	66
09/2010	7266	119
09/2010	7268	800
09/2010	7269	550
10/2010	7263	3062
10/2010	7266	325
10/2010	7268	528
10/2010	7269	269
11/2010	7263	5748
11/2010	7266	2391
11/2010	7268	782
11/2010	7269	386
12/2010	7263	5228
12/2010	7266	207
12/2010	7268	691
12/2010	7269	144
01/2011	7263	3453
01/2011	7266	841
01/2011	7268	647
01/2011	7269	215
02/2011	7263	269
02/2011	7265	1
02/2011	7266	83
02/2011	7268	617
02/2011	7269	187
03/2011	7263	3176
03/2011	7268	676
03/2011	7269	201
04/2011	7263	3783
04/2011	7266	820
04/2011	7268	709
04/2011	7269	450
05/2011	7263	993
05/2011	7265	1
05/2011	7268	980
05/2011	7269	417
06/2011	7263	5788
06/2011	7266	248
06/2011	7268	335
06/2011	7269	260
07/2011	7263	2065
07/2011	7266	6
07/2011	7268	382
07/2011	7269	340
08/2011	7263	4728
08/2011	7265	1
08/2011	7266	41
08/2011	7268	1531
08/2011	7269	345
09/2011	7263	4683
09/2011	7265	8
09/2011	7266	10768
