obdobi	kod	cena
01/1999	7722	725
02/1999	7722	667
03/1999	7722	165
04/1999	7722	513
05/1999	7722	4968
06/1999	7722	4024
07/1999	7722	3033
08/1999	7722	5297
09/1999	7722	6925
10/1999	7722	4661
11/1999	7722	5043
12/1999	7722	2275
01/2000	7722	7038
02/2000	7722	7057
03/2000	7722	5913
04/2000	7722	1532
05/2000	7722	10032
06/2000	7722	3302
07/2000	7722	2737
08/2000	7722	4353
09/2000	7722	13276
10/2000	7722	19608
11/2000	7722	24799
12/2000	7722	13306
01/2001	7722	18174
02/2001	7722	28373
03/2001	7722	33643
04/2001	7722	20702
05/2001	7722	38651
06/2001	7722	15575
07/2001	7722	22709
08/2001	7722	23118
09/2001	7722	19134
10/2001	7722	31066
11/2001	7722	29834
12/2001	7722	10293
01/2002	7722	22923
02/2002	7722	23797
03/2002	7722	34237
04/2002	7722	26667
05/2002	7722	26081
06/2002	7722	24333
07/2002	7722	23525
08/2002	7722	27157
09/2002	7722	25495
10/2002	7722	31008
11/2002	7722	19221
12/2002	7722	20600
01/2003	7722	55295
02/2003	7722	47091
03/2003	7722	38652
04/2003	7722	55581
05/2003	7722	47880
06/2003	7722	54139
07/2003	7722	46082
08/2003	7722	25490
09/2003	7722	53784
10/2003	7722	43243
11/2003	7722	53383
12/2003	7722	54782
01/2004	7722	50890
02/2004	7722	54397
03/2004	7722	67941
04/2004	7722	46495
05/2004	7722	30355
06/2004	7722	47982
07/2004	7722	60325
08/2004	7722	66796
09/2004	7722	67133
10/2004	7722	68457
11/2004	7722	69658
12/2004	7722	50373
01/2005	7722	49905
02/2005	7722	45777
03/2005	7722	46575
04/2005	7722	57240
05/2005	7722	53035
06/2005	7722	75610
07/2005	7722	51234
08/2005	7722	81469
09/2005	7722	86588
10/2005	7722	105352
11/2005	7722	122797
12/2005	7722	88461
01/2006	7722	86655
02/2006	7722	147492
03/2006	7722	162136
04/2006	7722	171644
05/2006	7722	183778
06/2006	7722	154993
07/2006	7722	141559
08/2006	7722	166593
09/2006	7722	150438
10/2006	7722	243526
11/2006	7722	218420
12/2006	7722	165020
01/2007	7722	172735
02/2007	7722	199292
03/2007	7722	219660
04/2007	7722	184279
05/2007	7722	182596
06/2007	7722	189608
07/2007	7722	153885
08/2007	7722	244029
09/2007	7722	258140
10/2007	7722	267407
11/2007	7722	304898
12/2007	7722	160358
01/2008	7722	279191
02/2008	7722	257024
03/2008	7722	216810
04/2008	7722	216836
05/2008	7722	209868
06/2008	7722	137374
07/2008	7722	144027
08/2008	7722	179498
09/2008	7722	207942
10/2008	7722	251921
11/2008	7722	142440
12/2008	7722	76655
01/2009	7722	120573
02/2009	7722	167551
03/2009	7722	142427
04/2009	7722	209545
05/2009	7722	121328
06/2009	7722	141538
07/2009	7722	140278
08/2009	7722	165982
09/2009	7722	166254
10/2009	7722	177506
11/2009	7722	169743
12/2009	7722	117325
01/2010	7722	176135
02/2010	7722	158066
03/2010	7722	190233
04/2010	7722	205753
05/2010	7722	223770
06/2010	7722	286004
07/2010	7722	199809
08/2010	7722	248341
09/2010	7722	203189
10/2010	7722	176496
11/2010	7722	163062
12/2010	7722	157009
01/2011	7722	221281
02/2011	7722	252820
03/2011	7722	200893
04/2011	7722	187407
05/2011	7722	217132
06/2011	7722	190682
07/2011	7722	137094
08/2011	7722	210574
09/2011	7722	179086
10/2011	7722	202445
11/2011	7722	202965
12/2011	7722	166480
01/2012	7722	188160
02/2012	7722	178940
03/2012	7722	188377
04/2012	7722	190466
05/2012	7722	236136
06/2012	7722	207803
07/2012	7722	233449
08/2012	7722	274011
09/2012	7722	249931
10/2012	7722	278883
11/2012	7722	271299
12/2012	7722	125910
01/2013	7722	282084
02/2013	7722	237776
03/2013	7722	233563
04/2013	7722	242741
05/2013	7722	285012
06/2013	7722	246517
07/2013	7722	200945
08/2013	7722	305596
09/2013	7722	237684
10/2013	7722	297616
11/2013	7722	282788
12/2013	7722	220059
01/2014	7722	284405
02/2014	7722	267290
03/2014	7722	246018
04/2014	7722	284520
05/2014	7722	274372
06/2014	7722	286189
07/2014	7722	281160
08/2014	7722	253565
