obdobi	kod	cena
10/1999	57111	3
12/1999	57112	3
01/2000	57112	13
03/2000	57112	1
04/2000	57112	13
06/2000	57112	3
10/2000	57111	2
12/2000	57112	251
02/2001	57112	194
04/2001	57112	442
02/2002	57112	109
06/2004	57112	59
02/2006	57111	15
10/2006	57111	1
10/2007	57112	4
06/2008	57112	4
07/2008	57111	39
07/2008	57112	4
08/2008	57112	1
09/2008	57112	0
10/2008	57112	2
11/2008	57111	69
02/2009	57111	299
05/2009	57112	1
07/2009	57112	0
03/2010	57111	0
06/2010	57111	51
07/2010	57112	118
11/2010	57111	21
05/2011	57112	587
07/2011	57112	9
08/2011	57111	23
09/2011	57111	278
09/2011	57112	84
11/2011	57111	1
01/2012	57112	34
02/2012	57111	15
02/2012	57112	112
03/2012	57111	3
03/2012	57112	48
04/2012	57112	86
05/2012	57112	28
06/2012	57112	1
07/2012	57111	5
07/2012	57112	2587
08/2012	57111	11
08/2012	57112	15
09/2012	57111	11
10/2012	57111	4
11/2012	57111	2
11/2012	57112	15
12/2012	57111	1
01/2013	57111	8
01/2013	57112	24
02/2013	57111	2
03/2013	57111	0
03/2013	57112	10
04/2013	57111	0
04/2013	57112	339
05/2013	57112	342
06/2013	57112	1454
07/2013	57112	11
08/2013	57112	690
09/2013	57111	1099
09/2013	57112	672
10/2013	57111	4
12/2013	57111	600
01/2014	57111	614
01/2014	57112	0
02/2014	57112	0
03/2014	57112	2
04/2014	57112	32
05/2014	57111	512
05/2014	57112	1
06/2014	57112	11
07/2014	57112	1
08/2014	57111	9
08/2014	57112	0
