obdobi	kod	cena
03/1999	51563	193
03/1999	51569	46
04/1999	51562	118
05/1999	51563	258
06/1999	51563	1
08/1999	51563	126
08/1999	51569	140
11/1999	51561	102
11/1999	51562	115
11/1999	51563	79
11/1999	51569	111
12/1999	51563	107
01/2000	51563	53
01/2000	51569	582
02/2000	51562	98
02/2000	51563	1134
03/2000	51563	3464
05/2000	51563	6180
05/2000	51569	4318
06/2000	51563	9876
06/2000	51569	172
07/2000	51562	109
07/2000	51563	4507
07/2000	51569	32
08/2000	51563	695
09/2000	51563	359
09/2000	51569	24
10/2000	51563	185
10/2000	51569	239
11/2000	51562	112
11/2000	51563	737
11/2000	51569	146
12/2000	51563	61
12/2000	51569	230
01/2001	51563	9054
02/2001	51563	372
02/2001	51569	256
03/2001	51561	149
03/2001	51563	117
03/2001	51569	267
04/2001	51562	73
04/2001	51563	248
04/2001	51569	204
05/2001	51563	5419
05/2001	51569	306
06/2001	51563	4620
06/2001	51569	259
07/2001	51563	486
07/2001	51569	25
08/2001	51563	7396
09/2001	51563	36
09/2001	51569	155
10/2001	51562	54
10/2001	51563	9304
10/2001	51569	119
11/2001	51562	112
11/2001	51563	54
11/2001	51569	65
12/2001	51563	9689
12/2001	51569	121
01/2002	51563	6983
01/2002	51569	15
02/2002	51561	83
02/2002	51563	403
02/2002	51569	41
03/2002	51563	4742
03/2002	51569	653
04/2002	51562	104
04/2002	51563	435
04/2002	51569	105
05/2002	51563	1207
05/2002	51569	118
06/2002	51563	238
07/2002	51563	3753
07/2002	51569	365
08/2002	51563	249
08/2002	51569	544
09/2002	51563	6551
09/2002	51569	178
10/2002	51563	825
10/2002	51569	24
11/2002	51563	390
11/2002	51569	152
12/2002	51562	101
12/2002	51563	87
12/2002	51569	134
01/2003	51563	6776
01/2003	51569	89
02/2003	51563	3866
02/2003	51569	123
03/2003	51563	3485
03/2003	51569	329
04/2003	51562	51
04/2003	51563	8030
04/2003	51569	69
05/2003	51563	1825
05/2003	51569	41
06/2003	51563	62
06/2003	51569	17579
