obdobi	kod	cena
01/1999	84422	1277
01/1999	84423	33
01/1999	84424	9
01/1999	84425	111
01/1999	84426	201
02/1999	84422	952
02/1999	84423	44
02/1999	84424	158
02/1999	84425	95
02/1999	84426	274
03/1999	84422	1291
03/1999	84423	139
03/1999	84424	152
03/1999	84425	95
03/1999	84426	2896
04/1999	84422	1697
04/1999	84423	101
04/1999	84424	731
04/1999	84425	100
04/1999	84426	501
05/1999	84422	1992
05/1999	84423	15
05/1999	84424	283
05/1999	84425	54
05/1999	84426	1358
06/1999	84422	912
06/1999	84423	18
06/1999	84424	2506
06/1999	84425	68
06/1999	84426	460
07/1999	84422	376
07/1999	84423	17
07/1999	84424	148
07/1999	84425	4
07/1999	84426	143
08/1999	84422	1078
08/1999	84423	113
08/1999	84424	329
08/1999	84425	182
08/1999	84426	479
09/1999	84422	140
09/1999	84423	211
09/1999	84424	353
09/1999	84425	45
09/1999	84426	864
10/1999	84422	769
10/1999	84423	148
10/1999	84424	145
10/1999	84425	69
10/1999	84426	730
11/1999	84422	1609
11/1999	84423	127
11/1999	84424	322
11/1999	84425	149
11/1999	84426	586
12/1999	84422	1744
12/1999	84423	68
12/1999	84424	135
12/1999	84425	118
12/1999	84426	686
01/2000	84422	994
01/2000	84423	12
01/2000	84424	314
01/2000	84425	96
01/2000	84426	412
02/2000	84422	218
02/2000	84423	22
02/2000	84424	318
02/2000	84425	47
02/2000	84426	937
03/2000	84421	38
03/2000	84422	1493
03/2000	84423	188
03/2000	84424	667
03/2000	84425	631
03/2000	84426	2866
04/2000	84422	2126
04/2000	84423	6
04/2000	84424	33
04/2000	84425	712
04/2000	84426	2496
05/2000	84422	830
05/2000	84423	9
05/2000	84424	752
05/2000	84425	524
05/2000	84426	1362
06/2000	84422	682
06/2000	84423	19
06/2000	84424	563
06/2000	84425	190
06/2000	84426	577
07/2000	84422	25
07/2000	84423	13
07/2000	84424	76
07/2000	84425	275
07/2000	84426	1072
08/2000	84422	1760
08/2000	84423	1090
08/2000	84424	104
08/2000	84425	807
08/2000	84426	1747
09/2000	84422	333
09/2000	84423	707
09/2000	84424	218
09/2000	84425	380
09/2000	84426	1463
10/2000	84422	448
10/2000	84423	121
10/2000	84424	136
10/2000	84425	137
10/2000	84426	1325
11/2000	84422	144
11/2000	84423	78
11/2000	84424	30
11/2000	84425	203
11/2000	84426	6031
12/2000	84422	461
12/2000	84423	23
12/2000	84424	156
12/2000	84425	88
12/2000	84426	1151
01/2001	84422	721
01/2001	84423	32
01/2001	84424	173
01/2001	84425	129
01/2001	84426	1386
02/2001	84422	83
02/2001	84424	704
02/2001	84425	135
02/2001	84426	2431
03/2001	84422	394
03/2001	84423	163
03/2001	84424	346
03/2001	84425	433
03/2001	84426	2199
04/2001	84421	84
04/2001	84422	802
04/2001	84423	158
04/2001	84424	1544
04/2001	84425	733
04/2001	84426	5361
05/2001	84422	1580
05/2001	84423	227
05/2001	84424	1426
05/2001	84425	812
05/2001	84426	4750
06/2001	84421	322
06/2001	84422	409
06/2001	84423	145
06/2001	84424	741
06/2001	84425	203
06/2001	84426	2736
07/2001	84422	1
07/2001	84424	539
07/2001	84425	477
07/2001	84426	1910
08/2001	84422	303
08/2001	84423	16
08/2001	84424	33
08/2001	84425	220
08/2001	84426	3181
09/2001	84421	19
09/2001	84422	252
09/2001	84423	213
09/2001	84424	503
09/2001	84425	736
09/2001	84426	3799
10/2001	84422	228
10/2001	84423	54
10/2001	84424	86
10/2001	84425	94
10/2001	84426	3322
11/2001	84422	194
11/2001	84423	181
11/2001	84424	16
11/2001	84425	95
11/2001	84426	2872
12/2001	84422	80
12/2001	84423	86
12/2001	84424	94
12/2001	84425	32
12/2001	84426	445
01/2002	84421	4
01/2002	84422	21
01/2002	84423	110
01/2002	84424	1
01/2002	84425	166
01/2002	84426	3311
02/2002	84422	22
02/2002	84423	11
02/2002	84424	328
02/2002	84425	180
02/2002	84426	1417
03/2002	84422	235
03/2002	84423	418
03/2002	84424	661
03/2002	84425	406
03/2002	84426	5184
04/2002	84422	1384
04/2002	84423	176
04/2002	84424	226
04/2002	84425	361
04/2002	84426	4821
05/2002	84422	1476
05/2002	84424	403
05/2002	84425	120
05/2002	84426	2840
06/2002	84422	178
06/2002	84423	269
06/2002	84424	354
06/2002	84425	35
06/2002	84426	1169
07/2002	84421	4
07/2002	84422	696
07/2002	84423	780
07/2002	84424	157
07/2002	84425	466
07/2002	84426	1963
08/2002	84422	584
08/2002	84423	1391
08/2002	84424	64
08/2002	84425	51
08/2002	84426	3066
09/2002	84422	193
09/2002	84423	292
09/2002	84424	130
09/2002	84425	375
09/2002	84426	2597
