obdobi	kod	cena
02/2006	1211	1728
04/2007	1211	4072
02/2008	1211	2781
03/2008	1211	1486
04/2008	1211	1358
07/2008	1211	1279
11/2008	1211	1355
04/2009	1211	3405
05/2009	1211	2478
06/2010	1211	5606
07/2010	1211	947
06/2011	1211	462
08/2011	1211	575
10/2011	1211	2151
11/2011	1211	293
01/2012	1211	4378
02/2012	1211	1900
03/2012	1211	3010
05/2012	1211	2152
08/2012	1211	6102
01/2013	1211	2420
02/2013	1211	2452
06/2013	1211	1713
07/2013	1211	1802
09/2013	1211	1548
12/2013	1211	744
02/2014	1211	2642
08/2014	1211	855
