obdobi	kod	cena
03/1999	6552	26
05/1999	6552	2
06/1999	6552	11
07/1999	6552	134
08/1999	6551	37
08/1999	6552	12
09/1999	6551	5
09/1999	6552	39
10/1999	6552	173
11/1999	6551	2231
11/1999	6552	387
12/1999	6552	952
01/2000	6551	2291
01/2000	6552	300
03/2000	6551	1088
03/2000	6552	209
04/2000	6551	1096
04/2000	6552	335
05/2000	6552	540
06/2000	6552	646
07/2000	6552	73
08/2000	6551	1004
08/2000	6552	4
09/2000	6552	472
10/2000	6551	1958
11/2000	6551	814
11/2000	6552	0
12/2000	6551	239
12/2000	6552	552
01/2001	6551	933
02/2001	6551	9
02/2001	6552	163
03/2001	6552	13
04/2001	6551	1872
04/2001	6552	926
05/2001	6551	44
05/2001	6552	388
06/2001	6551	1193
06/2001	6552	451
07/2001	6551	67
07/2001	6552	543
08/2001	6551	1213
08/2001	6552	303
09/2001	6551	41
09/2001	6552	27
10/2001	6552	1276
11/2001	6551	7
11/2001	6552	1139
12/2001	6551	6
12/2001	6552	303
01/2002	6551	303
01/2002	6552	631
02/2002	6551	460
02/2002	6552	537
03/2002	6551	528
03/2002	6552	1033
04/2002	6551	1010
04/2002	6552	789
05/2002	6552	930
06/2002	6551	165
06/2002	6552	577
07/2002	6552	1043
08/2002	6551	265
08/2002	6552	751
09/2002	6551	1144
09/2002	6552	2079
10/2002	6551	696
10/2002	6552	1365
11/2002	6551	142
11/2002	6552	583
12/2002	6551	86
12/2002	6552	534
01/2003	6551	702
01/2003	6552	584
02/2003	6551	106
03/2003	6551	194
03/2003	6552	502
04/2003	6551	2678
04/2003	6552	689
05/2003	6551	1057
05/2003	6552	594
06/2003	6551	1662
06/2003	6552	574
07/2003	6551	2130
07/2003	6552	49
08/2003	6551	172
08/2003	6552	1421
09/2003	6551	271
09/2003	6552	456
10/2003	6551	2147
10/2003	6552	289
11/2003	6551	1184
11/2003	6552	48
12/2003	6551	952
12/2003	6552	887
01/2004	6551	1
01/2004	6552	105
02/2004	6551	11
02/2004	6552	490
03/2004	6551	667
03/2004	6552	316
04/2004	6551	138
04/2004	6552	795
05/2004	6551	1220
05/2004	6552	1178
06/2004	6551	1660
06/2004	6552	582
07/2004	6551	1991
07/2004	6552	203
08/2004	6551	323
08/2004	6552	2035
09/2004	6551	833
09/2004	6552	233
10/2004	6551	854
10/2004	6552	979
11/2004	6551	2612
11/2004	6552	255
12/2004	6551	906
12/2004	6552	434
01/2005	6551	4897
01/2005	6552	349
02/2005	6551	3243
02/2005	6552	449
03/2005	6551	1874
03/2005	6552	1549
04/2005	6551	1774
04/2005	6552	643
05/2005	6551	209
05/2005	6552	1143
06/2005	6551	294
06/2005	6552	1074
07/2005	6551	1970
07/2005	6552	428
08/2005	6551	1915
08/2005	6552	809
09/2005	6551	2592
09/2005	6552	3974
10/2005	6551	2215
10/2005	6552	2581
11/2005	6551	3335
11/2005	6552	2323
12/2005	6551	3174
12/2005	6552	3666
01/2006	6551	2530
01/2006	6552	1166
02/2006	6551	3888
02/2006	6552	1640
03/2006	6551	64
03/2006	6552	1624
04/2006	6551	2108
04/2006	6552	4324
05/2006	6551	2070
05/2006	6552	5582
06/2006	6551	1590
06/2006	6552	6240
07/2006	6551	1630
07/2006	6552	2140
08/2006	6551	260
08/2006	6552	4560
09/2006	6551	1458
09/2006	6552	1744
10/2006	6551	666
10/2006	6552	4972
11/2006	6551	5578
11/2006	6552	6626
12/2006	6551	3314
12/2006	6552	1602
01/2007	6551	278
01/2007	6552	3100
02/2007	6551	2004
02/2007	6552	3036
03/2007	6551	5842
03/2007	6552	4816
04/2007	6551	1626
04/2007	6552	4240
05/2007	6551	2310
05/2007	6552	6836
06/2007	6551	1684
06/2007	6552	5308
07/2007	6551	4536
07/2007	6552	6476
08/2007	6551	2608
08/2007	6552	3148
09/2007	6551	1904
09/2007	6552	7054
10/2007	6551	2886
10/2007	6552	14832
11/2007	6551	1862
11/2007	6552	9930
12/2007	6551	946
12/2007	6552	6170
01/2008	6551	3612
01/2008	6552	9120
02/2008	6551	3016
02/2008	6552	7312
03/2008	6551	600
03/2008	6552	12228
04/2008	6551	5642
04/2008	6552	12314
05/2008	6551	1282
05/2008	6552	6282
06/2008	6551	82
06/2008	6552	6808
07/2008	6551	2604
07/2008	6552	5468
08/2008	6551	2030
08/2008	6552	6630
09/2008	6551	4840
09/2008	6552	9416
10/2008	6551	486
10/2008	6552	12020
11/2008	6551	2156
11/2008	6552	11246
12/2008	6551	2122
12/2008	6552	7866
01/2009	6551	6296
01/2009	6552	3280
02/2009	6551	1314
02/2009	6552	3688
03/2009	6551	748
03/2009	6552	5668
04/2009	6551	3506
04/2009	6552	6318
05/2009	6551	38
05/2009	6552	6044
06/2009	6551	3062
06/2009	6552	4000
07/2009	6551	3056
07/2009	6552	2750
08/2009	6551	1754
08/2009	6552	8428
09/2009	6551	1704
09/2009	6552	4802
10/2009	6551	4320
10/2009	6552	6636
11/2009	6551	3150
11/2009	6552	7026
12/2009	6551	2690
12/2009	6552	8564
01/2010	6551	1944
01/2010	6552	6738
02/2010	6551	106
02/2010	6552	7966
03/2010	6551	1994
03/2010	6552	6874
04/2010	6551	2944
04/2010	6552	5692
05/2010	6551	3876
05/2010	6552	5662
06/2010	6551	3826
06/2010	6552	10828
07/2010	6551	2178
07/2010	6552	6430
08/2010	6551	2614
08/2010	6552	6796
09/2010	6551	3610
09/2010	6552	9208
10/2010	6551	2870
10/2010	6552	16792
11/2010	6551	1736
11/2010	6552	6754
12/2010	6551	1728
12/2010	6552	7926
01/2011	6551	2310
01/2011	6552	10082
02/2011	6551	3828
02/2011	6552	15264
03/2011	6551	2592
03/2011	6552	11504
04/2011	6551	1616
04/2011	6552	14014
05/2011	6551	2344
05/2011	6552	21494
