obdobi	kod	cena
01/1999	098	817
02/1999	098	1378
03/1999	098	1983
04/1999	098	827
05/1999	098	1224
06/1999	098	910
07/1999	098	4910
08/1999	098	715
09/1999	098	1185
10/1999	098	1452
11/1999	098	339
12/1999	098	584
01/2000	098	335
02/2000	098	842
03/2000	098	955
04/2000	098	746
05/2000	098	1507
06/2000	098	1495
07/2000	098	1537
08/2000	098	1051
09/2000	098	502
10/2000	098	1580
11/2000	098	1060
12/2000	098	1129
01/2001	098	2096
02/2001	098	3314
03/2001	098	1240
04/2001	098	784
05/2001	098	3066
06/2001	098	1935
07/2001	098	452
08/2001	098	930
09/2001	098	637
10/2001	098	621
11/2001	098	1235
12/2001	098	455
01/2002	098	1302
02/2002	098	2004
03/2002	098	1710
04/2002	098	1622
05/2002	098	2258
06/2002	098	1688
07/2002	098	828
08/2002	098	639
09/2002	098	1247
10/2002	098	2346
11/2002	098	489
12/2002	098	962
01/2003	098	2250
02/2003	098	3574
03/2003	098	238
04/2003	098	1681
05/2003	098	1095
06/2003	098	2094
07/2003	098	1503
08/2003	098	1623
09/2003	098	1822
10/2003	098	2227
11/2003	098	1326
12/2003	098	2234
01/2004	098	2439
02/2004	098	1363
03/2004	098	1356
04/2004	098	3331
05/2004	098	1124
06/2004	098	1431
07/2004	098	1651
08/2004	098	1401
09/2004	098	1412
10/2004	098	2491
11/2004	098	3939
12/2004	098	4160
01/2005	098	1315
02/2005	091	3
02/2005	098	2079
03/2005	098	3013
04/2005	098	2847
05/2005	098	2793
06/2005	098	3507
07/2005	091	54
07/2005	098	3832
08/2005	098	2326
09/2005	098	4759
10/2005	098	5750
11/2005	098	3733
12/2005	098	2897
01/2006	091	103
01/2006	098	2912
02/2006	091	130
02/2006	098	3894
03/2006	098	3180
04/2006	098	6692
05/2006	091	6
05/2006	098	8212
06/2006	098	8594
07/2006	098	10564
08/2006	091	16
08/2006	098	8538
09/2006	098	6684
10/2006	098	4962
11/2006	098	9022
12/2006	098	1128
01/2007	091	56
01/2007	098	5782
02/2007	098	8226
03/2007	098	6080
04/2007	091	98
04/2007	098	9154
05/2007	098	7624
06/2007	098	15372
07/2007	091	84
07/2007	098	15422
08/2007	091	150
08/2007	098	6230
09/2007	098	16938
10/2007	091	96
10/2007	098	12388
11/2007	098	15888
12/2007	098	16670
01/2008	098	17500
02/2008	098	6568
03/2008	098	2648
04/2008	091	114
04/2008	098	9082
05/2008	098	12254
06/2008	091	12
06/2008	098	9236
07/2008	091	106
07/2008	098	13616
08/2008	091	34
08/2008	098	9624
09/2008	091	102
09/2008	098	10816
10/2008	091	384
10/2008	098	16614
11/2008	091	124
11/2008	098	9416
12/2008	091	76
12/2008	098	10138
01/2009	098	11582
02/2009	098	16526
03/2009	098	14824
04/2009	098	16972
05/2009	098	18934
06/2009	098	28348
07/2009	091	496
07/2009	098	19220
08/2009	091	118
08/2009	098	13024
09/2009	098	16344
10/2009	098	10976
11/2009	098	15058
12/2009	098	22156
01/2010	091	6
01/2010	098	11986
02/2010	098	13600
03/2010	098	29632
04/2010	098	8160
05/2010	098	9962
06/2010	098	18040
07/2010	098	23820
08/2010	098	13674
09/2010	091	84
09/2010	098	17250
10/2010	098	14352
11/2010	098	11908
12/2010	098	15704
01/2011	098	20308
02/2011	098	17566
03/2011	091	2
03/2011	098	15654
04/2011	098	12260
05/2011	098	18432
06/2011	098	15008
