obdobi	kod	cena
01/1999	87191	123
01/1999	87192	56
01/1999	87193	105
02/1999	87191	84
02/1999	87192	196
02/1999	87193	235
03/1999	87191	179
03/1999	87192	0
03/1999	87193	70
04/1999	87191	386
04/1999	87193	123
04/1999	87199	4
05/1999	87191	2
05/1999	87192	38
05/1999	87193	112
06/1999	87191	194
06/1999	87193	127
07/1999	87191	126
07/1999	87193	15
07/1999	87199	9
08/1999	87191	69
08/1999	87192	14
08/1999	87193	46
08/1999	87199	1
09/1999	87191	119
09/1999	87192	6
09/1999	87193	483
10/1999	87191	249
10/1999	87192	19
10/1999	87193	426
11/1999	87191	42
11/1999	87192	133
11/1999	87193	977
12/1999	87191	260
12/1999	87192	122
12/1999	87193	848
12/1999	87199	3
01/2000	87191	133
01/2000	87192	110
01/2000	87193	731
02/2000	87191	121
02/2000	87193	782
03/2000	87191	48
03/2000	87192	164
03/2000	87193	918
03/2000	87199	124
04/2000	87191	79
04/2000	87192	1
04/2000	87193	509
04/2000	87199	113
05/2000	87191	76
05/2000	87192	30
05/2000	87193	527
05/2000	87199	2
06/2000	87191	593
06/2000	87192	1
06/2000	87193	1575
06/2000	87199	2
07/2000	87191	11
07/2000	87193	1633
07/2000	87199	4
08/2000	87191	334
08/2000	87192	0
08/2000	87193	771
08/2000	87199	158
09/2000	87191	65
09/2000	87192	3742
09/2000	87193	3165
09/2000	87199	4
10/2000	87191	180
10/2000	87193	1189
10/2000	87199	2
11/2000	87191	427
11/2000	87193	1352
11/2000	87199	18
12/2000	87191	196
12/2000	87192	10
12/2000	87193	2851
12/2000	87199	17
01/2001	87191	20
01/2001	87193	954
01/2001	87199	18
02/2001	87191	63
02/2001	87192	20
02/2001	87193	1627
02/2001	87199	7
03/2001	87191	521
03/2001	87192	28
03/2001	87193	738
03/2001	87199	161
04/2001	87191	182
04/2001	87192	7
04/2001	87193	1293
04/2001	87199	516
05/2001	87191	208
05/2001	87192	7
05/2001	87193	139
05/2001	87199	33
06/2001	87191	488
06/2001	87192	89
06/2001	87193	304
06/2001	87199	76
07/2001	87191	84
07/2001	87192	17
07/2001	87193	481
07/2001	87199	7
08/2001	87191	572
08/2001	87192	28
08/2001	87193	1691
08/2001	87199	218
09/2001	87191	478
09/2001	87192	22
09/2001	87193	889
10/2001	87191	177
10/2001	87192	34
10/2001	87193	1846
10/2001	87199	353
11/2001	87191	61
11/2001	87192	25
11/2001	87193	1315
11/2001	87199	151
12/2001	87192	54
12/2001	87193	1235
12/2001	87199	169
01/2002	87191	336
01/2002	87192	3601
01/2002	87193	989
01/2002	87199	32
02/2002	87191	476
02/2002	87192	49
02/2002	87193	768
02/2002	87199	267
03/2002	87191	127
03/2002	87192	29
03/2002	87193	1099
03/2002	87199	159
04/2002	87191	3
04/2002	87192	76
04/2002	87193	885
04/2002	87199	244
05/2002	87191	373
05/2002	87192	270
05/2002	87193	1210
05/2002	87199	305
06/2002	87191	189
06/2002	87192	44
06/2002	87193	1031
06/2002	87199	16
07/2002	87191	40
07/2002	87192	383
07/2002	87193	908
07/2002	87199	363
08/2002	87191	49
08/2002	87192	14
08/2002	87193	760
08/2002	87199	211
09/2002	87191	804
09/2002	87192	89
09/2002	87193	980
09/2002	87199	95
10/2002	87191	178
10/2002	87192	633
10/2002	87193	771
10/2002	87199	17
11/2002	87191	46
11/2002	87192	103
11/2002	87193	1767
11/2002	87199	8
12/2002	87191	122
12/2002	87192	78
12/2002	87193	2227
12/2002	87199	454
01/2003	87191	171
01/2003	87192	95
01/2003	87193	2048
01/2003	87199	103
02/2003	87191	228
02/2003	87192	43
02/2003	87193	3739
02/2003	87199	20
03/2003	87191	78
03/2003	87192	76
03/2003	87193	3433
03/2003	87199	41
04/2003	87191	202
04/2003	87192	221
04/2003	87193	2226
04/2003	87199	55
05/2003	87191	232
05/2003	87192	104
05/2003	87193	6779
05/2003	87199	12
06/2003	87191	363
06/2003	87192	61
06/2003	87193	4792
06/2003	87199	191
07/2003	87191	547
07/2003	87192	115
07/2003	87193	1281
07/2003	87199	82
08/2003	87191	179
08/2003	87192	29
08/2003	87193	6485
08/2003	87199	50
09/2003	87191	49
09/2003	87192	35
09/2003	87193	9411
09/2003	87199	60
10/2003	87191	162
10/2003	87192	26
10/2003	87193	3703
10/2003	87199	61
11/2003	87191	132
11/2003	87192	160
11/2003	87193	15801
11/2003	87199	104
12/2003	87191	319
12/2003	87192	175
12/2003	87193	9134
12/2003	87199	30
01/2004	87191	179
01/2004	87192	58
01/2004	87193	21468
01/2004	87199	27
02/2004	87191	534
02/2004	87192	70
02/2004	87193	11028
02/2004	87199	170
03/2004	87191	130
03/2004	87192	108
03/2004	87193	87168
03/2004	87199	157
04/2004	87191	604
04/2004	87192	386
04/2004	87193	107729
04/2004	87199	18
05/2004	87191	205
05/2004	87192	99
05/2004	87193	79629
05/2004	87199	123
06/2004	87191	403
06/2004	87192	164
06/2004	87193	20453
06/2004	87199	48
07/2004	87191	117
07/2004	87192	102
07/2004	87193	12224
07/2004	87199	3533
08/2004	87191	47
08/2004	87192	200
08/2004	87193	13094
08/2004	87199	11900
09/2004	87191	301
09/2004	87192	143
09/2004	87193	4930
09/2004	87199	6517
10/2004	87191	391
10/2004	87192	69
10/2004	87193	38016
10/2004	87199	4436
11/2004	87191	617
11/2004	87192	160
11/2004	87193	57254
11/2004	87199	114
12/2004	87191	222
12/2004	87192	390
12/2004	87193	21767
12/2004	87199	244
01/2005	87191	291
01/2005	87192	185
01/2005	87193	49407
01/2005	87199	23
02/2005	87191	27
02/2005	87192	81
02/2005	87193	10860
02/2005	87199	153
03/2005	87191	405
03/2005	87192	506
03/2005	87193	6890
03/2005	87199	189
04/2005	87191	31
04/2005	87192	135
04/2005	87193	4672
04/2005	87199	374
05/2005	87191	72
05/2005	87192	260
05/2005	87193	12098
05/2005	87199	408
06/2005	87191	140
06/2005	87192	222
06/2005	87193	9800
06/2005	87199	115
07/2005	87191	138
07/2005	87192	218
07/2005	87193	10145
07/2005	87199	59
08/2005	87191	524
08/2005	87192	153
08/2005	87193	10596
08/2005	87199	155
09/2005	87191	115
09/2005	87192	261
09/2005	87193	6513
09/2005	87199	56
10/2005	87191	275
10/2005	87192	203
10/2005	87193	4271
10/2005	87199	1248
11/2005	87191	926
11/2005	87192	404
11/2005	87193	16538
11/2005	87199	657
12/2005	87191	59
12/2005	87192	333
12/2005	87193	9053
12/2005	87199	317
01/2006	87191	95
01/2006	87192	412
01/2006	87193	8557
01/2006	87199	281
02/2006	87191	246
02/2006	87192	237
02/2006	87193	16653
02/2006	87199	102
03/2006	87191	326
03/2006	87192	344
03/2006	87193	6264
03/2006	87199	321
04/2006	87191	12
04/2006	87192	203
04/2006	87193	7176
04/2006	87199	9
05/2006	87191	238
05/2006	87192	492
05/2006	87193	10189
05/2006	87199	1155
06/2006	87191	354
06/2006	87192	344
06/2006	87193	5964
06/2006	87199	748
07/2006	87191	270
07/2006	87192	448
07/2006	87193	13547
07/2006	87199	628
08/2006	87191	411
08/2006	87192	401
08/2006	87193	22543
08/2006	87199	377
09/2006	87191	455
09/2006	87192	324
09/2006	87193	13910
09/2006	87199	48
10/2006	87191	625
10/2006	87192	766
10/2006	87193	43237
10/2006	87199	76
11/2006	87191	1676
11/2006	87192	832
11/2006	87193	22219
11/2006	87199	709
12/2006	87191	296
12/2006	87192	775
12/2006	87193	7366
12/2006	87199	1687
01/2007	87191	410
01/2007	87192	1467
01/2007	87193	4631
01/2007	87199	271
02/2007	87191	584
02/2007	87192	565
02/2007	87193	1810
02/2007	87199	169
03/2007	87191	364
03/2007	87192	769
03/2007	87193	2720
03/2007	87199	88
04/2007	87191	146
04/2007	87192	788
04/2007	87193	4094
04/2007	87199	182
05/2007	87191	169
05/2007	87192	653
05/2007	87193	5503
05/2007	87199	55
06/2007	87191	263
06/2007	87192	527
06/2007	87193	5830
06/2007	87199	21
07/2007	87191	225
07/2007	87192	991
07/2007	87193	3830
07/2007	87199	85
08/2007	87191	326
08/2007	87192	452
08/2007	87193	3199
08/2007	87199	312
09/2007	87191	532
09/2007	87192	1584
09/2007	87193	3867
09/2007	87199	85
10/2007	87191	635
10/2007	87192	831
10/2007	87193	4260
10/2007	87199	271
11/2007	87191	2519
11/2007	87192	680
11/2007	87193	2058
11/2007	87199	294
12/2007	87191	542
12/2007	87192	1085
12/2007	87193	1680
12/2007	87199	213
01/2008	87191	290
01/2008	87192	715
01/2008	87193	5934
01/2008	87199	79
02/2008	87191	241
02/2008	87192	440
02/2008	87193	11253
02/2008	87199	72
03/2008	87191	411
03/2008	87192	347
03/2008	87193	2377
03/2008	87199	132
04/2008	87191	185
04/2008	87192	1463
04/2008	87193	1447
04/2008	87199	234
05/2008	87191	22
05/2008	87192	462
05/2008	87193	2652
05/2008	87199	134
06/2008	87191	1296
06/2008	87192	748
06/2008	87193	3127
06/2008	87199	63
07/2008	87191	386
07/2008	87192	592
07/2008	87193	1996
07/2008	87199	21
08/2008	87191	408
08/2008	87192	600
08/2008	87193	23052
08/2008	87199	121
09/2008	87191	489
09/2008	87192	1044
09/2008	87193	2039
09/2008	87199	3300
10/2008	87191	309
10/2008	87192	590
10/2008	87193	1999
10/2008	87199	2198
11/2008	87191	872
11/2008	87192	353
11/2008	87193	14917
11/2008	87199	1231
12/2008	87191	83
12/2008	87192	501
12/2008	87193	5290
12/2008	87199	2213
01/2009	87191	366
01/2009	87192	370
01/2009	87193	6261
