obdobi	kod	cena
06/2000	66441	11
11/2001	66441	1109
12/2001	66441	577
01/2002	66441	697
01/2003	66441	922
10/2005	66441	2
11/2005	66441	196
12/2005	66441	3
01/2006	66441	11
06/2006	66441	268
08/2006	66441	652
09/2006	66441	10
10/2006	66441	14
11/2006	66441	86
12/2006	66441	628
02/2007	66441	564
03/2007	66441	852
04/2007	66441	4934
05/2007	66441	10188
06/2007	66441	5948
07/2007	66441	8172
08/2007	66441	28014
08/2007	66442	1234
09/2007	66441	19294
10/2007	66441	17110
11/2007	66441	392
01/2008	66441	716
02/2008	66441	212
03/2008	66441	2080
04/2008	66441	3922
05/2008	66441	1506
06/2008	66441	4170
07/2008	66441	1228
08/2008	66441	3744
09/2008	66441	2366
10/2008	66441	2354
11/2008	66441	2110
12/2008	66441	512
01/2009	66441	336
02/2009	66441	4496
03/2009	66441	604
04/2009	66441	1630
05/2009	66441	530
06/2009	66441	524
09/2009	66441	100
01/2010	66441	90
02/2010	66441	322
04/2010	66441	1188
05/2010	66441	2164
09/2010	66441	0
01/2011	66441	830
03/2011	66441	1038
04/2011	66441	670
05/2011	66441	2190
