obdobi	kod	cena
04/2002	69211	48
07/2002	69212	7
09/2002	69212	4
10/2002	69212	5
12/2002	69211	279
07/2003	69212	4
03/2004	69212	4
04/2004	69212	11
05/2004	69212	1
06/2004	69212	0
07/2004	69211	23
08/2004	69212	9
02/2005	69211	3
06/2005	69212	3
10/2005	69212	9
05/2006	69212	2
04/2007	69211	1532
07/2007	69212	2
11/2007	69211	8
02/2008	69211	4148
03/2008	69211	14
04/2008	69211	266
05/2008	69211	156
07/2008	69211	1344
08/2008	69211	82
09/2008	69211	40
10/2008	69211	58
11/2008	69211	878
12/2008	69211	1250
02/2009	69211	76
04/2009	69211	1352
05/2009	69211	38
06/2009	69211	172
07/2009	69211	22
08/2009	69211	934
10/2009	69211	548
11/2009	69211	2
12/2009	69211	14
02/2010	69211	600
05/2010	69211	874
10/2010	69211	1676
11/2010	69211	1486
12/2010	69211	1766
