obdobi	kod	cena
01/1999	05779	33
03/1999	05779	176
04/1999	05779	45
08/1999	05776	81
08/1999	05779	182
09/1999	05779	186
10/1999	05773	176
11/1999	05779	407
12/1999	05779	533
01/2000	05779	13
02/2000	05779	81
03/2000	05779	1
04/2000	05779	129
06/2000	05779	7
07/2000	05779	75
08/2000	05771	23
09/2000	05779	135
10/2000	05771	28
10/2000	05775	42
10/2000	05779	66
11/2000	05779	1120
12/2000	05779	71
01/2001	05779	27
02/2001	05779	32
03/2001	05779	67
04/2001	05779	157
06/2001	05779	29
07/2001	05779	101
08/2001	05779	140
09/2001	05771	53
09/2001	05779	13
10/2001	05771	387
10/2001	05779	5
11/2001	05775	1843
11/2001	05779	507
12/2001	05779	84
01/2002	05779	36
02/2002	05779	74
03/2002	05779	51
04/2002	05779	150
05/2002	05779	145
06/2002	05779	151
07/2002	05779	56
08/2002	05779	164
10/2002	05771	24
10/2002	05775	461
10/2002	05779	180
11/2002	05779	529
12/2002	05779	306
01/2003	05779	110
02/2003	05779	336
05/2003	05776	6
07/2003	05779	213
08/2003	05779	23
10/2003	05779	278
11/2003	05779	290
12/2003	05779	468
03/2004	05779	27
04/2004	05779	51
06/2004	05779	90
07/2004	05779	113
08/2004	05772	2
08/2004	05779	150
09/2004	05771	81
09/2004	05779	137
10/2004	05778	5
10/2004	05779	236
11/2004	05779	1199
12/2004	05776	169
12/2004	05779	841
02/2005	05779	434
03/2005	05777	2
04/2005	05779	141
05/2005	05779	199
06/2005	05779	334
07/2005	05779	102
08/2005	05779	321
09/2005	05776	118
09/2005	05779	298
10/2005	05777	1
10/2005	05779	401
11/2005	05779	231
12/2005	05779	619
01/2006	05776	394
02/2006	05779	802
03/2006	05779	395
04/2006	05779	155
05/2006	05774	334
05/2006	05779	1
06/2006	05779	361
07/2006	05779	323
08/2006	05779	157
09/2006	05774	331
09/2006	05778	385
09/2006	05779	141
10/2006	05777	62
10/2006	05779	1636
11/2006	05774	1
11/2006	05777	24
11/2006	05779	2298
12/2006	05777	6
12/2006	05779	1108
01/2007	05776	303
01/2007	05779	329
02/2007	05779	586
03/2007	05779	2
04/2007	05778	78
04/2007	05779	920
05/2007	05779	198
06/2007	05779	251
07/2007	05779	292
08/2007	05774	58
08/2007	05779	0
09/2007	05779	741
10/2007	05777	1386
10/2007	05779	1335
11/2007	05777	4056
11/2007	05779	606
12/2007	05777	2676
12/2007	05779	1088
01/2008	05777	290
01/2008	05778	146
01/2008	05779	1283
02/2008	05776	428
02/2008	05777	13
02/2008	05779	368
03/2008	05778	137
03/2008	05779	223
04/2008	05779	564
05/2008	05779	310
06/2008	05779	101
07/2008	05776	47
07/2008	05779	207
08/2008	05774	2
08/2008	05779	198
09/2008	05779	556
10/2008	05777	1343
10/2008	05779	157
11/2008	05777	3198
11/2008	05779	708
12/2008	05777	4805
12/2008	05779	758
01/2009	05777	636
01/2009	05779	226
02/2009	05776	357
02/2009	05779	249
03/2009	05777	3
03/2009	05779	1057
04/2009	05779	465
05/2009	05779	216
06/2009	05775	22
06/2009	05779	473
07/2009	05776	1
07/2009	05779	591
08/2009	05779	576
09/2009	05779	621
10/2009	05777	2271
10/2009	05779	515
11/2009	05771	5
11/2009	05777	1863
11/2009	05779	294
12/2009	05775	228
12/2009	05777	2669
12/2009	05779	710
01/2010	05775	32
01/2010	05777	118
01/2010	05779	250
02/2010	05777	124
02/2010	05779	399
03/2010	05777	149
03/2010	05779	1828
04/2010	05776	11
04/2010	05777	71
04/2010	05779	531
05/2010	05777	76
05/2010	05779	171
06/2010	05777	45
06/2010	05779	503
07/2010	05775	36
07/2010	05777	26
07/2010	05779	167
08/2010	05775	48
08/2010	05779	444
09/2010	05775	54
09/2010	05777	1
09/2010	05779	1359
10/2010	05777	1873
10/2010	05779	524
11/2010	05777	2367
11/2010	05779	1420
12/2010	05777	3774
12/2010	05779	1639
01/2011	05777	356
01/2011	05779	651
02/2011	05777	153
02/2011	05779	505
03/2011	05779	458
04/2011	05777	0
04/2011	05779	480
05/2011	05777	3
05/2011	05779	213
06/2011	05779	416
07/2011	05773	4
07/2011	05779	668
08/2011	05779	278
09/2011	05779	782
10/2011	05777	2084
10/2011	05779	1243
11/2011	05777	2392
11/2011	05779	1184
12/2011	05776	1012
12/2011	05777	3439
12/2011	05779	2050
01/2012	05779	264
02/2012	05779	352
03/2012	05779	335
04/2012	05779	726
05/2012	05779	322
06/2012	05773	335
06/2012	05779	997
07/2012	05779	515
08/2012	05779	306
09/2012	05779	873
10/2012	05777	1663
10/2012	05779	1227
11/2012	05777	3541
11/2012	05779	896
12/2012	05777	3279
12/2012	05779	960
01/2013	05777	127
01/2013	05778	8
01/2013	05779	700
02/2013	05779	307
03/2013	05779	829
04/2013	05779	203
05/2013	05779	1022
06/2013	05778	1
06/2013	05779	1725
07/2013	05779	1470
08/2013	05779	422
09/2013	05779	529
10/2013	05776	0
10/2013	05777	463
10/2013	05779	819
11/2013	05776	60
11/2013	05777	5375
11/2013	05779	1141
12/2013	05776	76
12/2013	05777	4142
12/2013	05779	2316
01/2014	05776	45
01/2014	05777	1282
01/2014	05779	553
02/2014	05776	41
02/2014	05777	68
02/2014	05779	466
03/2014	05776	67
03/2014	05779	726
04/2014	05776	88
04/2014	05779	991
05/2014	05776	69
05/2014	05779	1350
06/2014	05776	68
06/2014	05779	667
07/2014	05776	85
07/2014	05779	895
08/2014	05776	91
08/2014	05779	455
