obdobi	kod	cena
11/1999	2473	300
10/2003	2475	259
07/2006	2479	9
03/2007	2479	5
07/2007	2475	2
10/2007	2479	27
11/2007	2479	58
12/2007	2479	3
01/2008	2479	42
02/2008	2479	47
04/2008	2479	37
06/2008	2479	18
07/2008	2479	12
09/2008	2479	21
12/2008	2473	61
12/2008	2479	78
01/2009	2479	37
03/2009	2479	157
04/2009	2479	42
08/2009	2479	28
09/2009	2479	10
10/2009	2479	6
11/2009	2479	15
12/2009	2479	24
01/2010	2479	60
02/2010	2479	89
03/2010	2479	81
04/2010	2479	6
05/2010	2479	2
06/2010	2479	7
08/2010	2479	3
09/2010	2479	20
10/2010	2479	44
11/2010	2479	42
01/2011	2479	35
02/2011	2479	43
03/2011	2479	16
04/2011	2479	63
08/2011	2479	8
10/2011	2479	1
09/2013	2479	0
10/2013	2479	0
11/2013	2473	1
11/2013	2474	1
