obdobi	kod	cena
01/1999	6991	3924
01/1999	6992	97
01/1999	6993	72
01/1999	6995	123
01/1999	6996	2112
01/1999	6997	186
01/1999	6999	43
02/1999	6991	5082
02/1999	6992	62
02/1999	6993	249
02/1999	6994	1
02/1999	6995	527
02/1999	6996	1821
02/1999	6997	129
02/1999	6999	364
03/1999	6991	3698
03/1999	6992	91
03/1999	6993	261
03/1999	6994	2
03/1999	6995	413
03/1999	6996	2798
03/1999	6997	1695
03/1999	6999	90
04/1999	6991	4345
04/1999	6992	43
04/1999	6993	552
04/1999	6994	0
04/1999	6995	333
04/1999	6996	3511
04/1999	6997	168
04/1999	6999	339
05/1999	6991	5815
05/1999	6992	80
05/1999	6993	217
05/1999	6994	2
05/1999	6995	149
05/1999	6996	5531
05/1999	6997	1292
05/1999	6999	67
06/1999	6991	6050
06/1999	6992	477
06/1999	6993	257
06/1999	6994	1
06/1999	6995	464
06/1999	6996	2496
06/1999	6997	785
06/1999	6999	429
07/1999	6991	6045
07/1999	6992	58
07/1999	6993	332
07/1999	6994	0
07/1999	6995	898
07/1999	6996	3221
07/1999	6997	215
07/1999	6999	111
08/1999	6991	3991
08/1999	6992	1436
08/1999	6993	232
08/1999	6994	2
08/1999	6995	5939
08/1999	6996	4214
08/1999	6997	503
08/1999	6999	48
09/1999	6991	8233
09/1999	6992	69
09/1999	6993	599
09/1999	6994	1
09/1999	6995	637
09/1999	6996	7213
09/1999	6997	800
09/1999	6999	162
10/1999	6991	8053
10/1999	6992	1556
10/1999	6993	355
10/1999	6994	1
10/1999	6995	951
10/1999	6996	3496
10/1999	6997	1311
10/1999	6999	416
11/1999	6991	11215
11/1999	6992	4599
11/1999	6993	858
11/1999	6994	1
11/1999	6995	643
11/1999	6996	4235
11/1999	6997	1159
11/1999	6999	113
12/1999	6991	7003
12/1999	6992	1385
12/1999	6993	678
12/1999	6994	44
12/1999	6995	401
12/1999	6996	8621
12/1999	6997	318
12/1999	6999	519
01/2000	6991	4168
01/2000	6992	2040
01/2000	6993	413
01/2000	6994	0
01/2000	6995	1391
01/2000	6996	3767
01/2000	6997	161
01/2000	6999	16
02/2000	6991	10591
02/2000	6992	818
02/2000	6993	323
02/2000	6995	558
02/2000	6996	2658
02/2000	6997	1019
02/2000	6999	351
03/2000	6991	6936
03/2000	6992	246
03/2000	6993	365
03/2000	6994	80
03/2000	6995	956
03/2000	6996	4723
03/2000	6997	991
03/2000	6998	73
03/2000	6999	512
04/2000	6991	9662
04/2000	6992	190
04/2000	6993	694
04/2000	6994	13
04/2000	6995	492
04/2000	6996	2506
04/2000	6997	1210
04/2000	6999	483
05/2000	6991	8467
05/2000	6992	200
05/2000	6993	339
05/2000	6994	2
05/2000	6995	948
05/2000	6996	6037
05/2000	6997	1302
05/2000	6998	136
05/2000	6999	611
06/2000	6991	11463
06/2000	6992	53
06/2000	6993	506
06/2000	6994	25
06/2000	6995	1161
06/2000	6996	5892
06/2000	6997	1114
06/2000	6998	51
06/2000	6999	46
07/2000	6991	11207
07/2000	6992	2000
07/2000	6993	189
07/2000	6994	15
07/2000	6995	874
07/2000	6996	3481
07/2000	6997	208
07/2000	6998	46
07/2000	6999	7
08/2000	6991	8078
08/2000	6992	215
08/2000	6993	241
08/2000	6994	26
08/2000	6995	744
08/2000	6996	8568
08/2000	6997	966
08/2000	6998	64
08/2000	6999	356
09/2000	6991	6629
09/2000	6992	9301
09/2000	6993	368
09/2000	6994	1
09/2000	6995	1073
09/2000	6996	5100
09/2000	6997	769
09/2000	6999	289
10/2000	6991	10988
10/2000	6992	7193
10/2000	6993	503
10/2000	6994	0
10/2000	6995	1997
10/2000	6996	9548
10/2000	6997	2507
10/2000	6999	103
11/2000	6991	9046
11/2000	6992	3348
11/2000	6993	301
11/2000	6994	4
11/2000	6995	3501
11/2000	6996	7413
11/2000	6997	1560
11/2000	6999	12
12/2000	6991	12613
12/2000	6992	3654
12/2000	6993	518
12/2000	6994	3
12/2000	6995	416
12/2000	6996	8262
12/2000	6997	1653
12/2000	6999	642
01/2001	6991	11795
01/2001	6992	139
01/2001	6993	633
01/2001	6994	14
01/2001	6995	1062
01/2001	6996	9415
01/2001	6997	1832
01/2001	6998	190
01/2001	6999	216
02/2001	6991	18875
02/2001	6992	159
02/2001	6993	844
02/2001	6994	3
02/2001	6995	3329
02/2001	6996	4745
02/2001	6997	1077
03/2001	6991	9530
03/2001	6992	106
03/2001	6993	808
03/2001	6994	9
03/2001	6995	611
03/2001	6996	9137
03/2001	6997	732
03/2001	6998	128
03/2001	6999	459
04/2001	6991	11068
04/2001	6992	124
04/2001	6993	349
04/2001	6994	153
04/2001	6995	2090
04/2001	6996	7408
04/2001	6997	947
04/2001	6998	30
04/2001	6999	689
05/2001	6991	9165
05/2001	6992	156
05/2001	6993	606
05/2001	6994	6
05/2001	6995	10503
05/2001	6996	7087
05/2001	6997	2840
05/2001	6998	28
05/2001	6999	21
06/2001	6991	13809
06/2001	6992	201
06/2001	6993	501
06/2001	6994	2
06/2001	6995	1279
06/2001	6996	13667
06/2001	6997	2244
06/2001	6999	579
07/2001	6991	14957
07/2001	6992	184
07/2001	6993	2750
07/2001	6994	34
07/2001	6995	1303
07/2001	6996	12407
07/2001	6997	1465
07/2001	6999	37
08/2001	6991	14583
08/2001	6992	166
08/2001	6993	1523
08/2001	6994	75
08/2001	6995	689
08/2001	6996	14926
08/2001	6997	1862
08/2001	6999	105
09/2001	6991	9324
09/2001	6992	543
09/2001	6993	219
09/2001	6994	172
09/2001	6995	888
09/2001	6996	10471
09/2001	6997	1609
10/2001	6991	16925
10/2001	6992	2254
10/2001	6993	1394
10/2001	6994	102
10/2001	6995	2073
10/2001	6996	13692
10/2001	6997	1311
