obdobi	kod	cena
06/2000	5985	1
12/2000	5985	2
03/2003	5985	8
08/2003	5985	117
09/2003	5985	120
11/2003	5985	232
12/2003	5985	11
02/2004	5985	8
04/2004	5985	8
09/2004	5985	2
11/2004	5985	86
12/2004	5985	100
01/2005	5985	95
02/2005	5985	70
06/2005	5985	2
07/2005	5985	32
10/2005	5985	31
11/2005	5985	16
12/2005	5985	16
01/2006	5985	21
02/2006	5985	158
04/2006	5985	1
05/2006	5985	46
06/2006	5985	467
07/2006	5985	137
08/2006	5985	0
09/2006	5985	16
10/2006	5985	4
11/2006	5985	0
12/2006	5985	38
02/2007	5985	138
03/2007	5985	1
04/2007	5985	1
05/2007	5985	36
06/2007	5985	0
07/2007	5985	38
08/2007	5985	1
09/2007	5985	1
10/2007	5985	153
11/2007	5985	4
12/2007	5985	5
01/2008	5985	40
02/2008	5985	4
03/2008	5985	272
04/2008	5985	14
05/2008	5985	151
06/2008	5985	7
07/2008	5985	6
08/2008	5985	430
09/2008	5985	11
10/2008	5985	31
11/2008	5985	20
12/2008	5985	101
01/2009	5985	78
02/2009	5985	49
03/2009	5985	13
04/2009	5985	18
05/2009	5985	63
06/2009	5985	18
07/2009	5985	59
08/2009	5985	179
09/2009	5985	7
10/2009	5985	57
11/2009	5985	286
12/2009	5985	6
01/2010	5985	152
02/2010	5985	8
03/2010	5985	15
04/2010	5985	199
05/2010	5985	88
06/2010	5985	180
07/2010	5985	204
08/2010	5985	24
09/2010	5985	5
10/2010	5985	7
11/2010	5985	263
12/2010	5985	41
01/2011	5985	42
02/2011	5985	12
03/2011	5985	12
04/2011	5985	51
05/2011	5985	5
06/2011	5985	52
07/2011	5985	33
08/2011	5985	57
09/2011	5985	41
10/2011	5985	38
11/2011	5985	11
12/2011	5985	84
01/2012	5985	63
02/2012	5985	7
03/2012	5985	486
04/2012	5985	107
05/2012	5985	3
06/2012	5985	165
07/2012	5985	2
08/2012	5985	18
09/2012	5985	35
10/2012	5985	26
11/2012	5985	658
12/2012	5985	50
01/2013	5985	24
02/2013	5985	59
03/2013	5985	117
04/2013	5985	8
05/2013	5985	51
06/2013	5985	31
07/2013	5985	17
08/2013	5985	202
09/2013	5985	8
10/2013	5985	162
11/2013	5985	76
12/2013	5985	29
01/2014	5985	76
02/2014	5985	771
03/2014	5985	112
04/2014	5985	164
05/2014	5985	124
06/2014	5985	85
07/2014	5985	143
08/2014	5985	8
