obdobi	kod	cena
03/1999	7169	6
07/1999	7169	1
09/1999	7169	9
10/1999	7169	36
11/1999	7169	1
02/2000	7169	1
04/2000	7169	1
05/2000	7169	103
08/2000	7169	1
09/2000	7169	4
10/2000	7169	1
03/2001	7169	50
05/2001	7169	19
07/2001	7169	24
08/2001	7169	6
09/2001	7169	1
10/2001	7169	24
11/2001	7169	2
12/2001	7169	22
01/2002	7169	13
02/2002	7169	6
03/2002	7169	19
04/2002	7169	18
05/2002	7169	31
06/2002	7169	23
07/2002	7169	170
08/2002	7169	21
09/2002	7169	32
10/2002	7169	1
11/2002	7169	52
12/2002	7169	23
01/2003	7169	141
02/2003	7169	58
03/2003	7169	34
04/2003	7169	33
05/2003	7169	52
06/2003	7169	31
07/2003	7169	131
08/2003	7169	135
09/2003	7169	560
10/2003	7169	92
11/2003	7169	84
12/2003	7169	685
01/2004	7169	1273
02/2004	7169	1467
03/2004	7169	88
04/2004	7169	190
05/2004	7169	236
06/2004	7169	408
07/2004	7169	376
08/2004	7169	788
09/2004	7169	736
10/2004	7169	716
11/2004	7169	797
12/2004	7169	453
01/2005	7169	1081
02/2005	7169	1008
03/2005	7169	1408
04/2005	7169	1421
05/2005	7169	493
06/2005	7169	2549
07/2005	7169	2721
08/2005	7169	1693
09/2005	7169	2337
10/2005	7169	3381
11/2005	7169	3835
12/2005	7169	1952
01/2006	7169	6177
02/2006	7169	3114
03/2006	7169	3191
04/2006	7169	4073
05/2006	7169	7372
06/2006	7169	15572
07/2006	7169	17423
08/2006	7169	23260
09/2006	7169	11927
10/2006	7169	16995
11/2006	7169	21336
12/2006	7169	25728
01/2007	7169	21136
02/2007	7169	33795
03/2007	7169	28640
04/2007	7169	35994
05/2007	7169	34602
06/2007	7169	20328
07/2007	7169	30416
08/2007	7169	29092
09/2007	7169	20939
10/2007	7169	30897
11/2007	7169	29558
12/2007	7169	29292
01/2008	7169	42582
02/2008	7169	32448
03/2008	7169	21012
04/2008	7169	26225
05/2008	7169	27388
06/2008	7169	23046
07/2008	7169	33401
08/2008	7169	12674
09/2008	7169	29885
10/2008	7169	30825
11/2008	7169	23497
12/2008	7169	18734
01/2009	7169	25372
02/2009	7169	18115
03/2009	7169	22449
04/2009	7169	15258
05/2009	7169	5873
06/2009	7169	13653
07/2009	7169	10535
08/2009	7169	10194
09/2009	7169	15325
10/2009	7169	16921
11/2009	7169	22312
12/2009	7169	17189
01/2010	7169	28867
02/2010	7169	25963
03/2010	7169	36158
04/2010	7169	42060
05/2010	7169	63307
06/2010	7169	47774
07/2010	7169	47933
08/2010	7169	26665
09/2010	7169	36221
10/2010	7169	48524
11/2010	7169	64872
12/2010	7169	77616
01/2011	7169	86602
02/2011	7169	69360
03/2011	7169	68405
04/2011	7169	79972
05/2011	7169	98111
06/2011	7169	72593
07/2011	7169	65860
08/2011	7169	59547
09/2011	7169	85924
10/2011	7169	78167
11/2011	7169	63153
12/2011	7169	76918
01/2012	7169	93530
02/2012	7169	82993
03/2012	7169	118130
04/2012	7169	97915
05/2012	7169	135760
06/2012	7169	96692
07/2012	7169	45537
08/2012	7169	98028
09/2012	7169	54922
10/2012	7169	99367
11/2012	7169	104240
12/2012	7169	54378
01/2013	7169	92461
02/2013	7169	90038
03/2013	7169	101193
04/2013	7169	72426
05/2013	7169	135402
06/2013	7169	92593
07/2013	7169	84598
08/2013	7169	62696
09/2013	7169	62704
10/2013	7169	59895
11/2013	7169	97165
12/2013	7169	46533
01/2014	7169	82098
02/2014	7169	101132
03/2014	7169	55697
04/2014	7169	104868
05/2014	7169	105072
06/2014	7169	76281
07/2014	7169	110354
08/2014	7169	48286
