obdobi	kod	cena
01/1999	8132	14
02/1999	8132	4
03/1999	8132	137
04/1999	8132	20
05/1999	8132	7
06/1999	8132	9
07/1999	8132	28
08/1999	8132	11
09/1999	8132	52
10/1999	8132	48
11/1999	8132	110
12/1999	8132	76
01/2000	8132	114
02/2000	8132	152
03/2000	8132	689
04/2000	8132	131
06/2000	8132	186
07/2000	8132	100
08/2000	8132	78
09/2000	8132	816
10/2000	8132	890
11/2000	8132	527
12/2000	8132	264
01/2001	8132	3
03/2001	8132	56
04/2001	8132	2
05/2001	8132	258
06/2001	8132	176
07/2001	8132	130
09/2001	8132	617
10/2001	8132	1849
11/2001	8132	1894
12/2001	8132	256
01/2002	8132	145
02/2002	8132	3
03/2002	8132	37
04/2002	8132	8
05/2002	8132	225
06/2002	8132	117
07/2002	8132	1748
08/2002	8132	67
09/2002	8132	403
10/2002	8132	825
11/2002	8132	1752
12/2002	8132	366
01/2003	8132	94
02/2003	8132	397
03/2003	8132	286
04/2003	8132	234
05/2003	8132	358
06/2003	8132	101
07/2003	8132	290
08/2003	8132	118
09/2003	8132	312
10/2003	8132	284
11/2003	8132	2641
12/2003	8132	1468
01/2004	8132	102
02/2004	8132	2022
03/2004	8132	64
04/2004	8132	1760
05/2004	8132	830
06/2004	8132	271
07/2004	8132	1149
08/2004	8132	847
09/2004	8132	270
10/2004	8132	1092
11/2004	8132	1312
12/2004	8132	1170
01/2005	8132	257
02/2005	8132	870
03/2005	8132	1094
04/2005	8132	289
05/2005	8132	61
06/2005	8132	568
07/2005	8132	633
08/2005	8132	96
09/2005	8132	346
10/2005	8132	1981
11/2005	8132	1332
12/2005	8132	519
01/2006	8132	362
02/2006	8132	894
03/2006	8132	2558
04/2006	8132	3218
05/2006	8132	2950
06/2006	8132	2430
07/2006	8132	2326
08/2006	8132	274
09/2006	8132	1840
10/2006	8132	3902
11/2006	8132	364
12/2006	8132	978
01/2007	8132	338
02/2007	8132	4478
03/2007	8132	3618
04/2007	8132	11064
05/2007	8132	3956
06/2007	8132	1454
07/2007	8132	3074
08/2007	8132	1258
09/2007	8132	2544
10/2007	8132	12306
11/2007	8132	6240
12/2007	8132	660
01/2008	8132	8756
02/2008	8132	2206
03/2008	8132	6330
04/2008	8132	87218
05/2008	8132	3448
06/2008	8132	5030
07/2008	8132	1216
08/2008	8132	1382
09/2008	8132	2286
10/2008	8132	3414
11/2008	8132	2520
12/2008	8132	3210
01/2009	8132	2572
02/2009	8132	662
03/2009	8132	2854
04/2009	8132	10648
05/2009	8132	4382
06/2009	8132	3852
07/2009	8132	2186
08/2009	8132	2358
09/2009	8132	2980
10/2009	8132	2426
11/2009	8132	2262
12/2009	8132	994
01/2010	8132	1764
02/2010	8132	4370
03/2010	8132	2850
04/2010	8132	1122
05/2010	8132	3150
06/2010	8132	3674
07/2010	8132	6084
08/2010	8132	10270
09/2010	8132	1368
10/2010	8132	3248
11/2010	8132	1852
12/2010	8132	4068
01/2011	8132	2776
02/2011	8132	2436
03/2011	8132	5168
04/2011	8132	2792
05/2011	8132	9768
