obdobi	kod	cena
06/1999	72399	2
09/1999	72399	409
11/1999	72399	1
02/2000	72399	1413
05/2000	72399	201
06/2000	72399	102
07/2000	72399	32
08/2000	72399	241
09/2000	72393	1
09/2000	72399	65
10/2000	72399	0
11/2000	72399	35
12/2000	72399	5
03/2001	72399	4
06/2001	72399	2
10/2001	72399	16
11/2001	72391	21
12/2001	72399	128
03/2002	72399	7
04/2002	72391	9
04/2002	72399	8
06/2002	72399	8
07/2002	72391	18
09/2002	72391	39
09/2002	72393	2
01/2003	72393	1
03/2003	72391	20
04/2003	72391	14
04/2003	72399	2
05/2003	72399	14
06/2003	72391	14
06/2003	72399	63
07/2003	72391	16
07/2003	72399	21
08/2003	72399	56
09/2003	72399	18
10/2003	72391	3
10/2003	72399	54
11/2003	72391	1
11/2003	72399	67
12/2003	72399	7
02/2004	72391	9
02/2004	72399	13
03/2004	72391	17
04/2004	72399	36
05/2004	72399	62
06/2004	72399	25
07/2004	72399	60
08/2004	72399	40
09/2004	72399	15
10/2004	72399	26
11/2004	72399	151
12/2004	72399	33
01/2005	72399	49
02/2005	72399	103
03/2005	72399	108
04/2005	72399	82
05/2005	72399	47
06/2005	72393	48
06/2005	72399	671
07/2005	72399	101
08/2005	72399	62
09/2005	72391	0
09/2005	72399	89
10/2005	72391	1
10/2005	72393	142
10/2005	72399	27
11/2005	72391	1
11/2005	72399	83
12/2005	72391	0
12/2005	72399	54
01/2006	72391	0
01/2006	72399	317
02/2006	72393	246
02/2006	72399	64
03/2006	72399	1074
04/2006	72399	348
05/2006	72399	1840
06/2006	72391	8
06/2006	72393	452
06/2006	72399	692
07/2006	72399	2276
08/2006	72399	812
09/2006	72399	606
10/2006	72393	32
10/2006	72399	3016
11/2006	72399	2564
12/2006	72391	48
12/2006	72399	292
01/2007	72399	1388
02/2007	72399	1074
03/2007	72393	124
03/2007	72399	688
04/2007	72391	232
04/2007	72399	1010
05/2007	72399	1966
06/2007	72391	318
06/2007	72393	1136
06/2007	72399	966
07/2007	72391	112
07/2007	72393	920
07/2007	72399	2228
08/2007	72399	2392
09/2007	72391	24
09/2007	72393	106
09/2007	72399	1494
10/2007	72393	412
10/2007	72399	1648
11/2007	72399	2114
12/2007	72399	1520
01/2008	72391	38
01/2008	72393	276
01/2008	72399	1404
02/2008	72391	526
02/2008	72399	888
03/2008	72393	90
03/2008	72399	3248
04/2008	72391	348
04/2008	72393	184
04/2008	72399	2344
05/2008	72393	130
05/2008	72399	3566
06/2008	72391	2
06/2008	72393	574
06/2008	72399	3882
07/2008	72391	158
07/2008	72393	900
07/2008	72399	5674
08/2008	72399	1976
09/2008	72391	32
09/2008	72399	7402
10/2008	72391	118
10/2008	72393	554
10/2008	72399	5134
11/2008	72393	874
11/2008	72399	9164
12/2008	72393	128
12/2008	72399	9430
01/2009	72393	1000
01/2009	72399	718
02/2009	72393	4
02/2009	72399	8274
03/2009	72391	2
03/2009	72393	448
03/2009	72399	3866
04/2009	72393	54
04/2009	72399	5218
05/2009	72391	54
05/2009	72393	150
05/2009	72399	328
06/2009	72399	618
07/2009	72399	896
08/2009	72399	3510
09/2009	72399	608
10/2009	72391	68
10/2009	72399	2438
11/2009	72399	1604
12/2009	72391	172
12/2009	72393	2982
12/2009	72399	1518
01/2010	72391	60
01/2010	72399	1100
02/2010	72391	136
02/2010	72393	0
02/2010	72399	2798
03/2010	72399	2368
04/2010	72399	1076
05/2010	72391	124
05/2010	72393	80
05/2010	72399	1118
06/2010	72391	60
06/2010	72399	2358
07/2010	72391	378
07/2010	72393	66
07/2010	72399	2218
08/2010	72391	408
08/2010	72393	118
08/2010	72399	1598
09/2010	72391	40
09/2010	72393	56
09/2010	72399	2208
10/2010	72391	54
10/2010	72393	2
10/2010	72399	4128
11/2010	72393	622
11/2010	72399	2006
12/2010	72393	2
12/2010	72399	1940
01/2011	72391	22
01/2011	72393	86
01/2011	72399	4496
02/2011	72393	2
02/2011	72399	994
03/2011	72391	254
03/2011	72393	0
03/2011	72399	3496
04/2011	72391	160
04/2011	72393	96
04/2011	72399	3688
05/2011	72393	272
05/2011	72399	9750
