obdobi	kod	cena
03/1999	04811	225
04/1999	04811	109
05/1999	04811	229
10/1999	04812	14
03/2000	04811	5
05/2000	04812	14
07/2000	04814	1
10/2000	04811	59
12/2000	04812	32
01/2001	04811	5
05/2001	04811	11
05/2001	04812	22
07/2001	04812	14
08/2001	04812	14
09/2001	04811	463
02/2002	04811	3
04/2002	04811	157
05/2002	04811	6
07/2002	04811	3
08/2002	04814	206
12/2002	04811	10
04/2003	04814	97
05/2003	04811	42
06/2003	04814	228
07/2003	04814	336
08/2003	04814	162
11/2003	04812	13
11/2003	04813	4
11/2003	04814	250
01/2004	04814	139
04/2004	04812	3
04/2004	04814	784
05/2004	04814	172
06/2004	04814	676
07/2004	04814	222
08/2004	04814	216
10/2004	04811	24
12/2004	04811	8
12/2004	04812	37
12/2004	04814	72
01/2005	04814	177
03/2005	04814	218
04/2005	04814	209
06/2005	04814	211
07/2005	04812	12
07/2005	04814	77
08/2005	04814	241
09/2005	04813	5
10/2005	04811	9
11/2005	04814	227
12/2005	04814	114
01/2006	04814	233
02/2006	04814	419
03/2006	04814	191
04/2006	04814	230
05/2006	04814	121
06/2006	04814	402
07/2006	04814	220
09/2006	04814	172
11/2006	04814	358
01/2007	04814	181
02/2007	04814	294
03/2007	04814	115
04/2007	04814	119
05/2007	04814	607
06/2007	04812	1
06/2007	04814	371
08/2007	04811	147
09/2007	04814	216
10/2007	04814	661
11/2007	04814	236
12/2007	04814	378
01/2008	04814	1903
02/2008	04814	593
03/2008	04814	300
04/2008	04814	231
06/2008	04813	1
06/2008	04814	456
07/2008	04812	23
08/2008	04814	942
09/2008	04814	365
10/2008	04814	199
11/2008	04814	343
12/2008	04814	522
01/2009	04814	313
02/2009	04814	349
03/2009	04814	976
05/2009	04814	322
07/2009	04814	230
09/2009	04811	31
09/2009	04814	150
10/2009	04811	42
11/2009	04811	11
11/2009	04814	227
02/2010	04814	224
03/2010	04814	225
04/2010	04811	157
04/2010	04814	342
05/2010	04811	39
06/2010	04814	242
07/2010	04814	724
08/2010	04811	200
08/2010	04814	381
09/2010	04814	401
10/2010	04811	26
12/2010	04811	192
12/2010	04814	147
02/2011	04814	1656
03/2011	04811	152
03/2011	04814	1852
04/2011	04814	572
05/2011	04811	157
05/2011	04814	2262
06/2011	04811	14
06/2011	04814	540
07/2011	04811	97
07/2011	04814	1357
08/2011	04811	1
08/2011	04813	17
09/2011	04811	37
11/2011	04814	313
12/2011	04811	29
12/2011	04814	242
01/2012	04814	1723
02/2012	04811	132
03/2012	04811	44
03/2012	04814	514
04/2012	04811	67
04/2012	04814	766
05/2012	04814	202
06/2012	04811	83
06/2012	04814	949
07/2012	04814	197
08/2012	04811	130
09/2012	04811	50
09/2012	04814	606
10/2012	04811	81
10/2012	04814	496
11/2012	04814	579
12/2012	04811	151
01/2013	04814	171
02/2013	04811	112
03/2013	04814	446
04/2013	04814	210
05/2013	04814	440
06/2013	04811	140
06/2013	04814	538
07/2013	04811	0
07/2013	04814	771
08/2013	04811	85
08/2013	04814	244
09/2013	04814	342
10/2013	04811	83
11/2013	04811	88
11/2013	04814	539
12/2013	04811	138
01/2014	04811	141
01/2014	04814	258
02/2014	04814	395
03/2014	04812	1
03/2014	04814	395
04/2014	04811	166
04/2014	04813	9
04/2014	04814	375
06/2014	04811	35
06/2014	04813	339
06/2014	04814	770
07/2014	04811	134
07/2014	04814	1142
08/2014	04811	70
08/2014	04814	101
