obdobi	kod	cena
09/2003	67571	246
09/2004	67574	0
11/2004	67574	0
12/2004	67574	0
02/2005	67574	0
03/2005	67574	0
06/2005	67574	0
07/2005	67574	0
08/2005	67574	1
09/2005	67574	1613
03/2006	67574	162
01/2007	67573	246
05/2007	67572	228
08/2007	67571	738
10/2007	67571	88
03/2008	67571	44
07/2008	67572	8
07/2008	67574	34
08/2008	67572	0
11/2008	67574	2
12/2008	67572	74
01/2009	67573	7084
02/2009	67574	4
04/2009	67571	86
04/2009	67574	4
05/2009	67574	2
06/2009	67574	60
07/2009	67572	18
08/2009	67571	144
09/2009	67572	26
10/2009	67572	40
10/2009	67574	0
11/2009	67572	0
04/2010	67572	112
05/2010	67572	0
09/2010	67572	2
11/2010	67572	6
12/2010	67574	4
01/2011	67572	138
03/2011	67571	332
03/2011	67572	6
04/2011	67574	2
