obdobi	kod	cena
10/1999	7481	4
11/1999	7481	2
01/2000	7481	16
02/2000	7481	11
03/2000	7481	21
04/2000	7481	33
05/2000	7481	104
06/2000	7481	22
07/2000	7481	12
09/2000	7481	115
10/2000	7481	1
11/2000	7481	65
12/2000	7481	113
01/2001	7481	192
02/2001	7481	270
03/2001	7481	139
04/2001	7481	66
05/2001	7481	113
06/2001	7481	48
07/2001	7481	34
08/2001	7481	81
09/2001	7481	1132
10/2001	7481	60
11/2001	7481	103
12/2001	7481	104
01/2002	7481	123
02/2002	7481	59
03/2002	7481	86
04/2002	7481	60
05/2002	7481	377
06/2002	7481	24
07/2002	7481	24
08/2002	7481	58
09/2002	7481	59
10/2002	7481	87
11/2002	7481	48
12/2002	7481	96
01/2003	7481	30
02/2003	7481	46
03/2003	7481	9
04/2003	7481	33
05/2003	7481	233
06/2003	7481	82
07/2003	7481	83
08/2003	7481	31
09/2003	7481	7
10/2003	7481	161
11/2003	7481	95
12/2003	7481	83
01/2004	7481	118
02/2004	7481	148
03/2004	7481	184
04/2004	7481	106
05/2004	7481	390
06/2004	7481	421
07/2004	7481	149
08/2004	7481	79
09/2004	7481	123
10/2004	7481	74
11/2004	7481	253
12/2004	7481	151
01/2005	7481	192
02/2005	7481	179
03/2005	7481	356
04/2005	7481	59
05/2005	7481	216
06/2005	7481	444
07/2005	7481	434
08/2005	7481	183
09/2005	7481	631
10/2005	7481	637
11/2005	7481	606
12/2005	7481	829
01/2006	7481	549
02/2006	7481	754
03/2006	7481	1218
04/2006	7481	1806
05/2006	7481	1336
06/2006	7481	4262
07/2006	7481	2620
08/2006	7481	1812
09/2006	7481	6600
10/2006	7481	5732
11/2006	7481	2616
12/2006	7481	6662
01/2007	7481	4614
02/2007	7481	6546
03/2007	7481	8568
04/2007	7481	9666
05/2007	7481	18310
06/2007	7481	2004
07/2007	7481	3462
08/2007	7481	9086
09/2007	7481	10704
10/2007	7481	16766
11/2007	7481	10992
12/2007	7481	8324
01/2008	7481	10526
02/2008	7481	11368
03/2008	7481	7264
04/2008	7481	11052
05/2008	7481	6662
06/2008	7481	7560
07/2008	7481	7126
08/2008	7481	9860
09/2008	7481	12622
10/2008	7481	10626
11/2008	7481	9596
12/2008	7481	4202
01/2009	7481	17460
02/2009	7481	10184
03/2009	7481	13246
04/2009	7481	8588
05/2009	7481	6632
06/2009	7481	8274
07/2009	7481	2536
08/2009	7481	10888
09/2009	7481	7702
10/2009	7481	5420
11/2009	7481	4556
12/2009	7481	7102
01/2010	7481	5652
02/2010	7481	5890
03/2010	7481	9576
04/2010	7481	7990
05/2010	7481	9556
06/2010	7481	11668
07/2010	7481	12614
08/2010	7481	6816
09/2010	7481	19122
10/2010	7481	15550
11/2010	7481	10542
12/2010	7481	9470
01/2011	7481	13956
02/2011	7481	12608
03/2011	7481	9796
04/2011	7481	11366
05/2011	7481	14380
