obdobi	kod	cena
03/1999	74432	19
07/1999	74439	2
11/1999	74439	3
11/2000	74437	5
12/2000	74437	35
01/2001	74437	51
02/2001	74439	52
05/2001	74439	77
07/2001	74439	1
09/2001	74439	2
10/2001	74437	5
11/2001	74437	11
11/2001	74439	70
04/2002	74437	5
04/2002	74439	6
06/2002	74431	4
06/2002	74433	171
06/2002	74439	38
07/2002	74439	29
09/2002	74433	4
09/2002	74439	23
10/2002	74439	64
11/2002	74433	3
11/2002	74439	67
12/2002	74432	32
01/2003	74432	9
01/2003	74439	106
02/2003	74431	3
02/2003	74432	52
02/2003	74439	64
03/2003	74432	27
03/2003	74439	8
04/2003	74433	2
05/2003	74432	28
07/2003	74432	30
07/2003	74439	69
09/2003	74432	73
09/2003	74433	5
10/2003	74432	51
10/2003	74433	4
10/2003	74439	20
11/2003	74432	56
11/2003	74433	13
12/2003	74432	14
01/2004	74439	90
03/2004	74439	147
04/2004	74433	20
04/2004	74439	89
05/2004	74439	129
06/2004	74439	26
07/2004	74433	418
07/2004	74439	16
08/2004	74432	0
08/2004	74433	2
08/2004	74439	76
09/2004	74433	7
09/2004	74439	14
10/2004	74439	156
11/2004	74433	26
11/2004	74439	27
12/2004	74433	7
12/2004	74439	63
01/2005	74433	6
01/2005	74439	110
02/2005	74439	70
03/2005	74439	233
04/2005	74439	80
05/2005	74439	57
06/2005	74433	21
06/2005	74439	78
07/2005	74433	11
08/2005	74433	30
09/2005	74433	10
09/2005	74439	51
10/2005	74439	26
11/2005	74439	89
12/2005	74439	94
01/2006	74439	1314
02/2006	74439	122
03/2006	74433	309
03/2006	74439	281
04/2006	74433	112
04/2006	74439	68
05/2006	74433	18
05/2006	74439	432
06/2006	74439	178
07/2006	74439	208
08/2006	74439	109
09/2006	74433	13
09/2006	74439	11
10/2006	74433	11
10/2006	74439	20
11/2006	74439	139
12/2006	74433	7
12/2006	74439	67
01/2007	74433	22
01/2007	74439	148
02/2007	74433	7
02/2007	74439	132
03/2007	74439	148
04/2007	74433	138
04/2007	74439	344
05/2007	74439	196
06/2007	74433	13
06/2007	74439	127
07/2007	74439	138
08/2007	74433	71
08/2007	74439	208
09/2007	74439	77
10/2007	74437	250
10/2007	74439	159
11/2007	74433	11
11/2007	74439	8
12/2007	74433	38
12/2007	74439	416
01/2008	74439	378
02/2008	74433	27
02/2008	74439	32
03/2008	74433	46
03/2008	74439	46
04/2008	74433	28
04/2008	74439	138
05/2008	74433	48
05/2008	74439	1396
06/2008	74433	19
06/2008	74439	398
07/2008	74437	3
07/2008	74439	247
08/2008	74433	16
08/2008	74439	155
09/2008	74432	16
09/2008	74433	4
09/2008	74437	9
09/2008	74439	120
10/2008	74433	36
10/2008	74439	34
11/2008	74433	21
11/2008	74439	63
12/2008	74433	153
12/2008	74439	70
01/2009	74439	14
02/2009	74433	9
02/2009	74439	351
03/2009	74433	7
03/2009	74439	250
04/2009	74433	14
04/2009	74439	15
05/2009	74433	6
05/2009	74439	170
06/2009	74431	6
06/2009	74433	104
06/2009	74439	6
07/2009	74439	12
08/2009	74437	141
08/2009	74439	127
09/2009	74439	133
10/2009	74439	57
11/2009	74431	19
11/2009	74439	25
12/2009	74431	4
12/2009	74433	23
12/2009	74439	134
01/2010	74433	20
01/2010	74439	104
02/2010	74433	160
02/2010	74439	35
03/2010	74439	153
04/2010	74439	223
05/2010	74432	2
05/2010	74439	17
06/2010	74439	95
07/2010	74439	17
08/2010	74433	82
08/2010	74439	169
09/2010	74439	49
10/2010	74439	78
11/2010	74431	5
11/2010	74439	152
12/2010	74433	237
12/2010	74435	58
12/2010	74439	27
01/2011	74439	25
02/2011	74439	41
03/2011	74431	5
03/2011	74439	87
04/2011	74433	3
04/2011	74439	141
05/2011	74432	120
05/2011	74437	6
05/2011	74439	85
06/2011	74435	73
06/2011	74439	109
08/2011	74432	92
08/2011	74433	4
08/2011	74439	120
09/2011	74439	8
10/2011	74433	165
10/2011	74435	194
10/2011	74439	227
11/2011	74439	25
12/2011	74431	5
12/2011	74437	49
12/2011	74439	150
01/2012	74433	53
01/2012	74439	271
02/2012	74437	31
02/2012	74439	3
03/2012	74437	95
03/2012	74439	238
04/2012	74439	358
05/2012	74437	4
05/2012	74439	216
06/2012	74431	5
06/2012	74433	64
06/2012	74439	50
07/2012	74433	236
07/2012	74435	90
07/2012	74439	10
08/2012	74431	5
08/2012	74437	57
08/2012	74439	90
09/2012	74439	28
10/2012	74433	169
10/2012	74439	57
11/2012	74431	5
11/2012	74433	47
11/2012	74437	6
11/2012	74439	40
12/2012	74434	290
12/2012	74437	27
12/2012	74439	48
01/2013	74431	9
01/2013	74432	149
01/2013	74433	18
01/2013	74437	8
01/2013	74439	30
02/2013	74432	10
