obdobi	kod	cena
11/1999	61142	14
05/2001	61142	900
06/2001	61142	2
08/2001	61142	1646
11/2001	61142	35
05/2002	61141	3
07/2002	61142	4
04/2003	61142	60
10/2003	61142	192
06/2004	61142	232
06/2005	61141	66
12/2005	61142	2
01/2006	61142	43
03/2006	61145	126
05/2006	61142	24
08/2006	61142	334
10/2006	61142	4
11/2006	61142	70
01/2007	61145	4
05/2007	61145	64
06/2007	61145	274
10/2007	61145	0
12/2007	61145	114
01/2008	61145	464
06/2008	61145	40
07/2008	61145	116
11/2008	61145	14
12/2008	61145	130
02/2009	61145	20
11/2009	61145	64
01/2010	61145	298
02/2010	61145	4
01/2011	61145	46
03/2011	61145	28
05/2011	61145	2
