obdobi	kod	cena
03/1999	65252	22
12/1999	65252	0
02/2000	65252	102
03/2000	65252	18
06/2000	65252	2347
07/2000	65252	2
10/2000	65251	677
11/2000	65252	59
12/2000	65251	290
12/2000	65252	59
01/2001	65251	994
01/2001	65252	341
01/2001	65254	2
03/2001	65251	1256
03/2001	65252	219
03/2001	65254	10
10/2001	65251	76
02/2002	65251	183
03/2002	65252	62
05/2002	65252	30
07/2002	65254	1
09/2002	65251	1330
03/2003	65252	508
04/2003	65251	93
05/2003	65252	3
05/2003	65253	14
06/2003	65251	174
06/2003	65253	14
07/2003	65253	69
08/2003	65253	14
09/2003	65251	14
12/2003	65251	1044
12/2003	65252	83
12/2003	65254	1390
01/2004	65252	55
02/2004	65251	14
02/2004	65252	173
04/2004	65252	392
05/2004	65252	2
06/2004	65254	167
09/2004	65252	2
11/2004	65252	313
11/2004	65253	86
02/2005	65252	3
03/2005	65252	46
04/2005	65252	62
05/2005	65252	1
05/2005	65253	8
06/2005	65252	53
08/2005	65252	44
08/2005	65253	93
09/2005	65252	2
10/2005	65254	2
12/2005	65254	2
01/2006	65253	7
02/2006	65252	2666
03/2006	65252	38
07/2006	65252	1258
09/2006	65252	372
10/2006	65252	60
11/2006	65251	40
12/2006	65251	8
01/2007	65251	22
02/2007	65251	8
03/2007	65251	12
03/2007	65252	336
04/2007	65251	14
04/2007	65252	2
05/2007	65251	28
05/2007	65252	8
06/2007	65251	8
07/2007	65251	10
07/2007	65252	160
07/2007	65253	0
08/2007	65251	12
08/2007	65252	54
09/2007	65251	6
09/2007	65252	780
10/2007	65251	8
10/2007	65252	402
11/2007	65251	0
11/2007	65252	276
12/2007	65251	22
12/2007	65252	280
01/2008	65251	12
02/2008	65251	22
02/2008	65252	712
03/2008	65251	34
03/2008	65253	424
04/2008	65251	12
04/2008	65252	554
04/2008	65253	12
05/2008	65251	12
05/2008	65252	554
05/2008	65253	6
06/2008	65251	6
06/2008	65252	94
06/2008	65253	6
07/2008	65251	10
07/2008	65252	50
08/2008	65251	6
08/2008	65252	2800
09/2008	65251	2056
09/2008	65252	416
10/2008	65251	14
10/2008	65252	508
10/2008	65253	92
11/2008	65251	18
11/2008	65252	4
11/2008	65253	188
12/2008	65251	14
01/2009	65251	30
01/2009	65252	754
02/2009	65251	82
02/2009	65253	4
03/2009	65251	6
03/2009	65252	584
03/2009	65253	2
03/2009	65254	4
04/2009	65251	6550
04/2009	65252	0
05/2009	65251	18
05/2009	65252	366
06/2009	65251	26
06/2009	65252	1130
07/2009	65251	100
07/2009	65252	352
07/2009	65253	4
08/2009	65252	12
09/2009	65252	86
10/2009	65252	470
10/2009	65253	0
11/2009	65252	1056
11/2009	65253	998
12/2009	65252	88
01/2010	65252	88
02/2010	65252	674
03/2010	65252	636
03/2010	65253	746
04/2010	65252	20
05/2010	65253	26
06/2010	65252	636
06/2010	65253	4
07/2010	65252	1266
07/2010	65253	6
08/2010	65252	480
09/2010	65251	310
09/2010	65252	2
10/2010	65251	3432
10/2010	65252	8
10/2010	65253	0
11/2010	65251	444
12/2010	65251	326
12/2010	65252	1228
01/2011	65251	3030
01/2011	65252	890
02/2011	65252	4262
03/2011	65252	420
03/2011	65254	4
04/2011	65251	236
04/2011	65252	492
05/2011	65252	162
05/2011	65253	26
05/2011	65254	100
