obdobi	kod	cena
08/2000	61183	1
02/2003	61183	4
06/2004	61181	33
04/2005	61181	2
10/2005	61181	11
11/2005	61181	137
05/2006	61181	371
03/2007	61183	0
05/2007	61181	170
07/2007	61181	235
08/2007	61183	93
09/2007	61183	9
10/2007	61183	21
03/2008	61183	4
04/2008	61183	13
08/2008	61181	3
09/2008	61181	2
10/2009	61183	0
01/2010	61181	5
07/2011	61181	9
08/2011	61181	8
09/2011	61181	9
10/2011	61181	2
11/2011	61181	9
12/2011	61181	17
01/2012	61181	4
02/2012	61181	3
03/2012	61181	21
06/2012	61181	13
07/2012	61181	8
08/2012	61181	15
09/2012	61181	2
09/2012	61183	30
10/2012	61181	16
11/2012	61181	21
12/2012	61181	15
01/2013	61181	16
02/2013	61181	5
03/2013	61181	22
04/2013	61181	39
05/2013	61181	49
06/2013	61181	24
07/2013	61181	23
08/2013	61181	44
09/2013	61181	15
10/2013	61181	22
11/2013	61181	21
12/2013	61181	20
01/2014	61181	11
02/2014	61181	28
03/2014	61181	10
04/2014	61181	16
05/2014	61181	2
05/2014	61183	1
06/2014	61181	14
07/2014	61181	5
08/2014	61181	6
