obdobi	kod	cena
09/1999	07432	39
05/2000	07432	1
04/2001	07432	1
05/2001	07432	313
05/2002	07432	2
07/2002	07432	36
04/2003	07432	11
08/2003	07432	17
10/2003	07431	4
10/2003	07432	194
12/2003	07431	2
01/2004	07432	156
02/2004	07432	62
03/2004	07432	132
04/2004	07431	2
04/2004	07432	91
05/2004	07432	59
09/2004	07432	0
10/2004	07432	17
11/2004	07432	279
12/2004	07432	338
01/2005	07432	15
03/2005	07432	131
04/2005	07432	198
05/2005	07432	180
06/2005	07432	177
08/2005	07432	6
09/2005	07432	867
10/2005	07432	523
11/2005	07431	34
12/2005	07432	25
01/2006	07432	660
04/2006	07432	28
07/2006	07432	32
08/2006	07432	232
09/2006	07432	10
11/2006	07432	44
04/2007	07432	240
05/2007	07432	18
06/2007	07432	46
08/2007	07432	240
09/2007	07432	176
10/2007	07431	6
10/2007	07432	768
11/2007	07432	804
12/2007	07432	426
01/2008	07432	638
02/2008	07432	146
03/2008	07432	398
04/2008	07432	1380
05/2008	07432	456
06/2008	07432	376
07/2008	07431	78
07/2008	07432	326
10/2008	07432	192
11/2008	07432	56
12/2008	07431	316
12/2008	07432	418
02/2009	07431	74
02/2009	07432	176
03/2009	07431	66
04/2009	07432	374
05/2009	07432	22
06/2009	07432	390
07/2009	07431	124
07/2009	07432	0
09/2009	07432	180
10/2009	07432	114
12/2009	07431	76
12/2009	07432	644
02/2010	07432	18
03/2010	07432	42
04/2010	07432	108
05/2010	07432	0
06/2010	07432	90
08/2010	07432	60
10/2010	07432	1166
11/2010	07432	52
12/2010	07432	1598
02/2011	07431	2
02/2011	07432	42
03/2011	07432	40
04/2011	07432	1126
05/2011	07432	50
