obdobi	kod	cena
01/1999	89841	277
02/1999	89841	232
02/1999	89843	1249
02/1999	89845	882
03/1999	89841	309
03/1999	89845	336
04/1999	89841	11
04/1999	89845	7
05/1999	89841	821
05/1999	89845	304
06/1999	89841	3
06/1999	89845	661
07/1999	89841	328
08/1999	89841	1
08/1999	89845	19
09/1999	89841	121
09/1999	89843	528
09/1999	89845	1526
10/1999	89841	111
10/1999	89845	957
11/1999	89841	1471
11/1999	89845	843
12/1999	89841	1379
12/1999	89845	4283
01/2000	89841	1187
01/2000	89845	1486
02/2000	89841	1
02/2000	89843	7
02/2000	89845	1894
03/2000	89841	3
03/2000	89845	2269
04/2000	89845	106
05/2000	89845	2833
06/2000	89845	161
07/2000	89841	0
07/2000	89845	2351
08/2000	89841	0
08/2000	89845	61
09/2000	89841	2
09/2000	89845	4873
10/2000	89841	0
10/2000	89845	1366
11/2000	89841	262
11/2000	89845	5828
12/2000	89841	62
12/2000	89845	5872
01/2001	89841	2
01/2001	89845	2385
02/2001	89841	58
02/2001	89845	94
03/2001	89841	7
03/2001	89845	63
04/2001	89841	2
04/2001	89845	183
05/2001	89841	575
05/2001	89845	2354
06/2001	89841	1
06/2001	89845	184
07/2001	89841	36
07/2001	89843	1590
07/2001	89845	41
08/2001	89845	1245
09/2001	89845	145
10/2001	89841	81
10/2001	89845	1376
11/2001	89845	1188
12/2001	89845	3235
01/2002	89845	2692
02/2002	89843	226
02/2002	89845	514
03/2002	89841	27
03/2002	89843	96
03/2002	89845	2262
04/2002	89845	2225
05/2002	89841	568
05/2002	89845	2370
06/2002	89845	68
07/2002	89843	286
07/2002	89845	135
08/2002	89845	1064
09/2002	89843	109
09/2002	89845	2272
10/2002	89841	22
10/2002	89843	1
10/2002	89845	434
11/2002	89841	5
11/2002	89845	6242
12/2002	89841	8
12/2002	89843	61
12/2002	89845	2334
01/2003	89843	68
01/2003	89845	1559
02/2003	89841	73
02/2003	89843	43
02/2003	89845	193
03/2003	89841	936
03/2003	89843	28
03/2003	89845	4390
04/2003	89841	23
04/2003	89843	40
04/2003	89845	4148
05/2003	89841	38
05/2003	89843	40
05/2003	89845	679
06/2003	89841	31
06/2003	89843	27
06/2003	89845	1205
07/2003	89841	58
07/2003	89843	657
07/2003	89845	1871
08/2003	89841	54
08/2003	89843	48
08/2003	89845	2018
09/2003	89841	740
09/2003	89843	47
09/2003	89845	5002
10/2003	89841	38
10/2003	89843	138
10/2003	89845	6159
11/2003	89841	687
11/2003	89843	61
11/2003	89845	1428
12/2003	89841	224
12/2003	89843	37
12/2003	89845	3267
01/2004	89841	66
01/2004	89843	22
01/2004	89845	1560
02/2004	89841	7
02/2004	89843	19
02/2004	89845	3794
03/2004	89841	149
03/2004	89843	103
03/2004	89845	2623
04/2004	89841	775
04/2004	89843	2
04/2004	89845	2585
05/2004	89841	357
05/2004	89843	7
05/2004	89845	2701
06/2004	89841	114
06/2004	89845	6395
07/2004	89841	57
07/2004	89843	0
07/2004	89845	3343
08/2004	89841	230
08/2004	89845	2220
09/2004	89841	128
09/2004	89845	2243
10/2004	89841	153
10/2004	89843	43
10/2004	89845	7198
11/2004	89841	121
11/2004	89845	5121
12/2004	89841	1068
12/2004	89845	1574
01/2005	89841	419
01/2005	89845	4974
02/2005	89841	110
02/2005	89845	370
03/2005	89841	47
03/2005	89845	1784
04/2005	89841	257
04/2005	89845	3403
05/2005	89841	6
05/2005	89845	1572
06/2005	89841	13
06/2005	89845	47
07/2005	89841	21
07/2005	89845	745
08/2005	89841	467
08/2005	89845	275
10/2005	89841	30
10/2005	89845	57
11/2005	89841	34
11/2005	89845	152
12/2005	89841	183
12/2005	89845	10
01/2006	89841	21
01/2006	89845	1463
02/2006	89841	5
02/2006	89845	764
03/2006	89841	42
03/2006	89845	4475
04/2006	89841	70
04/2006	89845	671
05/2006	89841	10
05/2006	89845	22
06/2006	89841	121
06/2006	89845	770
07/2006	89841	164
07/2006	89843	17
07/2006	89845	482
08/2006	89841	29
08/2006	89845	121
09/2006	89841	136
09/2006	89845	646
10/2006	89841	30
10/2006	89845	147
11/2006	89841	23
11/2006	89845	937
12/2006	89841	56
