obdobi	kod	cena
01/1999	081	237
02/1999	081	262
03/1999	081	1067
04/1999	081	700
05/1999	081	2970
06/1999	081	1033
07/1999	081	1390
08/1999	081	1327
09/1999	081	886
10/1999	081	585
11/1999	081	905
12/1999	081	1103
01/2000	081	374
02/2000	081	665
03/2000	081	1043
04/2000	081	1662
05/2000	081	2497
06/2000	081	887
07/2000	081	1687
08/2000	081	988
09/2000	081	1269
10/2000	081	664
11/2000	081	1031
12/2000	081	1135
01/2001	081	2020
02/2001	081	1119
03/2001	081	3029
04/2001	081	2745
05/2001	081	3268
06/2001	081	4730
07/2001	081	669
08/2001	081	2311
09/2001	081	1204
10/2001	081	4344
11/2001	081	3459
12/2001	081	1571
01/2002	081	806
02/2002	081	2296
03/2002	081	2145
04/2002	081	3138
05/2002	081	3702
06/2002	081	2116
07/2002	081	725
08/2002	081	331
09/2002	081	3054
10/2002	081	935
11/2002	081	3456
12/2002	081	2063
01/2003	081	2198
02/2003	081	4195
03/2003	081	3186
04/2003	081	3216
05/2003	081	4514
06/2003	081	2261
07/2003	081	5026
08/2003	081	4056
09/2003	081	2401
10/2003	081	3625
11/2003	081	4295
12/2003	081	1103
01/2004	081	3391
02/2004	081	2195
03/2004	081	1077
04/2004	081	4152
05/2004	081	2773
06/2004	081	1862
07/2004	081	934
08/2004	081	2760
09/2004	081	4561
10/2004	081	2897
11/2004	081	4090
12/2004	081	2422
01/2005	081	2321
02/2005	081	2694
03/2005	081	1489
04/2005	081	1652
05/2005	081	3101
06/2005	081	3264
07/2005	081	4130
08/2005	081	2323
09/2005	081	986
10/2005	081	6523
11/2005	081	3223
12/2005	081	3259
01/2006	081	522
02/2006	081	1620
03/2006	081	2332
04/2006	081	4056
05/2006	081	5128
06/2006	081	2324
07/2006	081	9548
08/2006	081	4554
09/2006	081	2778
10/2006	081	2178
11/2006	081	9140
12/2006	081	9106
01/2007	081	3188
02/2007	081	3790
03/2007	081	4908
04/2007	081	3702
05/2007	081	4560
06/2007	081	5584
07/2007	081	11640
08/2007	081	2744
09/2007	081	3924
10/2007	081	8962
11/2007	081	6576
12/2007	081	5432
01/2008	081	6714
02/2008	081	2310
03/2008	081	3448
04/2008	081	2476
05/2008	081	3172
06/2008	081	8468
07/2008	081	6044
08/2008	081	5170
09/2008	081	11604
10/2008	081	12950
11/2008	081	6320
12/2008	081	13894
01/2009	081	14836
02/2009	081	15960
03/2009	081	6004
04/2009	081	8926
05/2009	081	13824
06/2009	081	7720
07/2009	081	8088
08/2009	081	4372
09/2009	081	5664
10/2009	081	13072
11/2009	081	5946
12/2009	081	19342
01/2010	081	12506
02/2010	081	16422
03/2010	081	17542
04/2010	081	11644
05/2010	081	20078
06/2010	081	13308
07/2010	081	18630
08/2010	081	20496
09/2010	081	12104
10/2010	081	15952
11/2010	081	16350
12/2010	081	14218
01/2011	081	20868
02/2011	081	10768
03/2011	081	15418
04/2011	081	14044
05/2011	081	13056
06/2011	081	12222
