obdobi	kod	cena
01/2007	77551	66396
01/2007	77556	2026
01/2007	77557	3266
02/2007	77551	33184
02/2007	77556	2350
02/2007	77557	3876
03/2007	77551	63190
03/2007	77556	988
03/2007	77557	2358
04/2007	77551	51940
04/2007	77556	2110
04/2007	77557	1618
05/2007	77551	58068
05/2007	77556	1838
05/2007	77557	10514
06/2007	77551	52406
06/2007	77556	808
06/2007	77557	944
07/2007	77551	41962
07/2007	77556	1012
07/2007	77557	9420
08/2007	77551	62628
08/2007	77556	2264
08/2007	77557	4294
09/2007	77551	60156
09/2007	77556	1728
09/2007	77557	2152
10/2007	77551	102436
10/2007	77556	4188
10/2007	77557	3808
11/2007	77551	93552
11/2007	77556	5524
11/2007	77557	5590
12/2007	77551	63514
12/2007	77556	1032
12/2007	77557	992
01/2008	77551	70094
01/2008	77556	2318
01/2008	77557	2664
02/2008	77551	43456
02/2008	77556	2554
02/2008	77557	1054
03/2008	77551	65154
03/2008	77556	3216
03/2008	77557	2832
04/2008	77551	55280
04/2008	77556	1754
04/2008	77557	4120
05/2008	77551	33846
05/2008	77556	2872
05/2008	77557	3722
06/2008	77551	53618
06/2008	77556	1268
06/2008	77557	4496
07/2008	77551	56282
07/2008	77556	1016
07/2008	77557	3544
08/2008	77551	47564
08/2008	77556	2208
08/2008	77557	5980
09/2008	77551	68402
09/2008	77556	2742
09/2008	77557	6018
10/2008	77551	78690
10/2008	77556	5980
10/2008	77557	4734
11/2008	77551	61796
11/2008	77556	8244
11/2008	77557	4840
12/2008	77551	69690
12/2008	77556	3460
12/2008	77557	5626
01/2009	77551	63866
01/2009	77556	2804
01/2009	77557	5286
02/2009	77551	52004
02/2009	77556	1508
02/2009	77557	4990
03/2009	77551	53248
03/2009	77556	1184
03/2009	77557	2816
04/2009	77551	67876
04/2009	77556	2998
04/2009	77557	6052
05/2009	77551	52878
05/2009	77556	402
05/2009	77557	9562
06/2009	77551	52030
06/2009	77556	640
06/2009	77557	1424
07/2009	77551	41610
07/2009	77556	28
07/2009	77557	2954
08/2009	77551	59640
08/2009	77556	1342
08/2009	77557	7626
09/2009	77551	61584
09/2009	77556	112
09/2009	77557	6788
10/2009	77551	112050
10/2009	77556	614
10/2009	77557	2924
11/2009	77551	98632
11/2009	77556	1140
11/2009	77557	3684
12/2009	77551	56340
12/2009	77556	1826
12/2009	77557	1714
01/2010	77551	73880
01/2010	77556	270
01/2010	77557	2938
02/2010	77551	53512
02/2010	77556	556
02/2010	77557	2932
03/2010	77551	68266
03/2010	77556	132
03/2010	77557	3464
04/2010	77551	70650
04/2010	77556	162
04/2010	77557	7902
05/2010	77551	81852
05/2010	77556	110
05/2010	77557	5156
06/2010	77551	105962
06/2010	77556	98
06/2010	77557	6084
07/2010	77551	72908
07/2010	77556	502
07/2010	77557	7244
08/2010	77551	99258
08/2010	77556	134
08/2010	77557	6132
09/2010	77551	124740
09/2010	77556	1178
09/2010	77557	6806
10/2010	77551	138834
10/2010	77556	1314
10/2010	77557	6010
11/2010	77551	251296
11/2010	77556	374
11/2010	77557	5674
12/2010	77551	166126
12/2010	77556	172
12/2010	77557	3616
01/2011	77551	105238
01/2011	77556	2772
01/2011	77557	2436
02/2011	77551	131836
02/2011	77556	2068
02/2011	77557	4078
03/2011	77551	89308
03/2011	77556	2150
03/2011	77557	3368
04/2011	77551	141916
04/2011	77556	2708
04/2011	77557	3966
05/2011	77551	111372
05/2011	77556	3376
05/2011	77557	2494
