obdobi	kod	cena
02/1999	51691	6
02/1999	51699	691
03/1999	51699	167
10/2000	51692	525
11/2000	51692	66
01/2001	51692	81
02/2001	51692	237
03/2001	51692	148
04/2001	51692	59
06/2001	51692	457
09/2001	51692	22
10/2001	51692	21
11/2001	51692	989
12/2001	51692	1570
01/2002	51692	1041
03/2002	51692	710
04/2002	51692	844
04/2002	51699	63
06/2002	51692	50
07/2002	51692	935
08/2002	51699	73
10/2002	51692	858
10/2002	51699	10
11/2002	51692	47
11/2002	51699	25
12/2002	51692	9
01/2003	51691	7
01/2003	51692	863
01/2003	51699	33
03/2003	51692	1297
04/2003	51692	101
04/2003	51699	30
05/2003	51691	3
05/2003	51692	1278
05/2003	51699	15
06/2003	51699	36
07/2003	51692	1036
07/2003	51699	33
08/2003	51699	7
09/2003	51691	3
09/2003	51692	1017
09/2003	51699	27
10/2003	51692	100
10/2003	51699	90
11/2003	51692	213
12/2003	51692	67
12/2003	51699	24
01/2004	51692	2134
01/2004	51699	22
02/2004	51691	89
02/2004	51692	2
02/2004	51699	86
03/2004	51691	3
03/2004	51692	1709
03/2004	51699	36
04/2004	51699	75
05/2004	51691	5
05/2004	51692	3056
06/2004	51691	34
06/2004	51692	42
07/2004	51692	3841
07/2004	51699	47
08/2004	51691	1
09/2004	51692	2
09/2004	51699	38
10/2004	51691	173
10/2004	51699	54
11/2004	51691	27
11/2004	51692	15
11/2004	51699	94
12/2004	51699	52
01/2005	51691	32
01/2005	51692	15
01/2005	51699	15
02/2005	51691	55
02/2005	51692	233
02/2005	51699	50
03/2005	51691	156
03/2005	51692	3462
04/2005	51691	189
04/2005	51692	56
04/2005	51699	113
05/2005	51691	148
05/2005	51692	5392
05/2005	51699	120
06/2005	51691	9
06/2005	51692	59
06/2005	51699	68
07/2005	51692	745
07/2005	51699	67
08/2005	51691	114
08/2005	51692	4151
08/2005	51699	86
09/2005	51691	121
09/2005	51692	44
10/2005	51691	220
10/2005	51699	90
11/2005	51691	85
11/2005	51692	297
11/2005	51699	25
12/2005	51691	115
12/2005	51692	735
12/2005	51699	42
01/2006	51691	226
01/2006	51692	3246
02/2006	51691	126
02/2006	51692	2
03/2006	51691	192
03/2006	51692	5
03/2006	51699	39
04/2006	51691	229
05/2006	51691	98
06/2006	51691	544
06/2006	51692	560
07/2006	51691	87
07/2006	51699	38
08/2006	51691	314
08/2006	51692	583
08/2006	51699	15
09/2006	51691	191
09/2006	51692	1666
09/2006	51699	6
10/2006	51691	52
10/2006	51692	27
11/2006	51691	40
